tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,0.000693813374,-0.000361557002,57.0504494,-157.216949,-157.217361,57.049881,-0.0195079725,-1.11513049e-10,-1.86902594e-11,-0.000251181016,-0.00036701723,0.000367017899,0.000251179823,1.06105317e-05,1.27225292e-07,1,10,0
0.01,1,0.000693824142,-0.000361377606,56.0825844,-154.167175,-154.167755,56.082119,-0.0194318648,-1.11488402e-10,-1.86805398e-11,-0.000249976001,-0.000363453582,0.000363454456,0.00024997507,1.06093494e-05,1.27131031e-07,1,10,0
0.01,2,0.00069302175,-0.000364665699,61.4555283,-173.028992,-173.029465,61.4548798,-0.0200883821,-1.1183382e-10,-1.88352858e-11,-0.000256405736,-0.000382940634,0.000382941158,0.000256404397,1.06272337e-05,1.28591168e-07,1,10,0
0.01,3,0.000692995964,-0.000364290754,59.4007568,-165.094574,-165.095245,59.4003105,-0.0199289527,-1.1177638e-10,-1.8811102e-11,-0.000254055893,-0.000374494964,0.000374496303,0.000254055369,1.06244015e-05,1.28371951e-07,1,10,0
0.01,4,0.000692653994,-0.000365592336,61.3653336,-171.569473,-171.569946,61.3646927,-0.0201633517,-1.11908489e-10,-1.88720237e-11,-0.000256290601,-0.000380778773,0.000380779296,0.000256289204,1.06312846e-05,1.28939433e-07,1,10,0
0.01,5,0.000693141017,-0.000363522297,56.7366867,-156.408585,-156.409149,56.7362213,-0.0197226964,-1.11690164e-10,-1.87733145e-11,-0.000250776357,-0.000364669773,0.00036467085,0.0002507756,1.06198768e-05,1.27999328e-07,1,10,0
0.01,6,0.000693579204,-0.000361733517,52.70681,-143.717453,-143.718063,52.7063751,-0.0193504337,-1.11505784e-10,-1.86855982e-11,-0.000245954987,-0.000351069873,0.000351071241,0.000245954201,1.0610137e-05,1.271939e-07,1,10,0
0.01,7,0.000691017194,-0.000371109199,69.0730591,-195.366776,-195.367203,69.0724869,-0.0211647674,-1.12429802e-10,-1.91186528e-11,-0.000265158014,-0.000403826649,0.000403827551,0.000265156996,1.06592988e-05,1.31302741e-07,1,10,0
0.01,8,0.000693372684,-0.000361955143,51.85466,-138.742447,-138.742874,51.8540726,-0.0193048269,-1.1150262e-10,-1.86904606e-11,-0.000244865194,-0.000345294684,0.000345295208,0.000244863855,1.06102862e-05,1.27227153e-07,1,10,0
0.01,9,0.000693513372,-0.000361687649,50.4265785,-136.580185,-136.580658,50.4261436,-0.0192597043,-1.11490178e-10,-1.86789455e-11,-0.000243215269,-0.00034275878,0.000342759682,0.000243214527,1.06092712e-05,1.27120543e-07,1,10,0
0.01,10,0.000693194685,-0.000362542312,50.4418602,-136.022522,-136.023026,50.4413223,-0.0193041023,-1.1156305e-10,-1.87137424e-11,-0.00024340197,-0.000342127954,0.000342128886,0.000243400806,1.06132075e-05,1.27446881e-07,1,10,0
0.01,11,0.000691027904,-0.000370740687,64.3173523,-181.692657,-181.693237,64.3169022,-0.020944681,-1.12387419e-10,-1.90944673e-11,-0.000259635126,-0.000388378598,0.000388379849,0.000259634457,1.06567068e-05,1.31063402e-07,1,10,0
0.01,12,0.000692555041,-0.000364564883,52.6673164,-141.941422,-141.94191,52.6666908,-0.0196473524,-1.11750165e-10,-1.88035629e-11,-0.000245997886,-0.000347694237,0.000347694964,0.000245996576,1.06232292e-05,1.28286359e-07,1,10,0
0.01,13,0.000692053931,-0.000366110849,54.5967789,-146.173264,-146.173798,54.5962677,-0.0198745858,-1.11891503e-10,-1.88701086e-11,-0.000248271157,-0.000351813622,0.000351814291,0.000248270284,1.06307471e-05,1.28921243e-07,1,10,0
0.01,14,0.000693791197,-0.000360522536,44.635273,-121.606804,-121.60733,44.6348724,-0.0189343188,-1.11372286e-10,-1.86198435e-11,-0.000236350679,-0.000325798668,0.000325799716,0.000236350083,1.06028074e-05,1.26563194e-07,1,10,0
0.01,15,0.000691744965,-0.000366986846,54.0733833,-145.079102,-145.079712,54.0729179,-0.0199164189,-1.1196935e-10,-1.89058543e-11,-0.000247737713,-0.000350164075,0.000350165355,0.000247737044,1.0634878e-05,1.29260059e-07,1,10,0
0.01,16,0.000691868365,-0.000367012166,53.2568207,-146.336029,-146.336548,53.2564125,-0.0199921727,-1.1199526e-10,-1.89101027e-11,-0.000246782933,-0.000350991817,0.00035099269,0.000246782205,1.06357675e-05,1.29308106e-07,1,10,0
0.01,17,0.000691716676,-0.000367049652,52.4396324,-141.193253,-141.19371,52.4389763,-0.0198754258,-1.11978031e-10,-1.89052645e-11,-0.000245848758,-0.000345580338,0.000345580891,0.000245847157,1.06350881e-05,1.29264421e-07,1,10,0
0.01,18,0.000691577035,-0.000367735513,52.1126595,-142.684067,-142.684494,52.1122971,-0.0199563857,-1.12053047e-10,-1.89359327e-11,-0.000245613744,-0.000346867862,0.00034686859,0.00024561325,1.06388079e-05,1.29563176e-07,1,10,0
0.01,19,0.000691665744,-0.00036688798,50.4915123,-134.726059,-134.726547,50.4909058,-0.0197583344,-1.11947444e-10,-1.8893e-11,-0.000243582414,-0.000338456011,0.000338456739,0.000243581148,1.06335656e-05,1.29144425e-07,1,10,0
0.01,20,0.00069135084,-0.000368080655,51.6465874,-139.571609,-139.572189,51.6460876,-0.019975733,-1.12067328e-10,-1.89485441e-11,-0.000244921044,-0.000342969899,0.00034297083,0.000244920142,1.06398447e-05,1.29663931e-07,1,10,0
0.01,21,0.000692661968,-0.000363201107,43.9443283,-114.865173,-114.865639,43.9438324,-0.0190696921,-1.11578191e-10,-1.87237205e-11,-0.000235636806,-0.000317372353,0.000317373167,0.000235635991,1.06141179e-05,1.27531436e-07,1,10,0
0.01,22,0.000691478606,-0.000367362984,48.7233353,-130.571579,-130.572113,48.7228088,-0.0197515246,-1.11986899e-10,-1.89094938e-11,-0.000241560876,-0.000333374715,0.000333375443,0.000241559857,1.06355947e-05,1.29308276e-07,1,10,0
0.01,23,0.000691589317,-0.000366814784,47.2964783,-125.426743,-125.427261,47.2959023,-0.019608574,-1.11928175e-10,-1.88822517e-11,-0.000239850866,-0.000327879243,0.000327880203,0.000239849789,1.06324751e-05,1.29045645e-07,1,10,0
0.01,24,0.000692765403,-0.000362498278,41.3542442,-106.962212,-106.962654,41.3536263,-0.0188929755,-1.11495271e-10,-1.86878273e-11,-0.000232433551,-0.000308384188,0.000308384682,0.000232432314,1.06098696e-05,1.27190035e-07,1,10,0
0.01,25,0.000691847585,-0.000365744927,44.187912,-116.820633,-116.821007,44.1873665,-0.0193743855,-1.11816022e-10,-1.88311224e-11,-0.000236191161,-0.00031859937,0.000318599894,0.000236190099,1.06265325e-05,1.28557915e-07,1,10,0
0.01,26,0.000691420515,-0.000367164525,45.7921944,-121.464905,-121.46553,45.7916908,-0.0195794851,-1.11953002e-10,-1.88946098e-11,-0.000238046574,-0.000322954729,0.000322955922,0.000238045788,1.06337902e-05,1.29155993e-07,1,10,0
0.01,27,0.00069176103,-0.000365736079,43.0166969,-112.115257,-112.115852,43.0162125,-0.0192790665,-1.11803851e-10,-1.88265376e-11,-0.000234773601,-0.000313316908,0.000313318043,0.000234772888,1.06259477e-05,1.2850812e-07,1,10,0
0.01,28,0.000691200199,-0.000367844797,44.7667732,-119.339973,-119.340355,44.766304,-0.0196039733,-1.12015577e-10,-1.89200895e-11,-0.000237014217,-0.00032041379,0.000320414401,0.00023701333,1.06369571e-05,1.29412911e-07,1,10,0
0.01,29,0.000691231398,-0.000367496657,43.5324402,-114.753441,-114.753838,43.5318336,-0.0194663741,-1.11972931e-10,-1.89012625e-11,-0.00023558212,-0.000315609621,0.000315610116,0.000235580796,1.06347452e-05,1.2923104e-07,1,10,0
0.01,30,0.000691317138,-0.000367174274,42.4559364,-111.700928,-111.701622,42.4556313,-0.0193835963,-1.1194265e-10,-1.88867515e-11,-0.000234310006,-0.00031226821,0.000312269753,0.000234309831,1.06330308e-05,1.2908049e-07,1,10,0
