dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,converged
0.0005,0,3.20331026e-07,-1.5959456e-14,1.60485953e-07,1.59835011e-07,-3.25535432e-10,3.25384331e-10,-1.88137284e-09,3.59746954e-14,-2.00484228e-17,-1.85819121e-11,-1.90457042e-11,1.881394e-11,1.88136763e-11,5.40524986e-11,1.32038884e-16,1
0.0005,1,3.20331083e-07,1.28419497e-12,1.60486039e-07,1.59835153e-07,-3.24169469e-10,3.26206617e-10,-1.88153759e-09,3.59641685e-14,-8.11084869e-17,-1.85862575e-11,-1.90446617e-11,1.88133658e-11,1.88175534e-11,5.40498098e-11,-1.89490079e-15,1
0.0005,2,3.20330912e-07,1.66469616e-12,1.60485868e-07,1.59835082e-07,-3.24921451e-10,3.26323885e-10,-1.88145277e-09,3.59671297e-14,-1.0708667e-16,-1.85841464e-11,-1.90450641e-11,1.88121723e-11,1.88170382e-11,5.40510484e-11,-2.14932916e-15,1
0.0005,3,3.20331026e-07,3.31679129e-13,1.60485911e-07,1.59835125e-07,-3.25354077e-10,3.25658167e-10,-1.88160887e-09,3.59501315e-14,-6.42654485e-17,-1.85845905e-11,-1.9047753e-11,1.88155411e-11,1.88168005e-11,5.40521898e-11,-5.75921418e-16,1
0.0005,4,3.20331083e-07,8.42076409e-13,1.60486096e-07,1.59835196e-07,-3.25092064e-10,3.25924315e-10,-1.88152693e-09,3.59526455e-14,-8.88537562e-17,-1.85847466e-11,-1.90459541e-11,1.881377e-11,1.88169289e-11,5.40512392e-11,-1.44282915e-15,1
0.0005,5,3.20331054e-07,1.55889884e-12,1.60486323e-07,1.59835125e-07,-3.2470826e-10,3.26230792e-10,-1.88157978e-09,3.59565181e-14,-1.0638395e-16,-1.85852028e-11,-1.90465629e-11,1.88134439e-11,1.88183219e-11,5.40512912e-11,-2.20025617e-15,1
0.0005,6,3.20331338e-07,9.52904422e-13,1.60486323e-07,1.59835409e-07,-3.25262761e-10,3.26000837e-10,-1.88146632e-09,3.59463165e-14,-6.14141238e-17,-1.85849131e-11,-1.90445697e-11,1.88131385e-11,1.88163461e-11,5.40504967e-11,-1.4542895e-15,1
0.0005,7,3.20330912e-07,5.22359933e-14,1.60485797e-07,1.59834897e-07,-3.25363042e-10,3.25135141e-10,-1.88120608e-09,3.59616782e-14,-2.69627528e-17,-1.85790827e-11,-1.90451856e-11,1.8811926e-11,1.88123423e-11,5.40536609e-11,-2.11710803e-16,1
0.0005,8,3.20330656e-07,3.18151321e-13,1.60485811e-07,1.59834954e-07,-3.25294847e-10,3.25632382e-10,-1.8813362e-09,3.5971636e-14,-6.72988852e-18,-1.85807845e-11,-1.90460963e-11,1.88127378e-11,1.8814143e-11,5.40531925e-11,-6.51748654e-16,1
0.0005,9,3.20330315e-07,-1.54648516e-12,1.60485527e-07,1.59834897e-07,-3.26424721e-10,3.2479025e-10,-1.88148985e-09,3.59578835e-14,4.21284542e-17,-1.85797783e-11,-1.90501816e-11,1.88175031e-11,1.88124585e-11,5.40556939e-11,2.27716507e-15,1
