tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,-1.98473613e-19,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,5.57504598e-29,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,1.24041056e-25,-1.23989965e-25,0,4,0
0.01,1,3.7465334e-16,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.05239715e-25,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,4.79811766e-15,-1.23989965e-25,0,4,0
0.01,2,7.49505203e-16,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-2.10535192e-25,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,9.59623531e-15,-1.23989965e-25,0,4,0
0.01,3,1.12435693e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-3.15830645e-25,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,1.43943542e-14,-1.23989965e-25,0,4,0
0.01,4,1.49920893e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-4.21126147e-25,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,1.91924706e-14,-1.23989965e-25,0,4,0
0.01,5,1.8740604e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-5.26421525e-25,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,2.39905853e-14,-1.23989965e-25,0,4,0
0.01,6,2.24891229e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-6.31717003e-25,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,2.87887085e-14,-1.23989965e-25,0,4,0
0.01,7,2.62376396e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-7.37012431e-25,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,3.35868215e-14,-1.23989965e-25,0,4,0
0.01,8,2.99861628e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-8.42308006e-25,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,3.83849412e-14,-1.23989965e-25,0,4,0
0.01,9,3.37346795e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-9.47603484e-25,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,4.3183061e-14,-1.23989965e-25,0,4,0
0.01,10,3.748319e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.05289876e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,4.79811706e-14,-1.23989965e-25,0,4,0
0.01,11,4.12317089e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.15819424e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,5.27792904e-14,-1.23989965e-25,0,4,0
0.01,12,4.4980232e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.26348982e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,5.7577417e-14,-1.23989965e-25,0,4,0
0.01,13,4.87287509e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.3687852e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,6.23755266e-14,-1.23989965e-25,0,4,0
0.01,14,5.24772656e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.47408077e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,6.7173643e-14,-1.23989965e-25,0,4,0
0.01,15,5.62257845e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.57937625e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,7.19717593e-14,-1.23989965e-25,0,4,0
0.01,16,5.99743076e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.68467163e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,7.67698825e-14,-1.23989965e-25,0,4,0
0.01,17,6.37228307e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.7899674e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,8.15680057e-14,-1.23989965e-25,0,4,0
0.01,18,6.74713454e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-1.89526278e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,8.6366122e-14,-1.23989965e-25,0,4,0
0.01,19,7.121986e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-2.00055816e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,9.11642317e-14,-1.23989965e-25,0,4,0
0.01,20,7.4968362e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-2.10585314e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,9.59623413e-14,-1.23989965e-25,0,4,0
0.01,21,7.87168978e-15,1.98464721e-19,8.41925576e-05,-8.41925576e-05,-8.41925576e-05,8.41925576e-05,-5.24868621e-11,-2.21114911e-24,-5.5750508e-29,-2.10472306e-10,-2.10472306e-10,2.10472306e-10,2.10472306e-10,1.00760471e-13,-1.23989965e-25,0,4,0
