tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,-7.46544355e-24,5.15274999e-19,5.79441839e-05,-5.79441839e-05,-5.79441003e-05,5.7944053e-05,-1.050539e-11,1.08067843e-33,-6.27173188e-29,-9.96822694e-11,-9.96822694e-11,9.96822624e-11,9.96822902e-11,1.66007187e-30,-1.39524275e-25,0,9,0
0.01,1,5.12257667e-17,-3.29639098e-24,5.79649131e-05,-5.79648731e-05,-5.79650005e-05,5.79650005e-05,-1.05214726e-11,-4.26854177e-27,-3.52908062e-34,-9.97772004e-11,-9.97772281e-11,9.97772143e-11,9.97772143e-11,1.66455294e-15,4.77163908e-31,0,9,0
0.01,2,1.02276575e-16,-5.07214409e-24,5.79700245e-05,-5.79699808e-05,-5.79701154e-05,5.79701154e-05,-1.052336e-11,-8.49222015e-27,2.61793314e-34,-9.97863875e-11,-9.97864083e-11,9.97864014e-11,9.97864014e-11,3.32972929e-15,2.37547021e-30,0,9,0
0.01,3,1.53295811e-16,4.78111738e-19,5.79808329e-05,-5.79808038e-05,-5.79808693e-05,5.79808184e-05,-1.05329209e-11,-1.26554189e-26,-4.60402491e-29,-9.98417737e-11,-9.9841746e-11,9.9841746e-11,9.98417737e-11,4.99781668e-15,-1.02424862e-25,0,9,0
0.01,4,2.13629981e-16,-9.50072934e-18,5.79600928e-05,-5.79589614e-05,-5.79599946e-05,5.79589105e-05,-1.05112655e-11,-1.76672749e-26,8.16673356e-28,-9.97177063e-11,-9.97168736e-11,9.97176855e-11,9.97168945e-11,6.65450852e-15,1.81687111e-24,0,9,0
0.01,5,2.54998051e-16,-7.44221842e-19,5.79440748e-05,-5.79440566e-05,-5.79441512e-05,5.79441839e-05,-1.05053995e-11,-2.1081941e-26,9.15632596e-29,-9.96822971e-11,-9.96822902e-11,9.96823041e-11,9.96822763e-11,8.31302868e-15,2.036935e-25,0,9,0
0.01,6,9.64142796e-17,9.99380875e-20,4.53735192e-05,-4.53735192e-05,-4.53734574e-05,4.53733592e-05,-3.56327294e-12,-5.42496293e-27,-7.67838402e-30,-5.06988479e-11,-5.06988479e-11,5.06988444e-11,5.06988479e-11,4.62069602e-15,-1.70833299e-26,0,10,0
0.01,7,3.66690066e-16,-9.50072934e-18,5.79600928e-05,-5.79589614e-05,-5.79599946e-05,5.79589105e-05,-1.05112655e-11,-3.03253663e-26,8.16673356e-28,-9.97177063e-11,-9.97168736e-11,9.97176855e-11,9.97168945e-11,1.16453859e-14,1.81687111e-24,0,9,0
0.01,8,4.09185761e-16,-1.06983456e-18,5.79907282e-05,-5.79907282e-05,-5.79906955e-05,5.79906991e-05,-1.05344431e-11,-3.38680512e-26,2.07509683e-28,-9.98512314e-11,-9.98512314e-11,9.98512106e-11,9.98512523e-11,1.33312822e-14,4.61632133e-25,0,9,0
0.01,9,4.60334243e-16,-1.06983456e-18,5.79907282e-05,-5.79907282e-05,-5.79906955e-05,5.79906991e-05,-1.05344431e-11,-3.81016612e-26,2.07509683e-28,-9.98512314e-11,-9.98512314e-11,9.98512106e-11,9.98512523e-11,1.49976907e-14,4.61632133e-25,0,9,0
