tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,4.41095764e-08,1.51815787e-08,-0.152291924,0.15233916,0.152338982,-0.152291864,-0.0313849188,-3.0143951e-13,-2.46065456e-13,-3.75701489e-07,-3.76355388e-07,3.76355331e-07,3.75701518e-07,-6.43682496e-10,-1.86285889e-10,40,0,0
0.01,1,0.000129803579,-0.000100379941,-0.15666005,0.165248811,0.165137246,-0.156771839,-0.031416595,-6.58110622e-10,4.81897411e-10,-4.45690091e-07,-6.04223942e-07,6.04211323e-07,4.45702597e-07,2.35117383e-07,1.50933658e-07,39,0,0
0.01,2,0.000259845372,-0.000199326474,-0.188014477,0.195240989,0.195012927,-0.188242808,-0.0315986089,-1.32130684e-09,9.54385126e-10,-1.37755092e-06,-1.76485673e-06,1.76484809e-06,1.37755944e-06,4.6168077e-07,2.97411106e-07,40,0,0
0.01,3,0.000389408757,-0.000300447777,-0.166102931,0.1834656,0.183125958,-0.166443288,-0.0314817838,-1.9773001e-09,1.44118784e-09,-6.32040042e-07,-1.15522357e-06,1.15520015e-06,6.32063461e-07,7.00188366e-07,4.50419236e-07,40,0,0
0.01,4,0.000519320776,-0.000400174118,-0.132534996,0.173761547,0.173326805,-0.13296935,-0.0314050056,-2.63790745e-09,1.91878158e-09,-1.87424092e-07,-8.13018914e-07,8.12954568e-07,1.87488524e-07,9.31657326e-07,5.99375142e-07,39,0,0
0.01,5,0.000649093417,-0.000501460221,-0.166542366,0.19151485,0.190945119,-0.167111114,-0.0315146036,-3.29244632e-09,2.40689202e-09,-6.39658765e-07,-1.53215069e-06,1.53211704e-06,6.39692303e-07,1.17178854e-06,7.5308435e-07,39,0,0
0.01,6,0.000778527814,-0.000601731241,-0.161474362,0.192840204,0.192158833,-0.162155807,-0.0315088853,-3.95206579e-09,2.88718405e-09,-5.33733328e-07,-1.60242314e-06,1.60238028e-06,5.33776245e-07,1.4041733e-06,9.02960437e-07,41,0,0
0.01,7,0.000908646092,-0.00070045609,-0.168590248,0.198903531,0.198104724,-0.169388682,-0.0315547734,-4.61562344e-09,3.35768502e-09,-6.89745036e-07,-1.98603402e-06,1.98599446e-06,6.89784827e-07,1.63052948e-06,1.04893013e-06,39,0,0
0.01,8,0.00103969418,-0.000799747533,-0.130741283,0.191473693,0.190590695,-0.131624639,-0.0314649902,-5.27419264e-09,3.83926713e-09,-1.78113112e-07,-1.51887116e-06,1.51877248e-06,1.78211707e-07,1.86529121e-06,1.1993518e-06,40,0,0
0.01,9,0.00116834091,-0.000900801038,-0.156077534,0.200311184,0.199289635,-0.157099336,-0.0315381289,-5.93328853e-09,4.31969838e-09,-4.42885039e-07,-2.07859944e-06,2.07853736e-06,4.42947027e-07,2.09810378e-06,1.34962806e-06,41,0,0
0.01,10,0.00129798532,-0.00100167713,-0.171402469,0.207500353,0.206357032,-0.172545731,-0.0316159539,-6.58940014e-09,4.80486939e-09,-7.72442263e-07,-2.68239319e-06,2.6823468e-06,7.72488647e-07,2.33555693e-06,1.50202186e-06,39,0,0
0.01,11,0.00142783904,-0.00110186217,-0.139035821,0.202048376,0.200811222,-0.140272409,-0.0315273069,-7.24869897e-09,5.2859721e-09,-2.42762496e-07,-2.20164657e-06,2.20154789e-06,2.42861177e-07,2.56934641e-06,1.65240385e-06,39,0,0
0.01,12,0.00155744329,-0.00120243838,-0.151159972,0.206602916,0.205240086,-0.152522147,-0.0315704681,-7.9062934e-09,5.76842885e-09,-3.73260519e-07,-2.58659065e-06,2.58651016e-06,3.73341067e-07,2.80454924e-06,1.80350605e-06,39,0,0
