tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,naccept,nreject,converged
0.01,0,4.66568041,4.17041731,-2.56883478,-2.5,4.6677804,3.62385011,4.84510422,-2.5,-2.56883454,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,1,4.66633415,4.17203808,-2.56869817,-2.5,4.6684289,3.62385011,4.84540749,-2.5,-2.56869817,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,2,4.66698742,4.17365932,-2.56856203,-2.5,4.66907835,3.62385011,4.84571028,-2.5,-2.56856203,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,3,4.66764164,4.17528105,-2.56842542,-2.5,4.66972733,3.62385011,4.84601307,-2.5,-2.56842542,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,4,4.66829491,4.17690086,-2.5682888,-2.5,4.67037582,3.62385011,4.84631538,-2.5,-2.5682888,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,5,4.66894865,4.17852259,-2.56815243,-2.5,4.67102575,3.62385011,4.84661818,-2.5,-2.56815267,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,6,4.66960239,4.18014383,-2.56801629,-2.5,4.67167425,3.62385011,4.84692097,-2.5,-2.56801605,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,7,4.67025566,4.1817646,-2.56787992,-2.5,4.67232323,3.62385011,4.84722328,-2.5,-2.56788015,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,8,4.67090988,4.18338633,-2.56774354,-2.5,4.6729722,3.62385011,4.84752655,-2.5,-2.5677433,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,9,4.67156315,4.1850071,-2.56760716,-2.5,4.67362165,3.62385011,4.84782887,-2.5,-2.56760716,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,10,4.67221689,4.18662786,-2.56747079,-2.5,4.67427111,3.62385011,4.84813118,-2.5,-2.56747079,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,11,4.67287016,4.18824911,-2.56733441,-2.5,4.67492008,3.62385011,4.84843349,-2.5,-2.56733441,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,12,4.67352438,4.18987036,-2.5671978,-2.5,4.67556953,3.62385011,4.84873724,-2.5,-2.56719804,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,13,4.67417765,4.1914916,-2.56706142,-2.5,4.67621803,3.62385011,4.84903955,-2.5,-2.56706142,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,14,4.67483139,4.19311285,-2.56692529,-2.5,4.67686701,3.62385011,4.84934235,-2.5,-2.56692529,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,15,4.67548513,4.19473362,-2.56678939,-2.5,4.67751646,3.62385011,4.84964514,-2.5,-2.56678939,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,16,4.67613935,4.19635487,-2.56665254,-2.5,4.67816544,3.62385011,4.84994793,-2.5,-2.56665254,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,17,4.67679214,4.19797611,-2.5665164,-2.5,4.67881393,3.62385011,4.85024977,-2.5,-2.5665164,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,18,4.67744637,4.19959736,-2.56638002,-2.5,4.67946386,3.62385011,4.85055304,-2.5,-2.56638002,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,19,4.67809963,4.20121813,-2.56624389,-2.5,4.68011236,3.62385011,4.85085583,-2.5,-2.56624413,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,20,4.6787529,4.20283937,-2.56610751,-2.5,4.68076181,3.62385011,4.85115862,-2.5,-2.56610751,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,21,4.67940712,4.20446062,-2.56597137,-2.5,4.68141079,3.62385011,4.85146093,-2.5,-2.56597137,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,22,4.68006086,4.20608187,-2.565835,-2.5,4.68205976,3.62385011,4.85176373,-2.5,-2.565835,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
