tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,naccept,nreject,converged
0.01,0,4.66165733,4.00813055,-2.50073743,-2.5,4.66835642,3.62385011,4.67403889,-2.5,-2.50073743,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,1,4.66468954,4.01545095,-2.50078177,-2.5,4.67109394,3.62385011,4.68208647,-2.5,-2.50078177,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,2,4.6653533,4.01738739,-2.50078011,-2.5,4.67174292,3.62385011,4.68272257,-2.5,-2.50078011,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,3,4.6689024,4.0339179,-2.50121093,-2.5,4.67465305,3.62385011,4.69958305,-2.5,-2.50121093,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,4,4.66668272,4.0212779,-2.50077701,-2.5,4.67304182,3.62385011,4.68401241,-2.5,-2.50077701,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,5,4.67021322,4.03774214,-2.50120664,-2.5,4.67593718,3.62385011,4.70079279,-2.5,-2.50120664,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,6,4.66802216,4.02519608,-2.50077438,-2.5,4.67434883,3.62385011,4.68533754,-2.5,-2.50077415,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,7,4.66491604,4.020154,-2.50072169,-2.5,4.67159462,3.62385011,4.67565966,-2.5,-2.50072169,3.62385011,0,3.62385011,-2.5,-2.5,6,3,0
0.01,8,4.66693687,4.02356958,-2.5007236,-2.5,4.67351818,3.62385011,4.67904472,-2.5,-2.5007236,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,9,4.6677351,4.02570105,-2.50072265,-2.5,4.67429066,3.62385011,4.6799984,-2.5,-2.50072265,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,10,4.66155577,4.02425623,-2.50071263,-2.5,4.66825914,3.62385011,4.67059183,-2.5,-2.50071263,3.62385011,0,3.62385011,-2.5,-2.5,7,3,0
0.01,11,4.66899014,4.0294652,-2.50071883,-2.5,4.67552137,3.62385011,4.68109465,-2.5,-2.50071883,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,12,4.66968775,4.03144932,-2.50071716,-2.5,4.67620134,3.62385011,4.68180895,-2.5,-2.50071716,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,13,4.67033482,4.03336191,-2.50071549,-2.5,4.67683506,3.62385011,4.68240595,-2.5,-2.50071549,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,14,4.67333031,4.04071045,-2.50076151,-2.5,4.67953682,3.62385011,4.69044352,-2.5,-2.50076127,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,15,4.67675447,4.05678225,-2.50118256,-2.5,4.68234634,3.62385011,4.70675802,-2.5,-2.50118256,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,16,4.672297,4.03912592,-2.50071049,-2.5,4.67875433,3.62385011,4.68424082,-2.5,-2.50071049,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,17,4.67297792,4.04108667,-2.50070882,-2.5,4.67941904,3.62385011,4.6849165,-2.5,-2.50070858,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,18,4.6759491,4.04834986,-2.50075316,-2.5,4.68210125,3.62385011,4.69285107,-2.5,-2.50075316,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,19,4.67174578,4.04267931,-2.50070071,-2.5,4.67828274,3.62385011,4.68148041,-2.5,-2.50070071,3.62385011,0,3.62385011,-2.5,-2.5,6,3,0
0.01,20,4.68000746,4.06618166,-2.50116491,-2.5,4.68553877,3.62385011,4.70961428,-2.5,-2.50116467,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,21,4.68064165,4.0679512,-2.50115657,-2.5,4.68616486,3.62385011,4.71007109,-2.5,-2.50115657,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,22,4.67750692,4.05300426,-2.50071311,-2.5,4.68375397,3.62385011,4.69140577,-2.5,-2.50071311,3.62385011,0,3.62385011,-2.5,-2.5,6,3,0
0.01,23,4.67924452,4.05797529,-2.50074434,-2.5,4.68532562,3.62385011,4.69595385,-2.5,-2.50074434,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,24,4.67757273,4.05456495,-2.50069666,-2.5,4.68391371,3.62385011,4.68924332,-2.5,-2.50069666,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,25,4.6782918,4.05658054,-2.50069523,-2.5,4.6846137,3.62385011,4.69000912,-2.5,-2.50069523,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,26,4.67895174,4.05851078,-2.50069356,-2.5,4.68525887,3.62385011,4.69063473,-2.5,-2.50069356,3.62385011,0,3.62385011,-2.5,-2.5,6,3,0
0.01,27,4.68450212,4.07893705,-2.50112224,-2.5,4.68996334,3.62385011,4.71319342,-2.5,-2.50112224,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,28,4.68255663,4.06765985,-2.50073624,-2.5,4.68856382,3.62385011,4.69912863,-2.5,-2.50073624,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,29,4.68322945,4.06963015,-2.50073504,-2.5,4.68921995,3.62385011,4.69980431,-2.5,-2.50073504,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,30,4.68661642,4.0857029,-2.50116277,-2.5,4.69199896,3.62385011,4.7160778,-2.5,-2.50116277,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,31,4.68367243,4.07090282,-2.50070167,-2.5,4.68976212,3.62385011,4.69776154,-2.5,-2.50070167,3.62385011,0,3.62385011,-2.5,-2.5,6,3,0
0.01,32,4.68787432,4.08916712,-2.50114202,-2.5,4.69324398,3.62385011,4.7169137,-2.5,-2.50114202,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,33,4.68586016,4.07731247,-2.50072765,-2.5,4.69179487,3.62385011,4.70226526,-2.5,-2.50072765,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,34,4.68912601,4.09258652,-2.50111961,-2.5,4.69448423,3.62385011,4.71770239,-2.5,-2.50111961,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,35,4.68715954,4.08110189,-2.50072289,-2.5,4.69306898,3.62385011,4.70343065,-2.5,-2.50072312,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,36,4.68786764,4.08319616,-2.5007236,-2.5,4.69375515,3.62385011,4.70425844,-2.5,-2.5007236,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,37,4.6862936,4.07986689,-2.50067544,-2.5,4.69243431,3.62385011,4.697721,-2.5,-2.50067544,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,38,4.68914986,4.08692455,-2.50071836,-2.5,4.69501448,3.62385011,4.7053504,-2.5,-2.50071836,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,39,4.68978405,4.08876419,-2.50071526,-2.5,4.69563913,3.62385011,4.70586634,-2.5,-2.50071549,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,40,4.69310617,4.1044035,-2.50112319,-2.5,4.69837141,3.62385011,4.72168827,-2.5,-2.50112319,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,41,4.69115496,4.09279585,-2.50071454,-2.5,4.69697285,3.62385011,4.70732927,-2.5,-2.5007143,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,42,4.69440556,4.10815525,-2.5011158,-2.5,4.69964743,3.62385011,4.72282362,-2.5,-2.5011158,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,43,4.69024467,4.09143877,-2.50066519,-2.5,4.69629908,3.62385011,4.70146084,-2.5,-2.50066519,3.62385011,0,3.62385011,-2.5,-2.5,6,3,0
0.01,44,4.69102144,4.09354401,-2.50066423,-2.5,4.69705248,3.62385011,4.70236874,-2.5,-2.50066423,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,45,4.69380856,4.10055876,-2.5007081,-2.5,4.69956732,3.62385011,4.70988798,-2.5,-2.5007081,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
