tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,0.776004195,1.93369186,-0.921805799,-0.953852832,-0.921346068,1.75839436,0.125971839,1.05922723,-3.21103024,2.92229295,-2.54633331,2.92204785,-1.90355945,1.37457573,-0.810487628,2.24824095,35.8646088,1.96534956,-25.751812,0.120685011,1.21245027,0.72518754,-0.827478707,66.2663345,-0.718785226,-40.198246,2.09263468,-0.885102928,648,50,0
0.01,1,0.74919498,2.01086926,-1.01398969,-0.884939611,-1.01424837,1.76220345,0.169527277,1.08705699,-3.2372725,2.91149735,-2.57071972,2.91105437,-1.83118761,1.34486592,-1.28810644,2.20931649,62.8549194,2.00368857,-41.8766594,0.0954330638,1.20813763,0.925378978,-0.699061692,-41.7428246,-0.689335942,24.4976959,2.07821321,-0.862526715,668,50,0
0.01,2,0.813815892,1.85460103,-0.831059337,-1.02170873,-0.830581069,1.7537328,0.0858302861,1.03774703,-3.17965603,2.9273982,-2.52063966,2.92717481,-1.97679961,1.41020977,-0.369948357,2.28491116,31.9116745,1.92708528,-23.4485855,0.146015644,1.2197901,0.506753922,-0.979229331,67.7968979,-0.747214019,-41.0113754,2.11518669,-0.904632151,622,50,0
0.01,3,0.766382933,2.01682234,-1.02385437,-0.879433513,-1.02339339,1.762483,0.17490676,1.08728528,-3.2393589,2.90676308,-2.57247472,2.9065218,-1.82533991,1.34750509,-1.25464511,2.2064867,35.3426399,2.00677586,-25.3600006,0.0935716927,1.20026243,0.893190324,-0.691610098,66.5176468,-0.687103212,-40.4822235,2.07821584,-0.84711051,648,57,0
0.01,4,0.810003757,1.93955457,-0.934877038,-0.948185623,-0.934339464,1.75887787,0.134932816,1.05987644,-3.21312284,2.9176507,-2.54812598,2.9174993,-1.8974663,1.37778902,-0.747968912,2.24508238,19.9223747,1.96873057,-16.1807251,0.119021244,1.20496464,0.665752232,-0.818012536,70.0856171,-0.716606379,-42.5182266,2.09242439,-0.864884436,651,55,0
0.01,5,0.828618526,1.90549183,-0.896149755,-0.977603614,-0.896394789,1.75707567,0.118429326,1.05048275,-3.20022368,2.92170763,-2.53720737,2.92124081,-1.92894173,1.39152372,-0.554572165,2.26101184,63.6928101,1.95228314,-42.4762421,0.130031541,1.21028805,0.57197839,-0.878972292,-38.0651932,-0.729025245,22.4203053,2.10072875,-0.875188589,631,50,0
0.01,6,0.834875822,1.91545832,-0.909561157,-0.968770742,-0.910020411,1.75771534,0.125466958,1.05306077,-3.20398641,2.91966963,-2.54042172,2.91992617,-1.91947186,1.38834894,-0.583627284,2.25605631,-42.2829247,1.95732331,21.1170654,0.126911879,1.20812452,0.577544093,-0.860330164,-65.6554337,-0.725372612,38.9568977,2.09835577,-0.868514538,642,47,0
0.01,7,0.84752208,1.8991909,-0.892183959,-0.982637644,-0.892637491,1.75685239,0.118445903,1.04919398,-3.1976068,2.92113233,-2.53518057,2.92138672,-1.9343996,1.39534688,-0.487166375,2.26341629,-42.7110214,1.94957387,21.357357,0.132182181,1.21080613,0.52807641,-0.89012605,-65.8827362,-0.731220126,39.1148567,2.10267925,-0.872334123,637,45,0
0.01,8,0.78473556,2.06970692,-1.09563363,-0.829513311,-1.09519029,1.76492536,0.212221712,1.10354698,-3.25460982,2.89517307,-2.58883953,2.89492059,-1.77411604,1.33137095,-1.4896065,2.17728662,38.2829056,2.03437948,-27.0816193,0.075879775,1.19615245,0.925562382,-0.611459911,65.6768112,-0.665575564,-40.0564003,2.07258177,-0.824594498,670,55,0
0.01,9,0.867847681,1.88454139,-0.878840804,-0.994848013,-0.878618002,1.75611389,0.113921784,1.0465045,-3.19149423,2.92154717,-2.53043151,2.92204857,-1.94767821,1.40263164,-0.384641498,2.26943707,-69.9437714,1.94279861,37.6810722,0.137068585,1.21283746,0.470414042,-0.917395651,32.4539909,-0.736395538,-19.8714314,2.10698533,-0.872540653,627,47,0
0.01,10,0.867180467,1.93013048,-0.934387565,-0.955236197,-0.934145033,1.75879717,0.139926285,1.05694795,-3.20905447,2.91545796,-2.54512143,2.91592121,-1.90510488,1.38617754,-0.572437286,2.2479341,-69.3237305,1.96517026,37.3507156,0.122551456,1.20273888,0.543632567,-0.832808971,37.6378632,-0.71988833,-23.0533447,2.09544587,-0.850537241,648,50,0
0.01,11,0.860848546,1.98143244,-0.996679902,-0.909667194,-0.99641335,1.76147711,0.169016048,1.07029223,-3.22706914,2.90745902,-2.56142282,2.90789771,-1.85695541,1.36795342,-0.809900403,2.22240281,-67.3090515,1.99062359,36.1893234,0.105958052,1.19346404,0.632079065,-0.745326877,42.3376007,-0.700603068,-25.9489002,2.0852263,-0.830328107,664,51,0
0.01,12,0.87037009,1.98221302,-0.999355912,-0.908781409,-0.999115527,1.76157844,0.171020776,1.07028639,-3.22725177,2.90653968,-2.56166101,2.90699863,-1.85603261,1.36879301,-0.788439393,2.22181273,-69.5994263,1.99117172,37.5635757,0.105776705,1.1920315,0.615135849,-0.743899882,37.794632,-0.700286746,-23.2279091,2.08527684,-0.826441944,662,54,0
0.01,13,0.81543076,2.10659814,-1.14813209,-0.793686867,-1.14786589,1.76645851,0.240061671,1.11194551,-3.26401329,2.88326311,-2.60003424,2.88369679,-1.73785579,1.32386446,-1.57928622,2.15628552,-67.3412933,2.05402255,36.3243332,0.0633621886,1.18740845,0.89473784,-0.558965743,42.6707497,-0.650061607,-26.3137836,2.07033491,-0.801595986,677,55,0
0.01,14,0.785463393,2.15746403,-1.210253,-0.744399369,-1.20979357,1.7678138,0.269746512,1.13292611,-3.27641726,2.87161946,-2.61520839,2.87137794,-1.68851542,1.30640829,-2.01044369,2.12838626,35.5990334,2.08036447,-25.3928699,0.0449262187,1.19492304,1.02340627,-0.491980851,66.4212189,-0.627961516,-40.6260033,2.0677681,-0.796645701,695,57,0
0.01,15,0.835293174,2.11209941,-1.15787828,-0.788046718,-1.15814054,1.76675045,0.24596779,1.11131001,-3.26531029,2.88058519,-2.60168409,2.88014388,-1.73215055,1.32481349,-1.53186488,2.15300202,62.5414162,2.05715847,-41.6007271,0.0615635365,1.1819452,0.853464663,-0.551373363,-42.3179131,-0.647712171,24.6652641,2.07040262,-0.792343795,673,52,0
0.01,16,0.871310413,2.07339382,-1.11376512,-0.824485302,-1.11420226,1.76559329,0.226311222,1.09602308,-3.2549274,2.88692284,-2.58994675,2.88719797,-1.76901805,1.34051895,-1.20667994,2.17366338,-46.1096001,2.03757262,23.5533524,0.0753061026,1.17752707,0.731016517,-0.604938686,-64.1818695,-0.663965642,37.8254814,2.07383323,-0.791639507,650,52,0
0.01,17,0.923867166,1.96890271,-0.992391169,-0.919803798,-0.992160618,1.76124024,0.171680883,1.06659174,-3.22248173,2.90405679,-2.55742741,2.90452933,-1.8675909,1.38004017,-0.597019434,2.22768831,-70.1591034,1.98532856,37.88451,0.110507026,1.18674779,0.502922833,-0.765531301,35.5294113,-0.705306292,-21.8718281,2.08875561,-0.810403049,655,51,0
0.01,18,0.944264948,1.91800642,-0.933540702,-0.964466989,-0.934006453,1.75859892,0.146148413,1.05669546,-3.20406914,2.91058517,-2.54117656,2.91082978,-1.91498935,1.39997232,-0.351596475,2.25234795,-40.6212807,1.96042907,20.1129913,0.127014428,1.19635236,0.403624743,-0.853972316,-66.678688,-0.724208951,39.5199547,2.09989691,-0.824315846,636,46,0
