tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,-11.5368834,3.36262298,-2.36218905,0.762339175,-2.3029778,1.66381407,1.30177164,-4.93583441,-3.32123303,1.92724347,-2.8427875,1.89914954,-0.324462593,1.80726278,-6.27632284,1.51463008,2.53045821,2.59327793,-3.82167912,-0.392985255,0.515817404,-4.72450733,0.328454137,5.9778986,0.0519783981,-5.50490999,2.28191018,-0.371883214,127,38,1
0.01,1,-13.9887323,3.40222144,46.1120682,0.748875201,-32.0372887,1.73785901,1.87395775,-4.98432446,-3.36313295,29.905901,-2.94651508,-14.9098082,-0.426381946,1.98488748,-8.22442245,1.5996182,50.369751,2.61370182,-34.0147133,-0.139812037,1.46591878,-4.58298111,0.231383875,29.3746052,-0.197458014,-19.0424595,2.02663326,-0.35038659,50,43,1
0.01,2,-10.8857708,3.36116385,-2.3617661,0.763170123,-2.36536312,1.66046214,1.30250454,-4.80134296,-3.32024407,1.88046503,-2.83942962,2.02705193,-0.318484128,1.71904492,-5.85334539,1.51238668,-5.43767595,2.59567213,0.862052917,-0.401951849,0.561974883,-4.64194584,0.330839485,0.0626844019,0.0576094687,-1.89646912,2.30972648,-0.447871298,114,32,1
0.01,3,-11.5425777,3.36263871,-2.37738824,0.762369156,-2.29562926,1.66386724,1.30345035,-4.93639231,-3.32121801,1.90250635,-2.84282088,1.9156841,-0.324359804,1.80605614,-6.2800169,1.51466131,-0.69442147,2.59335279,-1.88927972,-0.39278394,0.517693579,-4.72481632,0.328497648,5.66076565,0.0519169457,-5.312953,2.28239083,-0.373426408,121,34,1
0.01,4,-8.74647427,3.35690975,-2.38877797,0.763036251,-2.44749784,1.64796996,1.23197138,-4.46823359,-3.31797409,2.07866406,-2.82755351,2.09335637,-0.308530778,1.54700863,-4.44478321,1.50476396,-5.48125458,2.59666657,0.730181813,-0.440427452,0.608831406,-4.40640497,0.335390598,-6.72111273,0.0775973126,2.26679802,2.36063004,-0.587453723,372,99,1
0.01,5,-9.64449692,3.35903955,-2.49454665,0.762900472,-2.34205079,1.65372884,1.26068807,-4.61540222,-3.31884885,1.97851789,-2.83293819,2.06245065,-0.313734144,1.63031149,-5.04219246,1.50836599,-3.32600617,2.59592485,-0.489189327,-0.421800464,0.582246304,-4.50807428,0.333364308,1.83587551,0.0682227314,-2.91541743,2.33425522,-0.517339706,100,28,1
0.01,6,-12.0055389,3.36342788,-2.20029974,0.760254085,-2.25406027,1.66532278,1.23074532,-5.02033901,-3.32328773,1.73749375,-2.84488249,1.8144697,-0.335090667,1.96607256,-6.57834339,1.51562572,-5.35491276,2.58714628,1.13456643,-0.392108798,0.379197598,-4.77740669,0.323587447,-3.56240487,0.0489064232,0.0845154002,2.2334013,-0.227079064,241,63,1
0.01,7,-8.24735546,3.35566187,-2.42189026,0.762976885,-2.44840026,1.64457881,1.21450591,-4.39354324,-3.31755233,2.15616775,-2.82435536,2.09504819,-0.305832356,1.50301611,-4.1095376,1.50265908,5.7488246,2.5967617,-6.04610395,-0.451829851,0.622536421,-4.3501606,0.336404264,-4.44657516,0.0831779838,0.926939487,2.37473631,-0.624786675,208,55,1
0.01,8,-10.8713064,3.36117268,-2.33569288,0.763036788,-2.37826395,1.66047013,1.29971361,-4.80412579,-3.32030702,1.88038671,-2.8394115,2.02038932,-0.318954527,1.72452152,-5.84425974,1.51239014,-5.42697001,2.59536862,0.861138582,-0.401947767,0.557613313,-4.64230537,0.330658823,-1.33428526,0.057558082,-1.06321216,2.30756569,-0.442351073,120,34,1
0.01,9,-8.46923256,3.35619283,-2.50293255,0.762894332,-2.38649487,1.64608872,1.21951199,-4.44098997,-3.31783199,2.07909083,-2.8257606,2.11725783,-0.30733487,1.52577686,-4.25965929,1.50359535,-3.0221684,2.59653664,-0.761389017,-0.446754545,0.61298871,-4.38175821,0.33577624,2.77967954,0.0806474015,-3.42355442,2.36687636,-0.603617549,141,44,1
0.01,10,-11.5846109,3.36258316,-2.24820805,0.761272967,-2.30949187,1.66392517,1.26174545,-4.94681263,-3.32217932,1.86286032,-2.84310079,1.84497738,-0.329520255,1.87924981,-6.30574703,1.51457667,1.69196856,2.59016275,-3.22082162,-0.394131273,0.450966001,-4.73539209,0.326123953,-8.70853996,0.0514302142,3.23823786,2.25824952,-0.300683945,185,48,1
0.01,11,-11.513732,3.36242843,-2.33475447,0.76277566,-2.33903623,1.66374946,1.31423855,-4.93070793,-3.32104206,1.87351644,-2.8426466,1.96280956,-0.322542399,1.78281283,-6.26020813,1.51449478,-7.53502083,2.59439182,2.18528366,-0.392832905,0.537137806,-4.72524977,0.329099625,0.529912531,0.0522702113,-2.2134521,2.29055595,-0.395692915,117,35,1
0.01,12,-11.6548805,3.36265945,-2.27380705,0.760793328,-2.2636764,1.66408455,1.24518025,-4.96310282,-3.32295847,1.86387551,-2.84337807,1.80754924,-0.33148101,1.90879869,-6.35103226,1.51473296,5.95327568,2.58888698,-5.73212194,-0.394477993,0.422718227,-4.74560595,0.324743569,-2.59063458,0.0510442555,-0.457444161,2.24919009,-0.273741066,244,76,1
0.01,13,0.911592424,3.33121514,-2.56467104,0.794211209,-2.65020466,1.53510749,0.848517358,0.519346058,-3.30250859,2.50909877,-2.75925756,2.5740118,-0.229079425,0.551407397,7.09558582,1.45080245,-4.43143368,2.64063168,-0.526883841,-1.0239048,0.72273922,7.04870033,0.371077448,-4.88244724,0.25071308,1.58944309,2.81281781,-2.20674419,182,35,1
0.01,14,-13.0070362,3.3654511,-2.2583251,0.761463106,-2.26934648,1.67058218,1.33250678,-5.15037823,-3.3228476,1.8537333,-2.84950447,1.7746805,-0.333359301,1.9551096,-7.22011137,1.51905096,5.38253593,2.59005189,-5.38750648,-0.375504732,0.465122372,-4.85897827,0.324828804,-0.469957858,0.041366823,-1.71727788,2.24201894,-0.262955636,142,48,1
0.01,15,-5.88562822,3.37453747,-2.04594064,0.608593404,-2.08135629,1.66126847,0.691123068,-14.5075922,-3.3468554,1.94998753,-2.81182885,1.94787467,-0.389195025,2.4919405,-2.79131651,1.54553378,1.39368236,2.44911623,-2.50462437,-0.39346543,-0.112650461,-10.3019867,0.28152746,-12.0611,0.0319935605,5.18200827,2.07602429,0.325535715,460,118,1
0.01,16,-1.36568534,3.26049304,1.06961977,1.102422,-1.3214668,1.26499093,-1.41978741,-0.318263143,-3.2766397,-2.91865444,-2.53593373,6.93844986,-0.444712371,-0.130179003,4.11810684,1.19354272,-1.01917422,5.06222534,-1.47328103,-1.35894954,-0.874025464,0.734485745,0.430863261,-1.99919009,-0.319988966,2.91781521,1.49618673,-2.50253868,68,16,1
0.01,17,-10.46558,3.36093855,-2.40535545,0.763346195,-2.37962389,1.65839267,1.30343258,-4.73912525,-3.31902599,1.99924088,-2.83741856,2.01434207,-0.315548062,1.66895092,-5.58092976,1.51138163,-4.90864849,2.59666896,0.487211555,-0.407269269,0.587951124,-4.59507036,0.332914412,9.97490788,0.0609201789,-7.80235481,2.32542467,-0.496644169,611,154,1
0.01,18,-12.0722427,3.36359906,-2.21995926,0.760521054,-2.26212788,1.66587865,1.24931026,-5.03072882,-3.32294488,1.80435026,-2.84527278,1.79193258,-0.334243387,1.95381558,-6.62128162,1.51594889,2.00017929,2.58790636,-3.3083427,-0.389968157,0.401349872,-4.78383875,0.324232787,-10.6201267,0.0481543876,4.33497334,2.2374711,-0.241072565,233,68,1
0.01,19,-14.0682144,3.29374814,-0.458114296,1.55145323,-1.69898164,1.48431492,-0.041731976,-5.34397316,-3.30576515,-1.39038503,-4.65155411,5.07575893,-0.413375914,2.09488034,-7.89700127,1.30022109,-1.40743959,4.72814751,-1.46542811,-0.770006418,-0.199043453,-4.98443794,0.280347645,3.95453453,-6.31299734,0.959202707,1.88729477,-0.114113502,45,44,1
0.01,20,-11.1121702,3.36162877,-2.27318645,0.762163818,-2.34022093,1.66120005,1.2629782,-4.85416746,-3.32110763,1.92846549,-2.84050488,1.90733707,-0.323974282,1.79355526,-6.00093174,1.51293135,1.9167639,2.59273815,-3.43360519,-0.401591182,0.490323544,-4.67322063,0.328556269,-7.92863655,0.0559383072,2.82960534,2.28352404,-0.372348577,157,42,1
0.01,21,-11.0739441,3.36154246,-2.31020951,0.763000607,-2.38352132,1.66160798,1.30626392,-4.8361845,-3.32052946,2.02371764,-2.84047222,1.91425681,-0.320027083,1.74294996,-5.97534943,1.51306844,2.92370629,2.5951128,-4.13345718,-0.398650676,0.552941263,-4.66499805,0.33017695,-2.66714144,0.0557808317,-0.273490101,2.302279,-0.427805096,107,31,1
0.01,22,-7.77535343,3.35444093,-2.37457275,0.762828529,-2.49299026,1.64124596,1.1959095,-4.32598066,-3.31715798,2.1105876,-2.82119346,2.16580844,-0.30347982,1.46342361,-3.78994727,1.50058818,-3.43240166,2.5965941,-0.569435835,-0.463398427,0.633305371,-4.29657936,0.337311208,-4.56495333,0.088716723,1.01960862,2.38725042,-0.658118486,165,35,1
0.01,23,-10.8878374,3.36114717,-2.29992008,0.763175607,-2.40134048,1.66051459,1.30227757,-4.80133486,-3.32024741,1.98052812,-2.83945084,1.96582735,-0.318535477,1.72021616,-5.85460091,1.51238728,1.09835052,2.59564185,-3.05798078,-0.401847392,0.561060667,-4.64195299,0.330805808,-5.94536829,0.0575484112,1.7075882,2.30935431,-0.446796536,129,39,1
0.01,24,-7.10979557,3.35270238,-2.42498803,0.762466788,-2.48501849,1.63630629,1.16923118,-4.23425245,-3.31663108,2.18712664,-2.81647682,2.18057013,-0.300300807,1.40798044,-3.33463526,1.49757755,-2.6369369,2.59600186,-1.09206629,-0.480947465,0.649412632,-4.21931648,0.33855629,-9.34666157,0.0970253125,3.9194572,2.40478539,-0.70577085,169,49,1
0.01,25,-14.159481,3.3041122,1.27080023,0.00930975843,-1.65498853,1.51297867,0.046264559,-5.37878418,-3.30555391,-2.92663145,-3.44788241,4.91910362,-0.415762961,2.18191147,-7.95434999,1.32341635,3.51139879,0.755269587,-1.390239,-0.67921257,-0.170884207,-5.00536633,0.337596595,-0.796084285,-2.72577596,0.793764293,1.85680103,0.00152101775,33,27,1
0.01,26,-10.9652119,3.36137748,-2.44168687,0.762994885,-2.30922437,1.66102135,1.30243897,-4.82454777,-3.32038665,1.91980457,-2.83991718,1.98735821,-0.319505036,1.73369515,-5.90545082,1.51273882,-3.81711674,2.59521556,-0.0962274745,-0.400354654,0.554677308,-4.65474892,0.330441684,2.15530491,0.0566787496,-3.16185284,2.30486512,-0.434956998,118,35,1
0.01,27,-10.8820229,3.3611412,-2.42577147,0.763173521,-2.32614613,1.66050196,1.30219364,-4.80059099,-3.32023478,1.9696331,-2.83943081,1.97243035,-0.31853354,1.72014987,-5.85082531,1.51237512,-0.209353477,2.59563065,-2.27359533,-0.401874095,0.56103307,-4.64136219,0.330819011,4.53312874,0.0575723983,-4.57944107,2.30935073,-0.446871281,119,34,1
0.01,28,-11.2902431,3.36210084,-2.33816361,0.762720227,-2.35045028,1.66281247,1.30921018,-4.88886881,-3.32079387,1.86298335,-2.8416338,1.98173666,-0.321890622,1.76982796,-6.11660099,1.51390207,-5.61200047,2.59440637,1.01448393,-0.395245075,0.5414114,-4.69489193,0.329503059,-1.46946371,0.053772185,-1.00767279,2.29381061,-0.405891031,148,44,1
0.01,29,-11.2752304,3.36191654,-2.36677289,0.76283437,-2.32789755,1.66252458,1.30455244,-4.87783051,-3.32081771,1.83835518,-2.84144711,1.99936712,-0.321573287,1.76664209,-6.10578585,1.51366651,-5.25111961,2.59453988,0.802797198,-0.396421671,0.538193464,-4.6917572,0.329510182,-1.1768322,0.0542371869,-1.18403435,2.29486418,-0.406720906,106,28,1
0.01,30,-13.0193853,3.37021089,-2.30990434,0.747765005,-1.4840672,1.6520642,0.817339063,-5.19186735,-3.32258081,0.050418213,-2.83117485,2.32949805,-0.366737187,2.35289788,-7.22588444,1.5155884,-0.805600464,2.55237293,-0.687486768,-0.426573396,-0.173081547,-4.88532972,0.31640318,-1.53127217,0.0791474506,-1.5734359,2.11472654,0.181083322,25,16,1
0.01,31,0.800217152,3.3316524,-2.5425086,0.792273462,-2.59444833,1.54363847,0.800883889,0.914587855,-3.30456591,2.42971015,-2.76079369,2.50172806,-0.241810158,0.621263027,-3.73852968,1.45277131,-5.13967037,2.63523078,-0.00552330073,-0.944812059,1.36279929,-1.92692983,0.366361231,-5.37809658,0.243485838,1.74933863,2.715137,-1.3779645,181,54,1
