tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,-9.10113907,3.62028074,-3.24038839,0.774123251,-0.988330185,1.35497308,0.749495208,-20.5260925,-3.00944662,2.28375888,-3.0009191,5.93654823,-0.358890325,-0.0850088596,-7.75558138,1.59621668,-1.95737016,2.59264398,-1.4748497,-1.83595753,2.08240843,-18.1328278,0.656194806,-0.560323298,0.015885029,2.02359176,2.77492023,-2.48514771,154,1,1
0.01,1,0.608114183,1.80376267,0.277908117,-1.80907834,0.60874176,1.2388767,-0.497493029,2.65994692,-2.3145597,2.42271376,-2.09404826,2.65954685,-3.01774073,2.10234404,104.2155,-2.1617651,-5.10686302,1.43534291,-10.4968576,2.02906108,0.278875113,36.1026268,0.0984277725,0.409112811,-1.03327942,-0.904149473,1.37589622,-2.73285055,103,1,0
0.01,2,7.06981802,3.27796888,-17.2008343,0.691587031,4.57589102,1.56596231,1.56545794,1.23774254,-3.36038446,8.81066799,-2.78042436,-0.60982132,-0.0510176383,-0.0497180112,7.22002316,1.61691999,-17.8908825,2.77442741,3.8987658,-31.4256325,29.2528515,-2.43867445,0.397053808,6.15770578,0.125738502,-4.04907036,69.1664581,-59.0424385,210,5,0
0.01,3,0.622299492,1.77737892,0.191393986,-1.79162192,0.621979952,1.26342154,-0.493369192,2.66770458,-2.31358218,2.46889544,-2.10641718,2.66840553,-3.00092244,2.06818151,98.5428085,-2.22507238,-5.31772327,1.44709468,-9.98097324,2.04213715,0.36601302,1.76561832,0.032172177,1.02858961,-1.02775836,2.08877325,1.40777266,-2.68859291,126,3,0
0.01,4,0.03497269,1.8321687,-1.49948752,-1.09718299,0.0343032964,1.7204448,-0.110202171,3.28570414,-3.15045905,1.98056364,-2.4873004,3.28550267,-2.05913854,1.44160748,-107.785202,2.49570251,-3.05910182,1.87870038,8.97603416,0.114548787,0.804060996,46.188427,-1.11229074,-1.90999782,-0.771370411,-3.98955369,2.11710048,-0.725697517,247,3,0
0.01,5,-0.369618654,2.40928864,-2.13526177,-0.640093625,-0.370448619,1.71572006,0.059286762,3.34640861,-3.31739998,1.59951234,-2.64084983,3.34669876,-1.58509231,1.28585386,-41.7061501,2.30390716,-2.40767694,2.12309933,2.2271297,-0.0793885216,0.660335362,85.8636703,-0.406180382,-1.86289227,-0.563600838,-8.66897297,2.05053639,-0.552033186,191,1,0
0.01,6,-0.163860947,3.7272234,-10.0668859,0.802348793,2.0604322,1.22140193,0.930864155,8.715909,-3.12177539,2.285712,-2.72690439,3.23407722,-0.283716381,-0.440326422,-0.294106275,1.74054599,-7.73928976,2.67733836,0.647798359,-3.81604648,4.11919594,4.25723553,0.534776747,-0.426489621,0.424385458,-0.155452371,2.13515735,-2.24105358,95,1,1
0.01,7,-0.188717946,1.43480301,-0.188106835,-1.59092271,0.445074081,1.5438751,-0.400446236,2.7605629,-2.41655588,2.7601769,-2.2382226,2.80699944,-2.77126789,1.74574983,35.1626205,-2.70583749,-9.45741081,1.57858527,-1.97768807,2.10642672,0.968175173,-78.3799973,-2.32030988,14.9082499,-0.960251153,0.90725255,2.29772663,-2.0816102,76,2,0
0.01,8,-1.27967477,3.82617593,-3.37785149,0.786941648,-1.36299288,1.39635468,0.422902107,3.3748548,-3.01566243,0.641852975,-2.730335,2.99893498,-0.416826934,0.905937314,-4.71840096,1.81932127,-1.61433792,2.60723495,-1.20401561,-0.85468936,0.619742513,-0.456457049,0.590943158,-1.63804209,0.322160006,-1.03606188,2.25310063,-0.808729708,88,0,1
0.01,9,-2.17213964,3.79157758,-3.1759491,0.727241457,-1.56642044,1.33208251,0.647093117,1.87435281,-2.5475359,-8.12471962,-2.68884659,9.31044483,-0.544183493,0.216453075,-0.666354835,1.61243987,-2.79259896,2.48351836,-1.31825137,-1.16584587,1.30673492,-2.00810766,1.10139608,-12.9337053,0.39753139,7.38899565,2.32425261,-2.12167859,97,1,1
