tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,-15.1854496,2.34198737,-0.442037791,0.711593509,-6.20094013,1.95672035,3.59326744,-2.07341814,-2.25957584,-3.94086576,-2.70694709,3.96301222,-0.687305868,2.57357359,-8.51623154,0.322405666,-0.000528205594,2.11157131,-4.89312649,-0.10831818,2.89773583,-3.14994454,2.0428884,-6.52767944,0.350495428,0.787541747,1.4162873,0.462116957,16,5,1
0.01,1,-15.2452307,2.31530881,-0.301033109,0.645877182,-6.15418196,1.95173454,3.5569768,-2.12379193,-2.12084603,-4.37996244,-2.74376178,3.91786432,-0.750124156,2.83392334,-8.5529089,0.278041214,0.380695492,1.86671805,-4.85140514,-0.117476851,2.86940527,-3.1783154,2.31781387,-6.61073446,0.0429848246,0.752377808,1.26663744,0.750963628,17,6,1
0.01,2,-14.5841417,2.42890739,-3.44725895,0.704985917,-6.53420448,2.01684189,5.01108837,-1.59130788,-3.31448984,-5.4743104,-2.84871101,4.25428581,-0.362978488,3.09461689,-8.13798428,0.602101386,-4.56884146,2.44849896,-5.20296383,0.0950669646,4.6065135,-2.87890577,0.422244668,-8.36547947,-0.0985692143,1.03182292,1.93349779,1.33343232,19,9,1
0.01,3,-14.8844252,2.39495993,-3.42403579,0.683076441,-6.41435051,2.00206017,4.97573709,-1.82219076,-2.57691026,-7.32312775,-2.82043195,4.13415146,-0.602741897,3.96899104,-8.32636166,0.505897105,-5.83281946,2.41318846,-5.07730293,0.0299856663,5.1771884,-3.00864816,1.44888282,-12.2962866,0.0135306763,0.931556523,1.54845119,3.07229185,20,9,1
0.01,4,-15.6907139,1.46589744,3.55741525,0.93678838,-5.76011229,1.80580568,1.86707282,-2.53252625,1.41579938,-5.95763779,-2.87691116,3.61701083,-1.74273229,3.67414427,-8.82941532,-1.602054,3.74862051,3.17768288,-4.46845341,-0.301437467,1.12355745,-3.40833759,8.96072483,-8.51365757,0.0799628347,0.514899611,-0.725533545,1.54321957,21,10,1
0.01,5,-15.4927559,1.58976066,2.13821769,1.00659609,-5.86024761,1.88169026,2.39607,-2.34627104,-0.545977831,-6.4281888,-2.89534736,3.68543601,-1.39276087,4.08565998,-8.70588017,-3.30054593,1.99089205,3.28003573,-4.57201338,0.507369459,1.67726874,-3.30304456,8.03609848,-8.3265686,-0.0347207449,0.576301813,-1.10620189,2.06826115,20,12,1
0.01,6,-15.205904,2.21091986,-1.38116932,1.36209631,-6.06488371,1.94325435,3.60018611,-2.08911324,-1.9204824,-8.96185493,-3.12183738,3.83335233,-0.933811307,5.1770463,-8.52749157,0.0711686388,-2.54932046,3.7943604,-4.77949762,-0.0496807285,2.98036051,-3.15906048,2.74363041,-11.2460136,-0.504146874,0.709558606,0.766531944,3.38967347,17,7,1
0.01,7,-14.8866243,2.35842347,-0.666409671,0.672304511,-6.24990416,1.96101737,3.74335432,-1.82462823,-2.47828197,-4.22918987,-2.73988962,3.96797419,-0.621997714,2.7082355,-8.32487869,0.376931578,-0.259899914,2.02952743,-4.93302441,-0.0814855769,3.04423523,-3.00777912,1.6451323,-6.67898703,0.190405861,0.794145763,1.53853059,0.616846621,16,6,1
0.01,8,-14.6303082,2.40556741,-3.75818896,0.692040861,-6.54599476,2.01347232,5.19519567,-1.62553489,-2.78480411,-6.29905367,-2.83600163,4.20437574,-0.56849575,3.50955534,-8.16280937,0.538709462,-4.80105305,2.47053218,-5.20957136,0.0696468428,4.75010586,-2.89703488,1.13369107,-9.13757801,-0.0617254116,0.996442199,1.60343373,1.75313377,19,10,1
0.01,9,-14.750699,2.3797307,-1.54511571,0.687697649,-6.35407734,1.98399174,4.15730286,-1.71693587,-2.60571384,-4.52436829,-2.77346158,4.03943586,-0.590453744,2.80637527,-8.23820114,0.449651927,-1.70892811,2.28121996,-5.02762604,-0.0114112534,3.50528741,-2.94670582,1.43037999,-7.08586454,0.139681548,0.854146123,1.594751,0.787300646,16,5,1
0.01,10,-14.6952877,2.38705683,-1.07227337,0.739646077,-6.39575243,1.97999167,3.95571947,-1.67296672,-2.6569047,-3.64700961,-2.77486515,4.06959867,-0.544640362,2.38273644,-8.20300102,0.44145149,-1.09866166,2.34457922,-5.05878258,-0.0260001123,3.24377966,-2.92096233,1.36572814,-6.20836735,0.226959497,0.877243996,1.69804871,0.273516089,16,5,1
0.01,11,-14.8060598,2.35330391,-0.8646909,0.536372423,-6.22465992,1.96175969,3.89784908,-1.758834,-2.53307176,-5.36539507,-2.77926445,3.92566347,-0.634732842,3.27366376,-8.27211761,0.411362946,-0.509357989,1.83062732,-4.91194963,-0.06326814,3.22738266,-2.97034788,1.53573549,-7.63835335,-0.0640524924,0.764568627,1.49738383,1.26081991,17,7,1
0.01,12,-15.1643105,2.19238901,0.0290089883,0.877432942,-5.90216684,1.92457962,3.19765544,-2.04894161,-1.48900688,-6.5340457,-1.33440101,3.64058352,-0.977825761,3.17072892,-8.49700451,-0.35327065,-0.0697544813,3.19333863,-4.60881615,-0.272418708,2.45986462,-3.13253736,4.49442101,-13.1263466,4.89438629,0.51366961,0.456721604,1.01790905,17,8,1
