tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,-3.00054359,2.02459836,-0.831118584,-0.888696015,-0.830493987,1.75682449,0.230123833,6.33879375,-3.25142121,2.52675986,-2.57021117,2.52705216,-1.83006835,1.41131485,-5.57220888,2.23364043,-31.0581284,2.00016165,14.8938637,0.0901899934,1.21155465,5.02469826,-0.757326424,59.5126648,-0.690148652,-37.4358406,2.0934844,-0.308111459,2363,0,0
0.01,1,0.514060736,3.59357595,-2.86014533,0.720952511,-2.44312239,1.79595816,0.599420846,-3.86775136,-2.87437487,2.20938611,-2.65003657,2.37830496,-0.501780033,1.18340874,1.7658217,1.55075276,-2.19611883,2.02139711,-1.65212786,-0.197840542,0.566203296,-5.58094788,0.84242785,-0.536410391,0.752088726,-1.40329218,1.91919887,-0.683436751,60,0,1
0.01,2,-2.11977243,3.62135935,-4.88498688,0.771324515,-0.147579551,1.50346708,0.23127681,15.8493595,-3.09958553,-0.548974156,-2.75950599,1.19157422,-0.398996562,1.83683622,-2.28394914,1.65012074,-3.3263371,2.58473349,2.51328969,-0.652668357,-1.59456158,9.3800745,0.528510869,-2.63140464,0.235232785,-1.94880581,2.17387176,-0.302928954,55,0,1
0.01,3,-1.19820285,3.33306408,-2.14314294,0.771449864,-2.02564335,1.59065664,0.339908987,12.0034523,-3.31246185,0.937320888,-2.77061462,0.998232365,-0.323058993,1.61446917,-1.74199629,1.45964503,-0.572982609,2.57145071,-0.950033903,-0.623690724,-0.302165687,6.48122501,0.338659853,1.48240662,0.202448875,-4.08585024,2.2263155,-0.304591447,550,0,1
0.01,4,1.42435014,2.95704508,-4.89350176,0.798556149,-1.29214156,1.90277541,0.630477369,-3.51188898,-3.41318965,0.889025807,-2.81976748,3.17639542,-0.230748296,1.17642939,-1.94966221,1.12538183,-3.22520924,2.72154927,-1.32363212,-0.242005602,0.799306214,-2.7005477,0.332557082,-1.55577326,0.0217649043,-0.790402532,2.32478881,-0.673638403,38,0,1
0.01,5,6.38134432,2.73075747,-2.14440393,-0.144127846,-2.14517927,1.75394309,0.433574885,0.667239487,-3.37483335,2.21077871,-2.76094079,2.21061921,-1.12262857,1.71817112,4.89974403,1.86659074,9.98612595,2.33582425,-9.44610119,-0.154828012,0.376645803,-0.945696712,-0.0581545681,-62.8105316,-0.364767969,35.6545753,2.06473684,-0.0249758754,2562,0,0
0.01,6,-0.882973492,3.52542901,-2.0171957,0.77395457,-1.97839248,1.52461696,0.23211579,13.5698376,-3.13332391,0.773137748,-2.75696659,0.826628506,-0.39266631,1.68857586,-1.4817003,1.57483864,-5.09086752,2.57076502,2.02699256,-0.661216199,-0.510545671,7.64567471,0.508241594,2.75218225,0.249591142,-4.94896078,2.12081599,-0.305944413,416,0,1
0.01,7,-3.56532717,2.58942747,-1.4036088,-0.302813381,-1.40405715,1.75229394,0.442799777,9.75119305,-3.36305809,1.81680882,-2.72111773,1.81721187,-1.2605921,1.59892714,-4.68379498,1.92161417,-50.1145172,2.28505898,27.6979351,-0.137532488,0.297546715,7.1731019,-0.145340309,-55.5652351,-0.405473024,30.1997414,2.09759569,0.194954842,2493,0,0
0.01,8,-5.97032785,3.33388734,-1.76383591,0.776883841,-1.76437473,1.5840044,0.346364498,14.168704,-3.31319022,0.799059927,-2.76398063,0.804718852,-0.305369884,1.62549233,-4.90703821,1.45680571,-23.7380409,2.57468367,13.5138378,-0.65298593,-0.448233068,8.06879616,0.340859622,-4.27946138,0.224285305,-0.84707129,2.26499867,-0.317791194,1694,0,1
0.01,9,0.970512271,2.0896914,0.152251035,-2.01586676,0.971417665,0.941555619,-0.433937967,2.21115875,-2.36255646,2.23268509,-1.93467915,2.21110702,-3.20492101,2.62065625,98.270401,-1.57213283,0.85793823,1.29202783,-11.9301834,1.92592204,-0.990616262,-1.68678963,0.50337106,1.524032,-1.09259093,2.34075022,1.11962986,-2.6806221,35,0,0
0.01,10,-0.263605058,3.33273673,-2.58417583,0.767637491,-1.49150717,1.5878948,0.0894725025,14.5493488,-3.30378199,0.676460922,-2.76451421,0.654190242,-0.336117923,1.7768532,-1.03703153,1.4547025,-0.22644496,2.55479383,-0.512327194,-0.631595671,-0.794905066,8.39317417,0.345787674,-1.73163342,0.218206614,-2.25594664,2.16598058,-0.343615234,135,0,1
