tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,4.13870049,3.34023619,-3.19355679,0.788477421,-2.56278777,1.55782855,0.806270897,-0.580035806,-3.29332066,2.75201392,-2.76858568,2.71904802,-0.253648132,0.44594124,0.84263289,1.46688223,-1.40804088,2.63923097,-2.61428928,-0.979533315,1.32296515,-2.39970517,0.389821529,-1.06268191,0.234618858,-0.322748303,2.70091057,-1.70313513,111,11,1
0.01,1,4.14328098,3.34027386,-3.18193626,0.788464308,-2.56990385,1.55779934,0.806067765,-0.575073183,-3.29317427,2.74763536,-2.76858735,2.72083378,-0.253792822,0.446279734,0.84827143,1.46688712,-1.30982769,2.63919115,-2.67314172,-0.979256392,1.32229197,-2.39652014,0.389924675,-1.07451367,0.234600097,-0.316283643,2.70042515,-1.70250726,110,10,1
0.01,2,4.14507532,3.34031415,-3.18399382,0.788467169,-2.56879282,1.55777109,0.806037128,-0.57246232,-3.29307556,2.7482574,-2.76858354,2.72011971,-0.2538535,0.446365207,0.850541949,1.46689272,-1.33183408,2.63918161,-2.65996408,-0.979257703,1.32215154,-2.39490795,0.390010059,-1.07266343,0.234611392,-0.317669213,2.70031476,-1.70235837,110,10,1
0.01,3,4.14301634,3.34027433,-3.18086696,0.788467467,-2.57055235,1.55779719,0.806087911,-0.574661314,-3.29318333,2.74730134,-2.76858521,2.72098875,-0.25378406,0.446285903,0.848020077,1.46688473,-1.30263448,2.63919139,-2.67745256,-0.979263306,1.32230914,-2.39632607,0.389913023,-1.07551146,0.234602213,-0.315716296,2.70045805,-1.7025187,110,10,1
0.01,4,4.14224339,3.3402524,-3.1929419,0.788469315,-2.56330061,1.55780327,0.806136012,-0.574894607,-3.29323864,2.75124931,-2.76858497,2.71870947,-0.253743738,0.446225613,0.847132206,1.466874,-1.40182781,2.63919687,-2.61791635,-0.97937119,1.32244897,-2.39653635,0.389856011,-1.06375718,0.234607667,-0.322754413,2.70060253,-1.70262122,111,11,1
0.01,5,4.14610529,3.34030199,-3.18227267,0.788459659,-2.56974459,1.55777049,0.805907369,-0.569906056,-3.29308176,2.74724936,-2.76858258,2.72025013,-0.253888547,0.446572244,0.851980329,1.46687984,-1.31368566,2.63915896,-2.6706357,-0.97907865,1.32175171,-2.39341521,0.389975131,-1.0747118,0.234599262,-0.316865921,2.70010281,-1.70194697,110,10,1
0.01,6,4.14707279,3.34032202,-3.1814847,0.788458407,-2.57023168,1.55774999,0.805858374,-0.567778885,-3.29301548,2.74677873,-2.76857877,2.72025561,-0.25393492,0.446641028,0.853289604,1.46687961,-1.30603337,2.63915038,-2.67518568,-0.979047775,1.32160509,-2.39215708,0.390028566,-1.07549632,0.234607905,-0.316613078,2.69999456,-1.70180619,110,10,1
0.01,7,4.15024042,3.34037042,-3.18195295,0.788449168,-2.56998754,1.55772769,0.805668473,-0.563314438,-3.29286432,2.74641943,-2.76857662,2.71971893,-0.254066259,0.446932524,0.8573035,1.46688688,-1.30891323,2.63912034,-2.67328215,-0.978755713,1.32095778,-2.38939023,0.390150726,-1.07575881,0.234607667,-0.317108363,2.69954371,-1.70118403,110,10,1
0.01,8,4.14995861,3.34034634,-3.18191171,0.788452268,-2.57012105,1.55772579,0.805771828,-0.564053893,-3.29290271,2.74660563,-2.76857758,2.71980977,-0.254027188,0.446825445,0.856896996,1.46687829,-1.31081915,2.63913107,-2.6722908,-0.978944659,1.3212533,-2.38982511,0.390115768,-1.07537556,0.23460491,-0.317126423,2.69975495,-1.70146871,110,10,1
0.01,9,4.15815306,3.34069109,-3.20812225,0.788496375,-2.55382276,1.55768847,0.804683506,-0.551481009,-3.28971195,2.7561202,-2.76853347,2.71107888,-0.255468577,0.448389769,0.867499471,1.46654296,-1.59162962,2.63927031,-2.50238633,-0.976788878,1.31765115,-2.38219786,0.393745363,-1.04978037,0.234802738,-0.335733533,2.69631124,-1.69788826,111,11,1
