dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,converged
1.5,0,11762.0146,3.05247307,-34.3151627,15.3235178,-3.76104879,4.52270794,-835.612854,-12131.7178,-1.42379355,-168.440765,7.15527439,-21.8955746,-1.44480181,952.723022,6078.35205,1.89719653,-18.0929737,8.51424503,0.559650779,1.75987792,-433.729462,-6276.95947,0.115003586,-72.6258469,5.40612459,-10.5391064,0.254739165,483.667084,1
1.5,1,11761.6855,3.05251598,-34.3142242,15.3233175,-3.76097035,4.52275133,-835.608154,-12131.374,-1.42381644,-168.43895,7.1551609,-21.8957424,-1.44483292,952.717651,6078.18262,1.89722943,-18.0925331,8.51415634,0.559661448,1.75990176,-433.727509,-6276.7832,0.114961147,-72.6250763,5.40611935,-10.5391808,0.254706383,483.664459,1
1.5,2,11761.3486,3.0524137,-34.3141289,15.3238878,-3.76123381,4.52264309,-835.603516,-12131.0234,-1.42387366,-168.442474,7.15541601,-21.8955746,-1.44485354,952.713501,6078.00977,1.89718628,-18.0925045,8.51448727,0.559524775,1.75979829,-433.725037,-6276.60352,0.114958763,-72.6265793,5.40627384,-10.5391035,0.254666567,483.662445,1
1.5,3,11761.0283,3.05233884,-34.3147507,15.3244457,-3.76123786,4.52256536,-835.59967,-12130.6885,-1.42388988,-168.445709,7.15565586,-21.8955173,-1.44484091,952.710632,6077.84521,1.89715958,-18.0927868,8.5147953,0.559504449,1.75972438,-433.723267,-6276.43213,0.114985466,-72.6279984,5.40638065,-10.5390797,0.254664063,483.66095,1
1.5,4,11760.6934,3.05226374,-34.3144341,15.3249636,-3.76143813,4.52248526,-835.595398,-12130.3389,-1.42394447,-168.449249,7.15586853,-21.8954754,-1.44487023,952.706299,6077.67334,1.89715743,-18.0926666,8.51510906,0.559397936,1.75963318,-433.721039,-6276.25293,0.114966631,-72.6295242,5.40652227,-10.5390625,0.254621387,483.658966,1
1.5,5,11760.3145,3.05232501,-34.3166733,15.3247366,-3.76116991,4.52254868,-835.586914,-12129.9492,-1.42381859,-168.447037,7.15579844,-21.8955536,-1.44475281,952.69751,6077.47852,1.89719105,-18.0936184,8.51490974,0.559461653,1.7597388,-433.716614,-6276.05127,0.115096331,-72.6285782,5.40632153,-10.5391006,0.254763007,483.65448,1
1.5,6,11759.9688,3.05228305,-34.3151779,15.3248978,-3.76143622,4.52250242,-835.581848,-12129.5889,-1.42388797,-168.448502,7.15585375,-21.895565,-1.44480085,952.69281,6077.30078,1.89720488,-18.0929527,8.51503277,0.559325099,1.7596724,-433.714111,-6275.86572,0.115047693,-72.6292114,5.40642738,-10.5391092,0.254696131,483.651855,1
1.5,7,11759.6299,3.05219078,-34.3143768,15.3254213,-3.7617898,4.52240372,-835.577454,-12129.2373,-1.42396617,-168.451828,7.15606785,-21.8956108,-1.44483471,952.688843,6077.12793,1.8971746,-18.0926132,8.51535606,0.559145153,1.75955832,-433.711823,-6275.68604,0.115027905,-72.6306458,5.40660286,-10.5391407,0.254630208,483.64978,1
1.5,8,11759.3037,3.05213761,-34.3166504,15.3260307,-3.76162577,4.5223484,-835.572266,-12128.8936,-1.42390573,-168.45575,7.15633869,-21.8956184,-1.44475865,952.685913,6076.95996,1.897192,-18.0936432,8.51565361,0.559186041,1.75952637,-433.709351,-6275.51025,0.115119219,-72.6323624,5.4066267,-10.5391417,0.254710555,483.648224,1
1.5,9,11758.96,3.05205107,-34.3173752,15.3265972,-3.76170492,4.52225733,-835.567383,-12128.5381,-1.42389572,-168.459,7.15659046,-21.8956413,-1.4447192,952.680725,6076.78418,1.89717317,-18.0939579,8.51595974,0.559121728,1.75944161,-433.706696,-6275.32812,0.115171432,-72.6337814,5.40671635,-10.5391588,0.254735112,483.645935,1
