tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,-0.530930519,1.678859,0.501914442,-1.72625709,0.501451015,1.35826993,-0.549978912,1.64919651,-2.31478357,2.61991429,-2.15467787,2.61955571,-2.93503714,2.08233643,1.23235178,-2.47374105,6.29402208,1.48984134,-6.54978561,2.09549761,-0.0477556735,-9.25195026,-0.308644712,-93.7047119,-1.00764132,58.8306084,1.55783594,-1.87314034,146,50,0
0.01,1,-0.576542974,1.76066029,0.559170008,-1.77710855,0.558367491,1.28671682,-0.54489243,2.0174408,-2.3094368,2.56196618,-2.11960626,2.56194282,-2.98657084,2.14463115,0.498861343,-2.26950264,-14.3482933,1.45637703,6.11043215,2.05117559,-0.192896947,-13.1879139,-0.0224238113,-83.8759079,-1.02395248,53.086235,1.43502653,-1.66841769,135,47,0
0.01,2,-0.560917258,1.73228312,0.539481699,-1.7590977,0.538816094,1.31207073,-0.547511518,1.86978114,-2.3102417,2.58291221,-2.1321857,2.58292317,-2.96865916,2.12327552,1.086905,-2.3397162,-16.0474644,1.46828067,7.03016806,2.06620717,-0.163267553,-10.6591702,-0.110275097,-91.3552017,-1.01824272,57.5232353,1.47410488,-1.8245604,142,49,0
0.01,3,-0.551380873,1.71573031,0.527888477,-1.74877954,0.527252913,1.32658947,-0.548572361,1.79686141,-2.31120563,2.59468865,-2.13930726,2.59473252,-2.95823884,2.11042476,1.16708517,-2.38109684,-15.8133202,1.47507405,6.83342409,2.07518458,-0.128562242,-10.0477419,-0.166752547,-90.6889343,-1.01493633,57.0927124,1.49849951,-1.85290587,144,50,0
0.01,4,-0.576211631,1.76012242,0.558807373,-1.7767607,0.55799222,1.28720355,-0.544936478,2.01495528,-2.3094418,2.56236696,-2.11984992,2.56238127,-2.98623204,2.14417148,0.5357759,-2.27081966,-14.3709183,1.45660818,6.12204647,2.0514555,-0.194150716,-13.1079283,-0.0239879377,-82.3326035,-1.02384341,52.1593628,1.43573809,-1.67365134,135,47,0
0.01,5,-0.537224054,1.68954515,0.509459972,-1.73271906,0.50892961,1.34918165,-0.549645841,1.69059181,-2.31353378,2.61270714,-2.15029383,2.612607,-2.94176006,2.09034753,1.21408439,-2.44689465,-8.93849468,1.48561502,2.6232121,2.08958864,-0.07055711,-9.43365669,-0.265056819,-96.0733871,-1.00974476,60.2728996,1.53987026,-1.87101173,146,51,0
0.01,6,-0.559448421,1.72928429,0.537354887,-1.75721776,0.536664009,1.31471884,-0.547634244,1.85720229,-2.3103838,2.58511019,-2.13348746,2.58513856,-2.96677089,2.1208241,1.10860753,-2.3471899,-13.7270145,1.46952093,5.62721443,2.06782103,-0.157157272,-10.5162077,-0.12020506,-85.6766434,-1.01763904,54.1105881,1.47843456,-1.83198738,142,49,0
0.01,7,-0.578054845,1.76878798,0.564784706,-1.78233719,0.563965619,1.2793467,-0.544169724,2.07071567,-2.30939746,2.55573654,-2.11592007,2.55579042,-2.99171138,2.15018845,-0.320647866,-2.24961734,-13.9674044,1.45291102,5.91157103,2.04697275,-0.15566045,-15.3899736,0.000829333556,-79.7623062,-1.0255965,50.6320534,1.42441511,-1.51754344,130,45,0
0.01,8,-0.567477167,1.74240363,0.546507597,-1.76547134,0.545802772,1.30309606,-0.546568334,1.91980946,-2.30982804,2.57558179,-2.12775016,2.57560849,-2.97503591,2.13089705,0.979507983,-2.31454372,-15.6806393,1.46407688,6.84496975,2.06078744,-0.180672288,-11.2220392,-0.0776943415,-88.169342,-1.02026927,55.6301498,1.45979357,-1.79328597,140,48,0
0.01,9,-0.568187833,1.74361145,0.54733628,-1.76623905,0.546613812,1.30201936,-0.54643178,1.92595708,-2.30978847,2.57473254,-2.12721395,2.57471228,-2.97580171,2.13180089,0.967086732,-2.31154871,-15.0649843,1.46356976,6.47962427,2.06014657,-0.182710215,-11.2993116,-0.0738999397,-88.458519,-1.02051139,55.8058243,1.45811367,-1.78879356,140,49,0
