tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,0.127858564,2.21494102,0.128474101,-2.12320447,1.16534948,0.777888,-0.340069354,2.16774964,-2.40923262,2.16763902,-1.84012759,2.04008365,-3.29671907,2.81029773,52.8487625,-1.35926986,-6.76584196,1.21237183,-1.86558008,1.90046632,-1.47609997,-74.8627701,0.572710216,13.9192896,-1.1190927,1.90857267,1.02538061,-2.38438344,53,31,0
0.01,1,0.127866313,2.21493721,0.12848191,-2.12319827,1.1653446,0.777892172,-0.340070367,2.16775656,-2.40923285,2.16764474,-1.84012973,2.0400908,-3.2967155,2.81029034,52.7992706,-1.35927546,-6.75780249,1.21237516,-1.86559892,1.90046704,-1.47608423,-74.8887863,0.572709084,13.923954,-1.11909199,1.90858173,1.02538323,-2.38440967,53,31,0
0.01,2,0.127870455,2.21493602,0.128486022,-2.12320089,1.16534364,0.777893126,-0.340067625,2.16775966,-2.40923047,2.1676476,-1.84013057,2.04009461,-3.29671407,2.81028652,52.7872467,-1.35927665,-6.75599623,1.21237504,-1.86560762,1.90046668,-1.47608078,-74.8987579,0.572709143,13.9259233,-1.11909187,1.90858781,1.02538407,-2.38442421,53,31,0
0.01,3,0.127871707,2.21493936,0.12848717,-2.12320113,1.16534567,0.777890384,-0.340062201,2.1677599,-2.40923214,2.16764736,-1.84012914,2.04009485,-3.29671478,2.81028819,52.7217407,-1.35927343,-6.74527025,1.21237469,-1.86560464,1.90046751,-1.47608519,-74.9293671,0.572710931,13.9312992,-1.11909211,1.90859163,1.025383,-2.38442087,53,31,0
0.01,4,0.127871737,2.21494031,0.128487185,-2.12320352,1.16534781,0.777887523,-0.340056628,2.16775846,-2.4092319,2.16764522,-1.84012759,2.0400939,-3.29671717,2.81029105,52.6716805,-1.35927022,-6.73711157,1.21237302,-1.86560237,1.90046716,-1.47609365,-74.9551926,0.572711706,13.9358635,-1.11909282,1.9085958,1.02538192,-2.38441515,53,31,0
0.01,5,0.127878651,2.21493745,0.128494158,-2.12320113,1.16534328,0.777892292,-0.340056837,2.16776371,-2.40923071,2.16765046,-1.84012985,2.04010081,-3.29671526,2.8102839,52.672123,-1.35927474,-6.73739624,1.2123754,-1.86561847,1.90046847,-1.4760803,-74.9511337,0.572710693,13.9355164,-1.11909199,1.90860379,1.02538407,-2.38444042,53,31,0
0.01,6,0.127873167,2.21494532,0.128488213,-2.12320518,1.16535318,0.777881801,-0.340045482,2.16775727,-2.40923405,2.16764188,-1.84012389,2.04009271,-3.29672074,2.81029654,52.5476532,-1.35926294,-6.71681023,1.21237075,-1.86559606,1.90046668,-1.47611082,-75.0413742,0.57271415,13.9507675,-1.11909342,1.9086026,1.0253793,-2.38440204,53,31,0
0.01,7,0.127879128,2.21494365,0.128494233,-2.12320375,1.16534948,0.777885079,-0.340045571,2.1677618,-2.40923142,2.16764665,-1.84012556,2.0401001,-3.29671693,2.8102901,52.5677528,-1.3592664,-6.72036648,1.2123735,-1.86561108,1.90046656,-1.4760989,-75.0307617,0.572714031,13.9493198,-1.11909294,1.90861011,1.02538145,-2.3844254,53,31,0
0.01,8,0.127880886,2.21494532,0.128495947,-2.12320399,1.16535103,0.77788353,-0.340040803,2.16776371,-2.40923214,2.16764808,-1.84012401,2.04010034,-3.2967186,2.81028938,52.5223808,-1.35926461,-6.71299696,1.21237278,-1.86561203,1.9004668,-1.47610188,-75.051445,0.572714925,13.9530506,-1.11909282,1.90861535,1.02538061,-2.38442802,53,31,0
0.01,9,0.127880231,2.21494722,0.128495127,-2.12320733,1.16535378,0.777879238,-0.340034097,2.16776252,-2.40923452,2.16764617,-1.8401221,2.04009914,-3.29672098,2.81029487,52.4606133,-1.3592602,-6.70288181,1.21237075,-1.86560488,1.90046585,-1.47611344,-75.091301,0.572716534,13.95996,-1.11909342,1.90861917,1.02537847,-2.38441801,53,31,0
0.01,10,0.127882361,2.21494889,0.128497124,-2.12320805,1.16535532,0.777877152,-0.340029895,2.16776204,-2.40923452,2.16764498,-1.84012091,2.04010105,-3.29672122,2.81029439,52.415844,-1.35925782,-6.69561005,1.21237147,-1.86560655,1.90046561,-1.47611749,-75.1219025,0.572718024,13.9653378,-1.11909282,1.9086225,1.02537787,-2.3844161,53,31,0
0.01,11,0.127889559,2.21494579,0.128504544,-2.12320542,1.16534972,0.777882993,-0.340030432,2.16776896,-2.40923309,2.16765189,-1.84012353,2.04010797,-3.2967186,2.81028605,52.4023705,-1.35926414,-6.69357109,1.21237314,-1.86562598,1.90046692,-1.47610092,-75.1123352,0.572716355,13.9640779,-1.11909139,1.90863192,1.02538049,-2.38444567,53,31,0
0.01,12,0.127889171,2.21494842,0.128504038,-2.12320685,1.1653527,0.777879417,-0.340024412,2.167768,-2.40923333,2.16764998,-1.84012055,2.04010653,-3.29672074,2.81028914,52.3603325,-1.35925889,-6.68674803,1.21237218,-1.86562109,1.90046656,-1.4761107,-75.141861,0.572718143,13.9692688,-1.11909187,1.90863466,1.02537906,-2.38443947,53,31,0
0.01,13,0.127881348,2.21495724,0.128495932,-2.12321377,1.16536415,0.777868271,-0.340012312,2.1677599,-2.40923595,2.16764045,-1.84011352,2.04009604,-3.2967267,2.81030393,52.2697792,-1.35924649,-6.67181683,1.21236682,-1.86559284,1.90046513,-1.47614574,-75.2058258,0.572722137,13.9801311,-1.11909413,1.9086324,1.02537322,-2.38439631,53,31,0
0.01,14,0.127889395,2.21495199,0.128504097,-2.12321115,1.16535866,0.777873099,-0.340012878,2.16776562,-2.40923452,2.16764569,-1.84011662,2.04010487,-3.2967217,2.81029582,52.2388573,-1.35925257,-6.66686535,1.21237004,-1.86561346,1.90046656,-1.47612858,-75.2122345,0.572721124,13.9815292,-1.11909199,1.90864134,1.0253768,-2.38442445,53,31,0
0.01,15,0.127889901,2.21495438,0.128504366,-2.12321377,1.16536164,0.777869523,-0.340005994,2.16776443,-2.40923429,2.16764426,-1.840114,2.0401051,-3.29672551,2.8102982,52.2248917,-1.35924733,-6.6647234,1.21236885,-1.86560988,1.9004662,-1.47613657,-75.2358017,0.572722614,13.9857321,-1.11909211,1.90864623,1.02537477,-2.38441944,53,31,0
0.01,16,0.127897158,2.21495056,0.128511697,-2.12321091,1.16535699,0.777874112,-0.340006948,2.16777205,-2.40923333,2.16765094,-1.84011686,2.04011106,-3.2967236,2.81029177,52.173069,-1.35925364,-6.65628481,1.21237063,-1.86562657,1.90046704,-1.47612321,-75.2519684,0.572721362,13.9887581,-1.11909151,1.90865409,1.02537775,-2.38444448,53,31,0
0.01,17,0.127900481,2.21495175,0.128514871,-2.12320971,1.16535687,0.777874112,-0.34000349,2.16777301,-2.40923285,2.16765165,-1.84011734,2.04011416,-3.29672265,2.81028795,52.1488113,-1.35925233,-6.65243864,1.21237111,-1.86563265,1.9004668,-1.47612154,-75.2701492,0.572722316,13.9920826,-1.11909151,1.9086591,1.02537727,-2.3844521,53,31,0
0.01,18,0.127903983,2.2149508,0.128518477,-2.12320828,1.16535497,0.77787447,-0.340001166,2.16777563,-2.40923166,2.16765332,-1.84011793,2.0401175,-3.29672289,2.81028605,52.0801086,-1.35925341,-6.64117765,1.21237195,-1.86563993,1.9004668,-1.47611868,-75.2977066,0.572722673,13.9969749,-1.11909151,1.90866566,1.02537823,-2.38446283,53,31,0
0.01,19,0.12790218,2.21495509,0.128516555,-2.12321115,1.16535938,0.777869523,-0.339994133,2.16777229,-2.40923285,2.16764951,-1.84011447,2.04011488,-3.29672456,2.81029344,52.0306625,-1.35924721,-6.63311052,1.21237004,-1.86563051,1.90046597,-1.47613406,-75.328804,0.572724521,14.0024109,-1.11909199,1.90866733,1.02537584,-2.38444591,53,31,0
