tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,3.19087922e-05,0.1999681,2.96788261e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030925e-15,3.17176702e-11,1.41876731e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.53111377e-12,1.93127135e-17,0,4,0
0.01,1,3.19087885e-05,0.1999681,2.96789315e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030925e-15,3.17176702e-11,1.41876731e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.53111333e-12,1.93127135e-17,0,4,0
0.01,2,3.19087885e-05,0.1999681,2.9679037e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030925e-15,3.17176702e-11,1.41876731e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.53111333e-12,1.93127135e-17,0,4,0
0.01,3,3.19087885e-05,0.1999681,2.96791425e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030925e-15,3.17176702e-11,1.41876731e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.53111333e-12,1.93127135e-17,0,4,0
0.01,4,3.19087885e-05,0.1999681,2.96792507e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030925e-15,3.17176702e-11,1.41876731e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.53111333e-12,1.93127135e-17,0,4,0
0.01,5,3.19087922e-05,0.1999681,2.96793562e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030914e-15,3.17176702e-11,1.41876718e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.5311129e-12,1.93127102e-17,0,4,0
0.01,6,3.19087922e-05,0.1999681,2.96794644e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030914e-15,3.17176702e-11,1.41876718e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.5311129e-12,1.93127102e-17,0,4,0
0.01,7,3.19087922e-05,0.1999681,2.96795699e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030914e-15,3.17176702e-11,1.41876718e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.5311129e-12,1.93127102e-17,0,4,0
0.01,8,3.19087922e-05,0.1999681,2.96796782e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030914e-15,3.17176702e-11,1.41876718e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.5311129e-12,1.93127102e-17,0,4,0
0.01,9,3.19087922e-05,0.1999681,2.96797864e-10,0.039968092,2.22939001e-08,3.63644803e-09,0.0999999791,0.300000042,0.00999999885,1.76262227e-10,5.24705349e-11,1.29843853e-11,1.13030914e-15,3.17176702e-11,1.41876718e-13,6.30237048e-17,0.00700000022,2.36732769e-12,4.5311129e-12,1.93127102e-17,0,4,0
