tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,0.0620133989,0.12878716,4.54797838e-10,0.000632422103,1.96307042e-07,1.30843844e-07,0.077707015,0.324676186,0.0074585001,1.49450425e-08,1.04129336e-08,0.00226170151,0.000212946077,1.22907832e-05,0.00897070393,4.98418609e-19,0.00690130843,9.8692326e-05,2.20042409e-07,7.77957666e-06,13,0,1
0.01,1,0.0620226003,0.128778189,4.56917781e-10,0.000635417877,1.96229607e-07,1.3076415e-07,0.0777003244,0.324684232,0.0074571697,1.49334891e-08,1.04045839e-08,0.0022630617,0.000212919942,1.22790443e-05,0.00897043105,5.00779641e-19,0.00690127909,9.87229796e-05,2.21110696e-07,7.81913513e-06,13,0,1
0.01,2,0.0620052889,0.128795147,4.58850818e-10,0.000638020516,1.96299709e-07,1.30846161e-07,0.07770814,0.324674785,0.00745871523,1.49444421e-08,1.04125117e-08,0.00226148823,0.000212941537,1.22907468e-05,0.0089707179,5.02830842e-19,0.00690131122,9.86887389e-05,2.21974858e-07,7.8469966e-06,13,0,1
0.01,3,0.0619926043,0.12880753,4.60826349e-10,0.000640703482,1.96362961e-07,1.30920853e-07,0.0777134001,0.324668497,0.00745976018,1.49543293e-08,1.04196802e-08,0.00226042396,0.000212957093,1.23011869e-05,0.00897092558,5.04945271e-19,0.00690133218,9.86670129e-05,2.22874661e-07,7.87664248e-06,13,0,1
0.01,4,0.0620006584,0.128799647,4.62965943e-10,0.000643721956,1.96282741e-07,1.30838046e-07,0.0777073205,0.324675769,0.00745854899,1.4942362e-08,1.04110258e-08,0.00226166588,0.000212931831,1.22890824e-05,0.00897066109,5.0732419e-19,0.00690130563,9.86945161e-05,2.23949513e-07,7.91636103e-06,13,0,1
0.01,5,0.0619871467,0.128812969,4.64953021e-10,0.000646415923,1.96343876e-07,1.30910507e-07,0.0777130425,0.324668884,0.00745968428,1.4951949e-08,1.04179732e-08,0.00226051267,0.000212948042,1.2299276e-05,0.00897087995,5.09447356e-19,0.00690133264,9.86704326e-05,2.24852101e-07,7.94602511e-06,13,0,1
0.01,6,0.0617750883,0.129016608,4.65551375e-10,0.000646056607,1.92754399e-07,1.25939735e-07,0.077822119,0.324536026,0.00748305116,1.4220344e-08,9.88097071e-09,0.00223676488,0.000213246036,1.25561874e-05,0.00897658058,5.0916415e-19,0.00690149516,9.85041697e-05,3.10020113e-07,9.10524341e-06,15,0,1
0.01,7,0.0619817711,0.128818184,4.69117245e-10,0.000652181043,1.96328045e-07,1.30903715e-07,0.0777125731,0.32466951,0.00745958928,1.49500554e-08,1.04166222e-08,0.00226061419,0.000212939296,1.22978281e-05,0.00897083897,5.13990852e-19,0.00690132752,9.86743689e-05,2.26846893e-07,8.01598435e-06,13,0,1
0.01,8,0.0619689375,0.128830805,4.71135853e-10,0.000654921401,1.96386523e-07,1.30973262e-07,0.0777179152,0.324663132,0.00746065145,1.49592339e-08,1.04232756e-08,0.00225953781,0.000212954415,1.23075833e-05,0.00897103921,5.16150569e-19,0.00690134661,9.86520245e-05,2.2776635e-07,8.04630326e-06,13,0,1
0.01,9,0.0617650114,0.12902604,4.71795047e-10,0.00065470644,1.92838783e-07,1.26566533e-07,0.0778224915,0.324535757,0.00748314057,1.43399488e-08,9.96734784e-09,0.00223665196,0.00021326507,1.22346337e-05,0.0089769233,5.15981204e-19,0.0069014919,9.85076476e-05,3.06683489e-07,9.23135667e-06,15,0,1
0.01,10,0.0619619787,0.128837615,4.75343209e-10,0.000660737627,1.96370991e-07,1.30966981e-07,0.0777182579,0.324662566,0.00746071758,1.49574131e-08,1.042197e-08,0.0022594789,0.000212947183,1.23062746e-05,0.00897101872,5.20734391e-19,0.00690134801,9.86519226e-05,2.29775409e-07,8.11657537e-06,13,0,1
0.01,11,0.0619484596,0.128850773,4.77383411e-10,0.000663503888,1.96430406e-07,1.31037496e-07,0.0777239576,0.324655831,0.00746183703,1.49667176e-08,1.0428713e-08,0.00225833408,0.000212962914,1.23161753e-05,0.00897123385,5.22914477e-19,0.00690137083,9.86280138e-05,2.30701488e-07,8.14701798e-06,13,0,1
0.01,12,0.0617583729,0.129031882,4.78147189e-10,0.000663541141,1.92514591e-07,1.26883549e-07,0.0778210312,0.324537992,0.00748283835,1.44294852e-08,1.00310169e-08,0.00223693228,0.000213290608,1.17306681e-05,0.00897743832,5.22943945e-19,0.00690147933,9.85219813e-05,3.01462165e-07,9.37919413e-06,15,0,1
0.01,13,0.0619444177,0.128854841,4.81669371e-10,0.000669441943,1.9640855e-07,1.31024564e-07,0.0777226761,0.32465741,0.00746158697,1.49639359e-08,1.0426719e-08,0.0022586016,0.000212951578,1.23138025e-05,0.00897116214,5.27594303e-19,0.00690136384,9.86358209e-05,2.3275814e-07,8.21930644e-06,13,0,1
0.01,14,0.0617524534,0.129038349,4.82434703e-10,0.000669410627,1.92840844e-07,1.26560877e-07,0.0778206065,0.324537903,0.00748278992,1.43341055e-08,9.96321781e-09,0.00223702518,0.000213244915,1.22614692e-05,0.00897681713,5.27569746e-19,0.00690147607,9.85229563e-05,3.12214581e-07,9.40549398e-06,15,0,1
0.01,15,0.0617540851,0.12903519,4.84598639e-10,0.000672552327,1.9195511e-07,1.26969297e-07,0.0778182298,0.324542046,0.00748224556,1.44941836e-08,1.00740793e-08,0.00223749829,0.000213316554,1.11304071e-05,0.00897802878,5.30045653e-19,0.00690145744,9.85439547e-05,2.92106535e-07,9.54253846e-06,15,0,1
0.01,16,0.0619262271,0.128872722,4.88074525e-10,0.000678250974,1.96442727e-07,1.31078664e-07,0.0777273774,0.324651718,0.00746251037,1.4969963e-08,1.04311102e-08,0.00225766981,0.000212955973,1.23208656e-05,0.00897130743,5.3453683e-19,0.00690138107,9.86181622e-05,2.35775673e-07,8.32318437e-06,13,0,1
0.01,17,0.061744906,0.129045278,4.88926122e-10,0.000678418903,1.92656842e-07,1.26850821e-07,0.0778194591,0.32453981,0.00748256641,1.44062984e-08,1.00148405e-08,0.00223723846,0.000213260137,1.19093247e-05,0.00897716451,5.3466923e-19,0.00690146582,9.85346487e-05,3.0952441e-07,9.5421392e-06,15,0,1
0.01,18,0.0617515743,0.129036933,4.91233221e-10,0.00068177603,1.83367519e-07,1.16162703e-07,0.0778148249,0.324547023,0.00748145254,1.29309834e-08,8.94754049e-09,0.00223829295,0.00021332076,1.03704015e-05,0.008978514,5.37315019e-19,0.0069014295,9.85707302e-05,3.50255164e-07,9.66142397e-06,14,0,1
0.01,19,0.0619037338,0.12889494,4.94530528e-10,0.000687125372,1.96293811e-07,1.30929408e-07,0.0777347982,0.324642956,0.00746386265,1.49481938e-08,1.04152758e-08,0.00225633336,0.000212941013,1.2299889e-05,0.00897130277,5.415309e-19,0.00690142252,9.85791921e-05,2.38837373e-07,8.43047292e-06,13,0,1
0.01,20,0.0617388971,0.129050583,4.9551574e-10,0.000687583291,1.92286521e-07,1.2695638e-07,0.0778174102,0.324542582,0.00748214265,1.44566537e-08,1.00497699e-08,0.00223764288,0.000213275707,1.14965569e-05,0.00897756219,5.41891758e-19,0.00690144999,9.85515362e-05,3.0557473e-07,9.68796394e-06,15,0,1
0.01,21,0.0617394559,0.129052624,4.97822783e-10,0.000690990651,1.82373057e-07,1.14999963e-07,0.0778208449,0.324541032,0.00748182042,1.27679067e-08,8.82889406e-09,0.00223832647,0.000212946994,1.0192899e-05,0.00897500571,5.445772e-19,0.00690144766,9.85525039e-05,3.61540543e-07,9.80701134e-06,14,0,1
0.01,22,0.0617277548,0.129074305,5.00001762e-10,0.000694252842,1.79637567e-07,1.11791316e-07,0.0778382868,0.324523807,0.00748307025,1.2322853e-08,8.50503312e-09,0.00223812321,0.000211987019,9.70145538e-06,0.00896571297,5.47148129e-19,0.00690151192,9.84875878e-05,3.85190418e-07,9.93199956e-06,14,0,1
0.01,23,0.0617344677,0.129054159,5.02199116e-10,0.00069692533,1.91832001e-07,1.27081222e-07,0.077814512,0.324546635,0.00748153124,1.45236392e-08,1.00929123e-08,0.00223823171,0.000213297011,1.09470338e-05,0.00897809304,5.49254337e-19,0.00690142764,9.8573757e-05,2.9469993e-07,9.85288989e-06,15,0,1
0.01,24,0.0617288053,0.129065812,5.04509823e-10,0.000700310338,1.81639933e-07,1.14152286e-07,0.0778246075,0.324537426,0.00748199085,1.26486643e-08,8.74215456e-09,0.00223845523,0.000212675295,1.00625766e-05,0.00897245388,5.51922098e-19,0.00690145744,9.85430452e-05,3.70747273e-07,9.94286711e-06,14,0,1
0.01,25,0.0617187284,0.129084617,5.06727382e-10,0.000703587721,1.79253476e-07,1.11361807e-07,0.0778394192,0.324522913,0.0074830153,1.22616903e-08,8.46057002e-09,0.00223833253,0.000211846913,9.63395541e-06,0.00896439608,5.5450497e-19,0.00690151285,9.84884537e-05,3.91612389e-07,1.00544858e-05,14,0,1
0.01,26,0.0618585572,0.128939196,5.09988329e-10,0.000708360516,1.9640224e-07,1.31088669e-07,0.0777467713,0.324628592,0.0074662366,1.49667194e-08,1.04287583e-08,0.0022539387,0.000212956438,1.23208865e-05,0.00897170696,5.58266522e-19,0.00690146582,9.85344595e-05,2.46094203e-07,8.67936888e-06,13,0,1
0.01,27,0.0617197044,0.129075825,5.11294729e-10,0.00070972048,1.8135033e-07,1.1382965e-07,0.07782536,0.324537098,0.0074819182,1.26022091e-08,8.70838601e-09,0.00223864964,0.000212562853,1.00120287e-05,0.00897142757,5.59338341e-19,0.00690145465,9.85454681e-05,3.76372952e-07,1.00645993e-05,14,0,1
0.01,28,0.0617241822,0.129064396,5.13619036e-10,0.000712752808,1.83191887e-07,1.16014057e-07,0.0778121352,0.32455042,0.00748083135,1.29046347e-08,8.92850238e-09,0.00223901891,0.000213222273,1.03438315e-05,0.0089777736,5.61728066e-19,0.00690140296,9.85981169e-05,3.62346384e-07,1.00372881e-05,14,0,1
0.01,29,0.0617122762,0.129085258,5.15861243e-10,0.00071608834,1.80770897e-07,1.1316115e-07,0.0778283477,0.324534208,0.00748205092,1.2508397e-08,8.64014904e-09,0.00223874091,0.000212353116,9.9088611e-06,0.00896943454,5.64356949e-19,0.00690146489,9.85375009e-05,3.83349999e-07,1.01589358e-05,14,0,1
0.01,30,0.0617019385,0.129105866,5.18130983e-10,0.0007194684,1.77907694e-07,1.09828449e-07,0.077845268,0.324517637,0.00748314941,1.20467192e-08,8.30421953e-09,0.00223870412,0.00021137984,9.39446454e-06,0.00895987544,5.67020781e-19,0.00690152496,9.84754151e-05,4.08333733e-07,1.02798467e-05,14,0,1
0.01,31,0.0617160015,0.129072323,5.20531229e-10,0.000722309516,1.83197912e-07,1.16039722e-07,0.0778108835,0.324551851,0.00748060225,1.29064333e-08,8.92985152e-09,0.00223925477,0.000213214094,1.03464399e-05,0.0089777559,5.69259907e-19,0.00690139225,9.86082741e-05,3.65580831e-07,1.01508049e-05,14,0,1
0.01,32,0.0617038384,0.129093707,5.22801913e-10,0.000725691905,1.80706309e-07,1.13104115e-07,0.0778275207,0.324535251,0.00748185767,1.24987327e-08,8.63315464e-09,0.00223897048,0.000212320519,9.898813e-06,0.00896918308,5.71925549e-19,0.00690145371,9.85459192e-05,3.87197247e-07,1.02754866e-05,14,0,1
0.01,33,0.061693687,0.129113868,5.25102462e-10,0.000729107764,1.77927973e-07,1.09871138e-07,0.0778439268,0.324519008,0.00748292031,1.20508163e-08,8.30723934e-09,0.00223894045,0.000211376246,9.39969595e-06,0.00895990618,5.7461766e-19,0.00690151285,9.84858925e-05,4.11488287e-07,1.03942948e-05,14,0,1
0.01,34,0.0616860464,0.129132405,5.27438426e-10,0.000732571061,1.74803461e-07,1.06273113e-07,0.0778601319,0.32450366,0.00748373987,1.1553368e-08,7.94533328e-09,0.00223923055,0.000210359387,8.837731e-06,0.00894967094,5.77347097e-19,0.0069015706,9.84283179e-05,4.39130901e-07,1.05076761e-05,14,0,1
0.01,35,0.0616952553,0.129102454,5.29834954e-10,0.000735423295,1.80619793e-07,1.13021919e-07,0.0778267831,0.324536324,0.00748166209,1.24855264e-08,8.62358895e-09,0.00223921123,0.000212280298,9.88488591e-06,0.00896885432,5.79595012e-19,0.00690144626,9.85542501e-05,3.91246033e-07,1.03940165e-05,14,0,1
0.01,36,0.0616851151,0.129122525,5.321662e-10,0.000738881994,1.77843248e-07,1.09792147e-07,0.0778431818,0.324520111,0.00748271775,1.20380514e-08,8.2980014e-09,0.00223918073,0.000211337741,9.38603262e-06,0.00895959139,5.82320779e-19,0.00690150633,9.84943399e-05,4.15579137e-07,1.05130603e-05,14,0,1
0.01,37,0.0616775602,0.129140869,5.3453314e-10,0.000742382719,1.74788838e-07,1.06276168e-07,0.0778589621,0.324505031,0.00748352194,1.15519274e-08,7.9443323e-09,0.00223946851,0.000210344137,8.8367342e-06,0.00894958153,5.8507984e-19,0.00690155989,9.84381331e-05,4.42658802e-07,1.062503e-05,14,0,1
0.01,38,0.0616732761,0.129155383,5.36937994e-10,0.000745906786,1.71847475e-07,1.02919017e-07,0.0778722614,0.324492633,0.00748394663,1.10883835e-08,7.6071327e-09,0.0022400578,0.000209415404,8.30680256e-06,0.00894001778,5.87857202e-19,0.00690160785,9.83930659e-05,4.69209198e-07,1.0722465e-05,14,0,1
0.01,39,0.0614503361,0.129332453,5.37276723e-10,0.000743799785,1.88086133e-07,1.21478777e-07,0.0779425353,0.32439363,0.00750596216,1.36427474e-08,9.46456513e-09,0.00221337378,0.000213657404,1.1211635e-05,0.00898245722,5.86196534e-19,0.00690201158,9.7989825e-05,3.66757035e-07,1.03521179e-05,14,0,1
