tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,0.0667069629,0.123865247,4.89299434e-10,0.000706980354,1.99335773e-07,1.28057849e-07,0.0743409097,0.328450918,0.00683917012,1.64139884e-08,1.14697061e-08,0.00267068949,0.000421400269,1.64440007e-05,0.00898970105,5.57178779e-19,0.00691535091,8.46489056e-05,2.20425989e-07,8.2329243e-06,258,0,1
0.01,1,0.059311077,0.131315917,4.3493506e-10,0.000592979311,2.01679185e-07,1.42089561e-07,0.0795089155,0.322686672,0.00765213929,1.65293557e-08,1.13264882e-08,0.00207342254,0.000206440644,1.3709322e-05,0.00915296096,4.67333368e-19,0.00692484528,7.51555344e-05,1.97735403e-07,6.6560001e-06,133,0,1
0.01,2,0.0550156608,0.135326728,4.033682e-10,0.000534095452,7.39552092e-07,1.36206793e-07,0.0825534761,0.319398105,0.00799740572,2.43208945e-07,2.46128948e-08,0.00180895906,0.000122602563,-5.45171133e-07,0.00952459686,4.2092639e-19,0.00694400724,5.59937071e-05,1.64401186e-07,5.12530505e-06,274,0,1
0.01,3,0.0582797825,0.13224104,4.27379576e-10,0.000578449632,2.31117497e-07,1.63452199e-07,0.0799456909,0.322124958,0.00773373013,2.20899921e-09,1.3815125e-08,0.00194693147,0.000249234057,1.6322927e-05,0.00921722967,4.55882397e-19,0.00693194475,6.805468e-05,1.88409686e-07,6.22488778e-06,335,0,1
0.01,4,0.0599225946,0.130665407,4.39462244e-10,0.000600129773,4.76391335e-07,3.48218123e-07,0.0796268657,0.322753727,0.00739304442,3.4122003e-08,2.07041779e-08,0.00228011375,0.000259111664,3.4718003e-05,0.00913908891,4.72968691e-19,0.00693464139,6.53608222e-05,1.93983368e-07,6.79574123e-06,185,0,1
0.01,5,0.0512793623,0.138869569,3.76046805e-10,0.000501086644,-1.35494201e-06,-1.71560055e-06,0.0844306722,0.317198277,0.0084575424,-1.68469782e-07,-1.28759325e-07,0.00128274236,0.00018857242,-0.000203473537,0.0096523473,3.94911767e-19,0.00694801193,5.19882233e-05,1.70774015e-07,4.98829013e-06,135,0,1
0.01,6,0.0571847446,0.133187428,4.1943482e-10,0.000569926924,-8.42768657e-07,-3.81355648e-07,0.0801534206,0.321787536,0.00789895747,1.27267754e-07,9.49076053e-08,0.00170150062,0.000328857626,-9.8331453e-05,0.00928625651,4.49165483e-19,0.00692943018,7.05691127e-05,2.12037889e-07,6.22363768e-06,137,0,1
0.01,7,0.0572687052,0.133160427,4.20004753e-10,0.000564569025,2.26871947e-07,1.58679995e-07,0.080780603,0.321263492,0.0077852346,1.83391258e-08,1.28031914e-08,0.00192051812,0.000223452691,1.79127674e-05,0.00933547132,4.44942881e-19,0.00692726159,7.27404404e-05,1.81240495e-07,5.909631e-06,81,0,1
0.01,8,0.0533123314,0.136946172,3.90646487e-10,0.000525851676,-1.51141421e-06,-1.66226801e-06,0.0828198195,0.318875045,0.00829305593,-2.12590408e-07,-1.5929902e-07,0.00138328644,0.000252920901,-0.000169547813,0.00947420392,4.14429326e-19,0.00694008358,5.99168634e-05,-1.278989e-07,7.2111302e-06,106,0,1
0.01,9,0.0576406345,0.133007631,4.22771984e-10,0.00056909502,2.09694079e-07,1.463563e-07,0.0810142681,0.321128964,0.00779035036,1.57847424e-08,1.10523324e-08,0.00202281051,0.000120141776,1.28008978e-05,0.00921918079,4.48509839e-19,0.00692664506,7.33555426e-05,1.88025851e-07,6.15580439e-06,105,0,1
0.01,10,0.0545010157,0.136032254,3.99686645e-10,0.00052447588,4.34160938e-07,1.43958459e-07,0.0825859457,0.319182277,0.0081735719,-3.20725349e-08,-4.9906248e-09,0.00165080279,0.000106791798,2.01202693e-05,0.00934987701,4.13345021e-19,0.00693735573,6.2643885e-05,1.60555871e-07,4.96418852e-06,105,0,1
