tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,0.0886906907,0.104023911,6.51567467e-10,0.00112015882,1.4936731e-07,7.5758436e-08,0.0636127517,0.341547728,0.00476807775,6.523313e-09,4.38308945e-09,0.0050852159,0.000106926775,4.33787454e-06,0.00711926725,8.82809129e-19,0.0067835995,0.000216400411,5.80388246e-07,2.93250741e-05,10,1,1
0.01,1,0.0886858925,0.104028448,6.54471477e-10,0.00112510298,1.49362222e-07,7.57618395e-08,0.0636121556,0.341548353,0.00476797763,6.52324106e-09,4.38306014e-09,0.00508532207,0.000106920357,4.33801597e-06,0.00711920531,8.8670577e-19,0.00678359531,0.000216405853,5.82916641e-07,2.94512229e-05,10,1,1
0.01,2,0.0886801928,0.10403391,6.5738176e-10,0.00113004737,1.49358243e-07,7.57666285e-08,0.0636120513,0.341548532,0.00476797763,6.52339116e-09,4.38318848e-09,0.0050853258,0.000106917803,4.33834339e-06,0.00711922674,8.90602515e-19,0.00678359065,0.000216407207,5.85422754e-07,2.95758928e-05,10,1,1
0.01,3,0.0886747241,0.10403914,6.60306754e-10,0.00113501912,1.4935371e-07,7.57709913e-08,0.0636117533,0.34154883,0.00476794085,6.52346088e-09,4.38326042e-09,0.00508536771,0.000106913816,4.33860805e-06,0.00711919786,8.94520766e-19,0.00678359112,0.000216410132,5.87970931e-07,2.97028128e-05,10,1,1
0.01,4,0.0886694267,0.104044251,6.63245958e-10,0.00114001636,1.49349134e-07,7.5775155e-08,0.063611418,0.341549248,0.00476788916,6.52349996e-09,4.38331016e-09,0.00508542266,0.00010690948,4.33884588e-06,0.00711918157,8.9845918e-19,0.00678358739,0.00021641358,5.9053184e-07,2.98304112e-05,10,1,1
0.01,5,0.0886638761,0.104049526,6.66196376e-10,0.00114503037,1.49344942e-07,7.57797025e-08,0.0636112168,0.341549456,0.00476786355,6.52360077e-09,4.38340342e-09,0.00508545153,0.000106905907,4.33913283e-06,0.00711917086,9.02410725e-19,0.0067835846,0.000216416025,5.93078198e-07,2.99571293e-05,10,1,1
0.01,6,0.0886584669,0.104054719,6.69160949e-10,0.00115006941,1.49340337e-07,7.57839871e-08,0.063610889,0.341549873,0.00476782117,6.52365895e-09,4.38346737e-09,0.0050854967,0.000106901833,4.33938885e-06,0.00711915595,9.06382019e-19,0.0067835818,0.000216419066,5.9564934e-07,3.00851516e-05,10,1,1
0.01,7,0.0886529908,0.104059942,6.72138178e-10,0.00115512905,1.49336046e-07,7.57884209e-08,0.0636106506,0.341550082,0.00476778718,6.52373888e-09,4.38354597e-09,0.00508553442,0.000106897984,4.33966079e-06,0.00711913873,9.10369546e-19,0.00678357948,0.000216421831,5.98236056e-07,3.02139324e-05,10,1,1
0.01,8,0.0886472762,0.104065351,6.7512701e-10,0.00116020581,1.49331754e-07,7.57931033e-08,0.0636104345,0.341550291,0.00476776296,6.52384591e-09,4.38364456e-09,0.00508556468,0.000106894404,4.33995774e-06,0.00711913453,9.14370722e-19,0.00678357668,0.000216424232,6.00813166e-07,3.03420966e-05,10,1,1
0.01,9,0.0886422172,0.104070291,6.78133938e-10,0.00116531888,1.49326425e-07,7.57967982e-08,0.0636098683,0.341551036,0.00476767123,6.52379306e-09,4.3836299e-09,0.00508566201,0.000106888241,4.34012782e-06,0.00711908843,9.18400333e-19,0.00678357203,0.000216429355,6.03427338e-07,3.0472369e-05,10,1,1
