dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,converged
30,0,-9.28486347,9.65791416,-5.99994792e-08,1.50487483,0.000194557157,0.000271394209,6.39801407,-6.51000786,1.22967589,2.86688792e-05,2.08871697e-05,-0.477960974,-0.747615397,0.0452776887,1.11099339,1.16911384e-15,0.0520459339,-0.0458065681,0.00181541836,-0.269104898,1
30,1,-9.28251934,9.65538597,-5.99862702e-08,1.50459433,0.000194521854,0.000271345169,6.39637947,-6.50844288,1.22935891,2.86634786e-05,2.08833026e-05,-0.478123397,-0.747292578,0.0452717207,1.11054158,1.16889319e-15,0.0517995581,-0.044943504,0.00181511568,-0.26915285,1
30,2,-9.29544067,9.66862297,-6.00788894e-08,1.5053854,0.000194617416,0.000271486846,6.4054637,-6.51865149,1.23109186,2.86775467e-05,2.08935999e-05,-0.47888276,-0.747440755,0.0452412479,1.11130261,1.1695165e-15,0.0517739207,-0.0446402654,0.00181589427,-0.268648118,1
30,3,-9.28693008,9.65976334,-6.00232894e-08,1.50460637,0.000194521199,0.000271348952,6.39947414,-6.51192427,1.22994554,2.86636423e-05,2.08831589e-05,-0.478781849,-0.746985137,0.0452764183,1.11084735,1.1689025e-15,0.0519005507,-0.0452669002,0.00181500835,-0.268608451,1
30,4,-9.31110859,9.68560219,-6.01889809e-08,1.50707233,0.000194827298,0.000271777419,6.41643858,-6.53039169,1.23318696,2.87084949e-05,2.09158698e-05,-0.480684161,-0.748553097,0.0452127792,1.11289203,1.17084602e-15,0.0519334078,-0.044876501,0.00181819825,-0.27074182,1
30,5,-9.29766941,9.67111683,-6.01019181e-08,1.50542951,0.000194621956,0.000271491183,6.40701342,-6.51995134,1.23138726,2.86785253e-05,2.0894011e-05,-0.479353964,-0.747590303,0.0452557951,1.11199474,1.16955122e-15,0.0518540777,-0.0448389053,0.00181609893,-0.269506216,1
30,6,-9.30908871,9.68370056,-6.01777757e-08,1.50733268,0.000194861219,0.000271821278,6.41503382,-6.52900457,1.23292172,2.87135044e-05,2.09195405e-05,-0.480637431,-0.748806238,0.0452162102,1.11305308,1.17105121e-15,0.0519272834,-0.0449188054,0.00181851978,-0.270877481,1
30,7,-9.28529549,9.65801525,-6.00215628e-08,1.5044806,0.000194505119,0.000271326746,6.39832544,-6.5104332,1.22973204,2.86612358e-05,2.08816091e-05,-0.477865964,-0.747151494,0.0452786647,1.11062586,1.16880329e-15,0.0519251749,-0.0453654937,0.00181479927,-0.268290192,1
30,8,-9.28947163,9.66261578,-6.00512706e-08,1.50506377,0.000194578402,0.000271427009,6.40126944,-6.51404476,1.2302953,2.86716913e-05,2.08892852e-05,-0.478736311,-0.747413099,0.0452541634,1.11108983,1.16926302e-15,0.051425416,-0.0434785858,0.00181561615,-0.2691001,1
30,9,-9.32438946,9.69929886,-6.02946315e-08,1.50770772,0.00019490179,0.000271888013,6.42579699,-6.54058361,1.23496079,2.87196344e-05,2.09240497e-05,-0.481260121,-0.748886049,0.0451865643,1.113675,1.17134683e-15,0.0521770269,-0.0456497408,0.00181893783,-0.271032721,1
30,10,-9.31656551,9.69100857,-6.02419377e-08,1.50731182,0.000194854001,0.000271820521,6.42030716,-6.53486967,1.23391604,2.87126168e-05,2.09188111e-05,-0.481170297,-0.748305857,0.0452035517,1.11336184,1.1710348e-15,0.052049309,-0.0452553183,0.00181835447,-0.270246953,1
30,11,-9.27632618,9.64875698,-5.99678955e-08,1.50405014,0.0001944533,0.000271248718,6.39203787,-6.50377035,1.22853577,2.86536433e-05,2.08758684e-05,-0.477957934,-0.746810257,0.0453006029,1.11038995,1.16846416e-15,0.0517943539,-0.0450706519,0.00181434304,-0.268422931,1
30,12,-9.27817535,9.65075779,-5.99826535e-08,1.50425816,0.000194479493,0.000271285098,6.39329672,-6.50436592,1.22878242,2.86574814e-05,2.08786969e-05,-0.477762282,-0.747065663,0.0453008749,1.11106396,1.16862817e-15,0.0518348925,-0.0451740474,0.00181458739,-0.268468082,1
30,13,-9.2844944,9.65715122,-6.00322778e-08,1.50403059,0.000194446649,0.000271244062,6.39775991,-6.50950813,1.2296257,2.86526429e-05,2.08752954e-05,-0.47809881,-0.746927917,0.045280721,1.11116457,1.1684487e-15,0.0519070663,-0.0453390107,0.00181437866,-0.268852323,1
