dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,converged
30,0,-34.056179,33.9652977,-2.05994837e-07,8.15435791,0.00174083957,0.00248479261,22.9633102,-23.4393444,4.44170952,0.000252470578,0.000183832177,-0.955593467,-3.50113606,-0.0272226278,5.44960785,6.4265385e-15,0.155923262,-0.162942156,0.00997192599,-0.829981148,1
30,1,-33.7692451,33.6770782,-2.03817692e-07,8.17248726,0.00174476148,0.00249040965,22.7677231,-23.2315617,4.40409184,0.000253040722,0.000184249351,-0.931161523,-3.4836781,-0.0260929894,5.41982651,6.44082328e-15,0.151512057,-0.145288065,0.00999321695,-0.8121351,1
30,2,-32.241539,32.146862,-1.91731488e-07,8.35671139,0.00178439962,0.00254678773,21.7249413,-22.0103855,4.20356321,0.000258806336,0.000188444654,-0.760678649,-3.45845366,-0.0184684265,5.38308239,6.5860132e-15,0.146668896,-0.137043446,0.0102176573,-0.798684299,1
30,3,-32.8759956,32.7781181,-1.95962031e-07,8.43475151,0.00180093106,0.00257028802,22.1572094,-22.4783878,4.28674316,0.000261208159,0.000190192892,-0.791212797,-3.52276802,-0.0194741655,5.44588852,6.64751881e-15,0.149453714,-0.140482187,0.0103127975,-0.826753139,1
30,4,-33.9267883,33.8358002,-2.05154493e-07,8.14134502,0.00173807959,0.00248085195,22.8752708,-23.3466759,4.42475748,0.000252070255,0.000183540658,-0.943663001,-3.49386382,-0.0266791526,5.43671894,6.41628008e-15,0.152884439,-0.157584399,0.00995543879,-0.815593779,1
30,5,-34.4591141,34.3648071,-2.08691404e-07,8.2099638,0.00175262359,0.00250156736,23.2378178,-23.7426491,4.49454021,0.000254180632,0.000185076744,-0.984686971,-3.53184676,-0.0287298914,5.48680353,6.47036144e-15,0.157723472,-0.150979206,0.0100388173,-0.848176062,1
30,6,-33.7806053,33.6854362,-2.03526866e-07,8.25331688,0.00176200911,0.00251488737,22.7749805,-23.212307,4.40550709,0.000255546853,0.000186071644,-0.918688416,-3.51541162,-0.0255991593,5.45480013,6.50452863e-15,0.151583865,-0.142678589,0.0100908717,-0.822476804,1
30,7,-32.7660141,32.6690025,-1.95519149e-07,8.37200546,0.00178754819,0.00255128043,22.0824928,-22.4112759,4.27234221,0.000259261578,0.000188775346,-0.809777856,-3.48382854,-0.0204372853,5.41060162,6.59806775e-15,0.147244006,-0.125402689,0.0102367736,-0.817732632,1
30,8,-32.8894882,32.7938309,-1.96777521e-07,8.30447102,0.00177310826,0.00253067212,22.1670895,-22.515852,4.28855705,0.000257164211,0.000187250247,-0.816403627,-3.49103069,-0.0210046731,5.41329575,6.54484359e-15,0.14983663,-0.141798943,0.0101540126,-0.810997128,1
30,9,-33.7407684,33.647049,-2.0341264e-07,8.22399902,0.00175575598,0.00250602514,22.7480087,-23.1965218,4.40026808,0.000254636252,0.000185407116,-0.934969842,-3.49039125,-0.0262751356,5.43206072,6.48142327e-15,0.154170349,-0.124579951,0.0100563793,-0.826783657,1
