tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,0.0578351915,0.132702887,4.24062507e-10,0.000571085839,2.11210505e-07,1.4770356e-07,0.0799584985,0.32199505,0.00787523668,1.73761361e-08,1.21695516e-08,0.0018273535,0.000226894816,1.47978189e-05,0.0092227729,4.50078949e-19,0.00691729458,8.27060139e-05,1.85912498e-07,6.0448524e-06,8,0,1
0.01,1,0.0578331389,0.132704899,4.25960683e-10,0.000573633472,2.11210335e-07,1.47708363e-07,0.079958111,0.321995527,0.00787516404,1.7376335e-08,1.21697088e-08,0.00182742882,0.000226891192,1.47982382e-05,0.00922275148,4.52086672e-19,0.00691729039,8.2709259e-05,1.86729153e-07,6.07135826e-06,8,0,1
0.01,2,0.0578310937,0.132706925,4.27867325e-10,0.000576192571,2.11210136e-07,1.47713124e-07,0.0799577311,0.321996003,0.00787509419,1.73765233e-08,1.21698562e-08,0.00182750495,0.000226887685,1.47986357e-05,0.00922272913,4.54103596e-19,0.0069172876,8.27125405e-05,1.87549119e-07,6.09797189e-06,8,0,1
0.01,3,0.0578290671,0.132708907,4.29782543e-10,0.000578763429,2.11210335e-07,1.4771804e-07,0.0799573213,0.32199648,0.00787501875,1.73767294e-08,1.21700188e-08,0.00182758388,0.000226883974,1.47990395e-05,0.00922270492,4.56129775e-19,0.00691728387,8.27159456e-05,1.88372951e-07,6.12471194e-06,8,0,1
0.01,4,0.057827007,0.132710949,4.31706337e-10,0.000581345055,2.11210036e-07,1.47722702e-07,0.0799569264,0.321996927,0.00787494518,1.73769035e-08,1.21701573e-08,0.0018276613,0.000226880307,1.47994297e-05,0.0092226807,4.58164329e-19,0.00691728061,8.27192998e-05,1.89199355e-07,6.15153658e-06,8,0,1
0.01,5,0.0578249097,0.132713005,4.33638236e-10,0.00058393809,2.11209937e-07,1.4772769e-07,0.079956539,0.321997404,0.00787487347,1.73771202e-08,1.21703243e-08,0.0018277365,0.000226876771,1.4799858e-05,0.00922266115,4.60207827e-19,0.00691727782,8.27225522e-05,1.90030363e-07,6.17849582e-06,8,0,1
0.01,6,0.0578228272,0.132715061,4.35579017e-10,0.000586542243,2.11209866e-07,1.47732564e-07,0.0799561515,0.321997821,0.00787479896,1.7377312e-08,1.21704788e-08,0.00182781462,0.000226873133,1.48002737e-05,0.00922263786,4.62260269e-19,0.00691727409,8.27259137e-05,1.90864455e-07,6.20556148e-06,8,0,1
0.01,7,0.0578207858,0.132717088,4.37528652e-10,0.000589158968,2.11209596e-07,1.47737282e-07,0.0799557269,0.321998388,0.00787472166,1.73774986e-08,1.21706227e-08,0.00182789809,0.000226869248,1.48006684e-05,0.00922261178,4.64322482e-19,0.00691727083,8.27295007e-05,1.91702966e-07,6.2327731e-06,8,0,1
0.01,8,0.0578186475,0.132719189,4.39486253e-10,0.000591785589,2.11209482e-07,1.47742355e-07,0.0799553469,0.321998805,0.00787465088,1.73777224e-08,1.21707933e-08,0.00182797306,0.000226865741,1.48011022e-05,0.0092225913,4.66392709e-19,0.00691726757,8.27327385e-05,1.92544121e-07,6.26005885e-06,8,0,1
0.01,9,0.057816539,0.132721275,4.41453069e-10,0.000594425132,2.11209411e-07,1.47747286e-07,0.0799549296,0.321999282,0.00787457637,1.73779053e-08,1.21709407e-08,0.00182805141,0.000226861972,1.48015079e-05,0.00922256708,4.68472809e-19,0.00691726385,8.27361146e-05,1.93389482e-07,6.28748148e-06,8,0,1
0.01,10,0.0578144342,0.132723317,4.43428738e-10,0.000597076199,2.11209269e-07,1.47752203e-07,0.0799545273,0.321999818,0.00787449908,1.73781025e-08,1.2171097e-08,0.00182813243,0.000226858203,1.48019235e-05,0.0092225438,4.70562216e-19,0.00691726059,8.27396216e-05,1.94238552e-07,6.3150228e-06,8,0,1
0.01,11,0.0578122772,0.132725447,4.45412734e-10,0.000599738385,2.11209468e-07,1.47757461e-07,0.0799541399,0.322000265,0.00787442643,1.73783601e-08,1.21712986e-08,0.0018282081,0.000226854652,1.48023928e-05,0.00922252238,4.72660204e-19,0.00691725733,8.27428885e-05,1.9509072e-07,6.34265734e-06,8,0,1
0.01,12,0.057810165,0.132727563,4.4740589e-10,0.000602412736,2.11209155e-07,1.47762336e-07,0.0799537152,0.322000772,0.00787434913,1.73785324e-08,1.21714345e-08,0.00182829029,0.000226850752,1.48027902e-05,0.00922249723,4.74767912e-19,0.0069172536,8.27464246e-05,1.95947067e-07,6.3704374e-06,8,0,1
0.01,13,0.0578080043,0.132729679,4.49407705e-10,0.000605098438,2.11209056e-07,1.4776748e-07,0.0799533129,0.322001219,0.00787427276,1.7378742e-08,1.21716006e-08,0.00182836899,0.000226847027,1.48032241e-05,0.00922247395,4.76884564e-19,0.00691725081,8.27498297e-05,1.96806937e-07,6.39832024e-06,8,0,1
0.01,14,0.0578058735,0.132731795,4.51418458e-10,0.000607796479,2.11208743e-07,1.47772312e-07,0.0799529031,0.322001725,0.00787419546,1.73789267e-08,1.21717436e-08,0.00182845257,0.000226843156,1.48036306e-05,0.00922244973,4.79010832e-19,0.00691724708,8.27534313e-05,1.976709e-07,6.42634495e-06,8,0,1
0.01,15,0.0578036867,0.132733941,4.5343812e-10,0.000610506162,2.11208786e-07,1.47777627e-07,0.0799525008,0.322002232,0.00787412096,1.73791737e-08,1.2171931e-08,0.00182852976,0.000226839475,1.48040863e-05,0.00922242831,4.81146457e-19,0.00691724382,8.2756771e-05,1.98538118e-07,6.4544588e-06,8,0,1
0.01,16,0.0578015223,0.132736087,4.55466609e-10,0.000613227719,2.112087e-07,1.47782742e-07,0.0799520835,0.322002769,0.00787404273,1.73793637e-08,1.21720891e-08,0.00182861183,0.000226835647,1.48045137e-05,0.00922240503,4.83291336e-19,0.0069172401,8.27603071e-05,1.99409101e-07,6.4827027e-06,8,0,1
0.01,17,0.0577993318,0.132738218,4.57504257e-10,0.000615961733,2.11208587e-07,1.47787816e-07,0.0799516663,0.322003275,0.00787396543,1.73795733e-08,1.21722543e-08,0.00182869507,0.00022683182,1.48049457e-05,0.00922238082,4.85445883e-19,0.00691723637,8.27638796e-05,2.00284447e-07,6.51107712e-06,8,0,1
0.01,18,0.0577971078,0.132740438,4.59550648e-10,0.000618706108,2.11208658e-07,1.47793173e-07,0.079951264,0.322003722,0.00787388999,1.73798167e-08,1.21724435e-08,0.0018287733,0.000226828037,1.4805416e-05,0.00922235847,4.87608857e-19,0.00691723265,8.27672629e-05,2.01162479e-07,6.53954066e-06,8,0,1
0.01,19,0.0577949136,0.132742569,4.61606559e-10,0.000621464453,2.11208317e-07,1.47798161e-07,0.0799508318,0.322004199,0.0078738099,1.73800032e-08,1.21725874e-08,0.00182885642,0.000226824122,1.48058243e-05,0.00922233425,4.89782636e-19,0.00691723032,8.27708791e-05,2.02045584e-07,6.56816746e-06,8,0,1
0.01,20,0.0577927157,0.132744759,4.63671573e-10,0.000624234148,2.11208004e-07,1.47803249e-07,0.0799503997,0.322004735,0.00787373167,1.73801862e-08,1.21727366e-08,0.0018289407,0.000226820179,1.48062472e-05,0.00922230817,4.91965669e-19,0.00691722566,8.27744952e-05,2.02932171e-07,6.59690841e-06,8,0,1
0.01,21,0.0577905215,0.132746905,4.65745664e-10,0.000627016765,2.11208189e-07,1.47808592e-07,0.079949975,0.322005242,0.00787365064,1.73804189e-08,1.21729151e-08,0.00182902638,0.000226816235,1.48066874e-05,0.00922228396,4.94158784e-19,0.00691722194,8.27781914e-05,2.03822665e-07,6.62577395e-06,8,0,1
0.01,22,0.0577882677,0.132749155,4.67828831e-10,0.000629811082,2.11208018e-07,1.47813921e-07,0.0799495727,0.322005719,0.00787357427,1.73806463e-08,1.21730936e-08,0.00182910659,0.000226812394,1.48071558e-05,0.00922226161,4.96360738e-19,0.00691721868,8.27816475e-05,2.04715803e-07,6.65471634e-06,8,0,1
0.01,23,0.0577860437,0.132751331,4.69921546e-10,0.00063261803,2.11207791e-07,1.47818952e-07,0.0799491331,0.322006255,0.00787349325,1.73808399e-08,1.21732473e-08,0.00182919204,0.000226808377,1.4807576e-05,0.0092222346,4.98573033e-19,0.00691721449,8.27853364e-05,2.05614924e-07,6.68385201e-06,8,0,1
0.01,24,0.0577837899,0.132753581,4.72023198e-10,0.000635436736,2.11207791e-07,1.4782448e-07,0.0799486861,0.322006762,0.00787341315,1.73810744e-08,1.21734303e-08,0.00182927668,0.000226804419,1.48080462e-05,0.00922221038,5.00794582e-19,0.00691721169,8.27889889e-05,2.06515978e-07,6.71305315e-06,8,0,1
0.01,25,0.0577814877,0.132755846,4.74133954e-10,0.000638267375,2.11207848e-07,1.47830008e-07,0.0799482763,0.322007328,0.00787333585,1.73813124e-08,1.21736123e-08,0.00182935863,0.000226800577,1.48085119e-05,0.00922218896,5.03025281e-19,0.0069172075,8.27925178e-05,2.07421891e-07,6.74239664e-06,8,0,1
0.01,26,0.0577792339,0.132758051,4.76254369e-10,0.000641111517,2.11207293e-07,1.4783501e-07,0.0799478218,0.322007775,0.00787325297,1.73815025e-08,1.21737687e-08,0.00182944536,0.000226796459,1.48089466e-05,0.00922216009,5.05266837e-19,0.00691720331,8.27962576e-05,2.08331187e-07,6.7718629e-06,8,0,1
0.01,27,0.0577769578,0.132760271,4.78384332e-10,0.000643967942,2.11207421e-07,1.47840481e-07,0.0799473971,0.322008312,0.00787317287,1.73817245e-08,1.21739356e-08,0.00182953139,0.000226792501,1.48093914e-05,0.00922213588,5.07518061e-19,0.00691720052,8.27999756e-05,2.09245172e-07,6.80146923e-06,8,0,1
0.01,28,0.057774622,0.132762596,4.80523121e-10,0.000646836241,2.11207436e-07,1.47846023e-07,0.079946965,0.322008789,0.00787309464,1.73819625e-08,1.21741257e-08,0.00182961195,0.000226788572,1.48098743e-05,0.0092221126,5.09778539e-19,0.00691719633,8.28034463e-05,2.10162696e-07,6.83118378e-06,8,0,1
0.01,29,0.0577723533,0.132764861,4.82672124e-10,0.000649718218,2.11207208e-07,1.47851367e-07,0.0799465254,0.322009295,0.00787300896,1.73821775e-08,1.21742989e-08,0.00182970136,0.000226784396,1.481033e-05,0.00922208652,5.12049976e-19,0.00691719307,8.28073171e-05,2.11084313e-07,6.86104067e-06,8,0,1
0.01,30,0.057770066,0.132767126,4.8483062e-10,0.000652612827,2.11206824e-07,1.47856639e-07,0.0799460709,0.322009861,0.00787292607,1.73823747e-08,1.2174449e-08,0.00182978972,0.000226780263,1.48107629e-05,0.00922205951,5.14331134e-19,0.00691718934,8.28111297e-05,2.12010008e-07,6.89102535e-06,8,0,1
0.01,31,0.057767693,0.132769436,4.86997942e-10,0.000655518554,2.11207151e-07,1.47862437e-07,0.0799456462,0.322010368,0.00787284784,1.73826464e-08,1.21746604e-08,0.00182987249,0.000226776407,1.48112831e-05,0.00922203809,5.16621183e-19,0.00691718515,8.28146804e-05,2.12938886e-07,6.92109506e-06,8,0,1
0.01,32,0.0577653907,0.132771716,4.89175811e-10,0.000658439239,2.11206881e-07,1.47867766e-07,0.0799451992,0.322010964,0.00787276309,1.73828578e-08,1.21748238e-08,0.00182996178,0.000226772216,1.48117151e-05,0.00922201015,5.18922865e-19,0.00691718096,8.28185366e-05,2.13872852e-07,6.95134531e-06,8,0,1
0.01,33,0.0577630624,0.13277401,4.91362784e-10,0.000661371974,2.11206626e-07,1.47873138e-07,0.0799447447,0.322011471,0.00787267834,1.73830514e-08,1.21749828e-08,0.00183005072,0.000226767996,1.48121553e-05,0.00922198407,5.21234421e-19,0.0069171777,8.28224074e-05,2.1481074e-07,6.9817188e-06,8,0,1
0.01,34,0.0577607155,0.132776335,4.93559638e-10,0.000664317166,2.11206725e-07,1.47878907e-07,0.0799442902,0.322012007,0.00787259452,1.73833126e-08,1.21751826e-08,0.00183013943,0.000226763936,1.48126537e-05,0.00922195893,5.23555335e-19,0.00691717444,8.28262127e-05,2.1575211e-07,7.01219733e-06,8,0,1
0.01,35,0.057758335,0.132778659,4.95765817e-10,0.000667274871,2.11206441e-07,1.47884421e-07,0.0799438581,0.322012573,0.00787251163,1.73835275e-08,1.21753567e-08,0.00183022697,0.000226759817,1.48131176e-05,0.00922193378,5.25886537e-19,0.00691717025,8.2829989e-05,2.16697302e-07,7.04279773e-06,8,0,1
0.01,36,0.0577559769,0.132781029,4.97982322e-10,0.000670246896,2.11206242e-07,1.47889978e-07,0.0799433887,0.32201308,0.00787242875,1.7383746e-08,1.21755273e-08,0.00183031522,0.000226755626,1.4813575e-05,0.00922190771,5.2822875e-19,0.00691716745,8.28338016e-05,2.17647113e-07,7.07354093e-06,8,0,1
0.01,37,0.0577536002,0.132783338,5.00208597e-10,0.000673231611,2.11206313e-07,1.47895662e-07,0.0799429268,0.322013617,0.00787234213,1.73839858e-08,1.217572e-08,0.00183040649,0.000226751392,1.48140707e-05,0.00922187977,5.30580994e-19,0.00691716326,8.28377306e-05,2.1860167e-07,7.10443646e-06,8,0,1
