tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,0.000407372514,2.42258071e-08,-Inf,Inf,Inf,-Inf,Inf,-6.87380292e-11,-8.97211111e-14,-1.78510199e-05,-2.06074528e-05,2.0577887e-05,1.78213777e-05,6.47539946e-06,-1.66970743e-10,277,236,0
0.01,1,0.000413520174,2.73816499e-06,-Inf,Inf,Inf,-Inf,2.74992444e+28,-7.03411773e-11,-9.16320947e-13,-1.82333679e-05,-1.86127108e-05,1.87839851e-05,1.83424891e-05,6.50894981e-06,-1.72865045e-09,280,221,0
0.01,2,0.000417155359,-2.97369911e-06,-Inf,Inf,Inf,-Inf,Inf,-7.12915352e-11,2.70946162e-13,-2.61048372e-05,-8.21906483e+09,8.21906483e+09,2.59153057e-05,6.60768137e-06,5.33517064e-10,289,227,0
0.01,3,0.000429174019,-6.57077317e-06,-Inf,Inf,Inf,-Inf,Inf,-7.438411e-11,7.88474754e-13,-1.92191583e-05,-0.000292853249,0.000293766323,2.00686572e-05,6.7681176e-06,1.556824e-09,309,227,0
0.01,4,0.000467464648,-1.48073659e-05,-Inf,Inf,Inf,-Inf,Inf,-8.47270448e-11,1.44884354e-12,-2.30565893e-05,-0.0370799229,0.0370797329,2.2814158e-05,7.23028688e-06,2.92519475e-09,369,257,0
0.01,5,0.000424663303,-1.25602969e-06,-Inf,Inf,Inf,-Inf,8.11682288e+25,-7.27827104e-11,1.10725705e-13,-1.903056e-05,-2.04305288e-05,2.02276242e-05,1.88836857e-05,6.66642109e-06,2.17326754e-10,294,233,0
0.01,6,0.000400951074,-2.93400444e-06,-Inf,Inf,Inf,-Inf,2.81877642e+27,-6.77335132e-11,1.3060897e-13,-1.74672932e-05,-1.90825922e-05,1.89276452e-05,1.73237877e-05,6.43999647e-06,2.72949774e-10,268,216,0
0.01,7,0.000442436925,1.92516677e-06,-Inf,Inf,Inf,-Inf,Inf,-7.66551961e-11,-3.82548322e-13,-1.99575843e-05,-4.19677963e-05,4.22669727e-05,2.02029751e-05,6.81285474e-06,-7.72806208e-10,311,210,0
0.01,8,0.000402658305,-1.33183744e-06,-Inf,Inf,Inf,-Inf,Inf,-6.77766246e-11,1.11066219e-13,-1.73926492e-05,-5.80093874e-05,5.80790365e-05,1.74789293e-05,6.44102556e-06,2.27134908e-10,268,217,0
0.01,9,0.000456200709,-4.62921707e-06,-Inf,NaN,NaN,-Inf,NaN,-8.07200626e-11,3.23788983e-13,-2.15582859e-05,-Inf,Inf,2.15179753e-05,7.01693807e-06,6.71906308e-10,335,247,0
0.01,10,0.000420734956,-6.96185998e-06,-Inf,Inf,Inf,-Inf,Inf,-7.28194866e-11,4.80191353e-13,-1.88277409e-05,-3.56966108e+20,3.56966108e+20,1.89766106e-05,6.68513667e-06,9.8993802e-10,299,231,0
