tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,0.000374943571,-4.0538751e-07,0.00679699518,-0.00631631259,-0.00655124104,0.00656214776,-0.000752297579,-6.15033788e-11,-9.49549175e-15,-1.4067954e-05,-1.41154505e-05,1.4117516e-05,1.4065904e-05,6.13967404e-06,-8.30474405e-12,565,14,0
0.01,1,0.000361770886,-2.07874764e-05,0.00641773362,-0.012832202,-0.0128439805,0.00640643854,-0.00081857678,-6.17219054e-11,1.36511006e-12,-1.44729429e-05,-1.59178471e-05,1.59243391e-05,1.44664446e-05,6.21915342e-06,2.86835045e-09,564,13,0
0.01,2,0.000357572106,-2.50399789e-05,0.00650815805,-0.0127461534,-0.0129376771,0.00631721364,-0.000815922453,-6.06463421e-11,2.45172459e-12,-1.44744936e-05,-1.59245919e-05,1.59245519e-05,1.447453e-05,6.22207972e-06,4.89278218e-09,567,15,0
0.01,3,0.000404752791,2.3033439e-05,0.0128380554,-0.00634352397,-0.006169823,0.0130064404,-0.00081264961,-6.50906343e-11,-2.18886064e-12,-1.5800897e-05,-1.44834075e-05,1.44832311e-05,1.58012062e-05,6.20257197e-06,-4.39874714e-09,567,13,0
0.01,4,0.000374930562,-6.0400987e-07,0.00678083301,-0.00634738058,-0.00653538527,0.00659310259,-0.000752799795,-6.14860385e-11,4.85707259e-14,-1.40780412e-05,-1.41276169e-05,1.41275923e-05,1.40780694e-05,6.14176497e-06,9.76707604e-11,565,12,0
0.01,5,0.000374841416,-6.10468646e-07,0.00677736429,-0.00634432444,-0.00653161574,0.00658964086,-0.000752570864,-6.14657145e-11,5.06038116e-14,-1.40729999e-05,-1.41225519e-05,1.41225237e-05,1.40730353e-05,6.14088185e-06,1.01375783e-10,566,11,0
0.01,6,0.000374965253,-5.91296896e-07,0.00678107096,-0.00634984812,-0.00653449632,0.00659449771,-0.000752919761,-6.14956072e-11,4.38821647e-14,-1.40792117e-05,-1.41289756e-05,1.41287792e-05,1.40794264e-05,6.14198916e-06,8.95047578e-11,566,9,0
0.01,7,0.000358111516,-2.46998607e-05,0.00651634997,-0.0127548752,-0.012945639,0.00632555364,-0.000816735439,-6.08014264e-11,2.34104988e-12,-1.44864516e-05,-1.59377123e-05,1.59376614e-05,1.44865126e-05,6.22396465e-06,4.6949955e-09,568,14,0
0.01,8,0.000404730818,2.3196535e-05,0.0130132129,-0.00615627086,-0.00634243572,0.0128161497,-0.000811932667,-6.51003834e-11,-2.23852664e-12,-1.57893464e-05,-1.44725918e-05,1.44724236e-05,1.57894592e-05,6.20056517e-06,-4.48943371e-09,566,12,0
0.01,9,0.000357557321,-2.52393547e-05,0.00656434055,-0.0127054332,-0.0129941981,0.00627589645,-0.000816572516,-6.06049863e-11,2.53407755e-12,-1.44847336e-05,-1.59374176e-05,1.59356932e-05,1.44865644e-05,6.22420566e-06,5.02879605e-09,569,12,0
0.01,10,0.000404897437,2.33869832e-05,0.0130092045,-0.00615315931,-0.00634361431,0.0128184073,-0.00081181468,-6.51693075e-11,-2.31264205e-12,-1.5787884e-05,-1.44711985e-05,1.44711667e-05,1.57879331e-05,6.20016999e-06,-4.61673544e-09,568,12,0
0.01,11,0.000404313323,2.27499804e-05,0.0129988156,-0.0061676777,-0.00633350154,0.0128323548,-0.000813330349,-6.50146048e-11,-2.14643017e-12,-1.57923496e-05,-1.44721243e-05,1.4475193e-05,1.57892828e-05,6.20104674e-06,-4.30743219e-09,564,15,0
0.01,12,0.000357730489,-2.50382454e-05,0.00651450781,-0.0127529455,-0.0129440371,0.00632345164,-0.000816495216,-6.06664996e-11,2.466316e-12,-1.44839078e-05,-1.59348019e-05,1.59347655e-05,1.44839569e-05,6.22376911e-06,4.91147967e-09,565,13,0
0.01,13,0.000357584155,-2.50479497e-05,0.00650917087,-0.012746959,-0.0129384706,0.00631767092,-0.000815954874,-6.06633563e-11,2.43923545e-12,-1.4475645e-05,-1.59258452e-05,1.59258016e-05,1.44756941e-05,6.22226617e-06,4.8758837e-09,567,10,0
0.01,14,0.000357677171,-2.49083278e-05,0.00616604649,-0.0130958902,-0.0125851929,0.00665681157,-0.000815773616,-6.06984532e-11,2.39198006e-12,-1.44705864e-05,-1.5923415e-05,1.59213105e-05,1.44742653e-05,6.2215895e-06,4.79211026e-09,566,14,0
0.01,15,0.000357894518,-2.50584053e-05,0.00652235793,-0.0127602722,-0.0129522812,0.00633058744,-0.00081714266,-6.0721414e-11,2.45227493e-12,-1.44950409e-05,-1.59468582e-05,1.59468182e-05,1.44950864e-05,6.22569087e-06,4.89384888e-09,569,11,0
0.01,16,0.000375036412,-7.53549273e-07,0.0067885695,-0.00635981653,-0.00654333644,0.00660550641,-0.000753757078,-6.14965509e-11,9.42473164e-14,-1.40932343e-05,-1.41428245e-05,1.41428109e-05,1.40932498e-05,6.14458031e-06,1.80368609e-10,564,11,0
0.01,17,0.000374986703,-5.97414441e-07,0.00678271241,-0.0063493317,-0.00653721252,0.00659502298,-0.000753000146,-6.14984591e-11,4.70431291e-14,-1.40809379e-05,-1.41305418e-05,1.41305027e-05,1.40809761e-05,6.14228884e-06,9.45633155e-11,565,11,0
0.01,18,0.000375067495,-6.02552518e-07,0.00678560603,-0.00635326747,-0.00654006936,0.00659893779,-0.000753285829,-6.1516521e-11,4.79564136e-14,-1.40861048e-05,-1.41357168e-05,1.41356959e-05,1.40861284e-05,6.14320788e-06,9.66027466e-11,563,13,0
0.01,19,0.000404158462,2.24752475e-05,0.0129496576,-0.00622622762,-0.00628459221,0.0128913922,-0.000813236344,-6.49253429e-11,-2.03095049e-12,-1.5798023e-05,-1.44814712e-05,1.44802452e-05,1.57992454e-05,6.20253604e-06,-4.10792911e-09,567,15,0
0.01,20,0.000375059171,-5.99605244e-07,0.006785559,-0.00635244185,-0.0065401243,0.00659819832,-0.000753272616,-6.15155149e-11,4.64719341e-14,-1.4085399e-05,-1.41350156e-05,1.41349847e-05,1.40854272e-05,6.14308374e-06,9.41844519e-11,565,13,0
0.01,21,0.000357750163,-2.49535024e-05,0.00651269266,-0.0127500528,-0.0129416203,0.00632028654,-0.000816253072,-6.07106379e-11,2.40781006e-12,-1.44799978e-05,-1.59306437e-05,1.59305546e-05,1.44800897e-05,6.2229642e-06,4.81959184e-09,569,15,0
0.01,22,0.000375118572,-6.03373564e-07,0.00678799022,-0.00635466026,-0.00654274458,0.00660067284,-0.000753494445,-6.15276233e-11,4.82317298e-14,-1.40891298e-05,-1.41387764e-05,1.413875e-05,1.4089188e-05,6.14375813e-06,9.70943673e-11,567,10,0
0.01,23,0.000404928374,2.32599559e-05,0.0160893612,-0.00308790826,-0.00942499749,0.00975525379,-0.000812613638,-6.51624171e-11,-2.24822526e-12,-1.57698705e-05,-1.45147278e-05,1.44522219e-05,1.58323546e-05,6.20243736e-06,-4.50511672e-09,564,12,0
0.01,24,0.000404927414,2.29725665e-05,0.013027641,-0.00617098389,-0.00636144914,0.0128368875,-0.000813508639,-6.51206658e-11,-2.16570815e-12,-1.58165749e-05,-1.44978258e-05,1.44977957e-05,1.58166222e-05,6.20516312e-06,-4.36147118e-09,567,12,0
0.01,25,0.000357564946,-2.53676189e-05,0.00652249763,-0.0127585018,-0.0129522486,0.00632812548,-0.000817025022,-6.05647477e-11,2.60407147e-12,-1.44936621e-05,-1.59450956e-05,1.59452029e-05,1.44935902e-05,6.22575863e-06,5.13792919e-09,568,15,0
0.01,26,0.00040514025,2.34006548e-05,0.013018446,-0.00616194028,-0.00635311333,0.0128284162,-0.000812673417,-6.52306473e-11,-2.32310698e-12,-1.5802736e-05,-1.44850774e-05,1.44850355e-05,1.5802776e-05,6.20257742e-06,-4.63149474e-09,570,13,0
0.01,27,0.000357970275,-2.51246111e-05,0.0065276348,-0.0127668725,-0.0129579483,0.00633684685,-0.000817653316,-6.07377482e-11,2.46741798e-12,-1.45036238e-05,-1.59561241e-05,1.59560768e-05,1.45036593e-05,6.22722291e-06,4.92159913e-09,567,11,0
0.01,28,0.000358286285,-2.45872416e-05,0.0065190969,-0.0127571542,-0.0129486257,0.00632779114,-0.000817019667,-6.0837127e-11,2.31912016e-12,-1.44901978e-05,-1.59417887e-05,1.59417486e-05,1.44902388e-05,6.22457856e-06,4.65168926e-09,562,11,0
0.01,29,0.000358141668,-2.50118264e-05,0.00653028116,-0.0127689103,-0.0129604964,0.00633870857,-0.000817910244,-6.08034317e-11,2.41488145e-12,-1.45071472e-05,-1.59599895e-05,1.59599513e-05,1.45071845e-05,6.22773723e-06,4.8338662e-09,569,12,0
0.01,30,0.000405439583,2.33441078e-05,0.0130354203,-0.00617495133,-0.00636871764,0.0128414836,-0.000813988619,-6.52643981e-11,-2.27810566e-12,-1.58257899e-05,-1.45065833e-05,1.45065324e-05,1.58258481e-05,6.20642686e-06,-4.56005012e-09,567,12,0
0.01,31,0.000404738297,2.25788172e-05,0.013036835,-0.00617857091,-0.00637060544,0.0128447097,-0.000814264466,-6.50653767e-11,-2.06523362e-12,-1.58299081e-05,-1.45101476e-05,1.45100767e-05,1.58299717e-05,6.20754645e-06,-4.16756407e-09,565,12,0
0.01,32,0.000405169674,2.33083574e-05,0.0130240442,-0.00616690936,-0.00635793526,0.0128330998,-0.00081302569,-6.52203222e-11,-2.28591993e-12,-1.58105904e-05,-1.44923679e-05,1.44923351e-05,1.5810625e-05,6.20393348e-06,-4.56821025e-09,567,12,0
0.01,33,0.000361490791,-2.17947509e-05,0.00653700251,-0.0127737131,-0.0129650272,0.00634536939,-0.000819202862,-6.16573806e-11,1.59120525e-12,-1.45147233e-05,-1.59694464e-05,1.59694027e-05,1.45147642e-05,6.22742209e-06,3.30135053e-09,560,24,0
0.01,34,0.000375169649,-6.05777359e-07,0.00678890478,-0.00635681488,-0.0065449439,0.00660421886,-0.000753702596,-6.15392806e-11,4.83984428e-14,-1.40923266e-05,-1.41420296e-05,1.41419505e-05,1.40924021e-05,6.1443302e-06,9.76136671e-11,564,11,0
0.01,35,0.000405211351,2.32321145e-05,0.0130407782,-0.00616071234,-0.00637354469,0.0128260925,-0.000813510793,-6.51927193e-11,-2.23221485e-12,-1.58184375e-05,-1.44992164e-05,1.44996066e-05,1.58179864e-05,6.20528863e-06,-4.48341098e-09,569,11,0
0.01,36,0.000405501371,2.33990668e-05,0.0130341379,-0.00617632177,-0.00636759168,0.0128431944,-0.00081399997,-6.52871576e-11,-2.29931395e-12,-1.58261137e-05,-1.45069171e-05,1.45068443e-05,1.58261737e-05,6.20645687e-06,-4.59656491e-09,568,10,0
0.01,37,0.000375290692,-5.34776916e-07,0.00679236371,-0.00635877065,-0.00654689921,0.00660485541,-0.000753810513,-6.15716922e-11,2.7071505e-14,-1.40953152e-05,-1.41450064e-05,1.41449691e-05,1.4095348e-05,6.14481996e-06,5.87677962e-11,564,12,0
0.01,38,0.000375465985,-6.0569954e-07,0.00680236239,-0.00636864221,-0.00655669393,0.00661456166,-0.000754706853,-6.16046172e-11,4.83960575e-14,-1.41100163e-05,-1.41597448e-05,1.41597229e-05,1.4110039e-05,6.1474866e-06,9.74959835e-11,567,12,0
0.01,39,0.000405774743,2.36514134e-05,0.0130351922,-0.00617739372,-0.00636841264,0.0128446016,-0.000814001367,-6.54035437e-11,-2.41077948e-12,-1.58276598e-05,-1.45084359e-05,1.45083995e-05,1.5827698e-05,6.20646188e-06,-4.78341633e-09,568,13,0
0.01,40,0.000358469522,-2.47069947e-05,0.00652855914,-0.0127735259,-0.0129579678,0.00634285621,-0.000818076718,-6.08946574e-11,2.32884892e-12,-1.45084723e-05,-1.59615865e-05,1.59615429e-05,1.45085914e-05,6.22780726e-06,4.67599159e-09,565,13,0
0.01,41,0.00037538266,-6.06901779e-07,0.00679959683,-0.00636430457,-0.00655459845,0.00661085406,-0.000754348119,-6.1585799e-11,4.90460876e-14,-1.41051378e-05,-1.41548944e-05,1.41547944e-05,1.41051878e-05,6.1466103e-06,9.85768966e-11,564,11,0
0.01,42,0.000358456833,-2.48528431e-05,0.00653676735,-0.0127754947,-0.012967133,0.00634506438,-0.000818500994,-6.08833955e-11,2.36967607e-12,-1.45165814e-05,-1.59702577e-05,1.59702195e-05,1.45166059e-05,6.22930156e-06,4.7506048e-09,567,13,0
0.01,43,0.000375351839,-6.02454463e-07,0.006796489,-0.00636595022,-0.00655014627,0.00661107013,-0.000754313136,-6.15793111e-11,4.78036156e-14,-1.41029077e-05,-1.41528035e-05,1.41525525e-05,1.41031023e-05,6.14622604e-06,9.62647184e-11,563,13,0
0.01,44,0.0003582676,-2.48987108e-05,0.00653109094,-0.0127694393,-0.0129610924,0.00633908669,-0.000817982655,-6.0815894e-11,2.40528127e-12,-1.45078984e-05,-1.59608317e-05,1.59607935e-05,1.45079312e-05,6.22784864e-06,4.80613727e-09,566,13,0
