dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,converged
0.0005,0,0.984524012,2.11478493e-07,0.492138237,0.492138237,1.19091574e-07,1.03155102e-07,3.63543222e-08,-5.53103418e-05,-1.18046692e-11,6.41393308e-06,-6.41320457e-06,-7.27941041e-10,-1.49846769e-13,0.000164114404,-3.30097144e-10,0
0.0005,1,0.984524012,2.11583057e-07,0.492138237,0.492138237,1.19951778e-07,1.056735e-07,3.61860657e-08,-5.53103418e-05,-1.18897591e-11,6.41393672e-06,-6.41321139e-06,-7.2487405e-10,-1.20465649e-13,0.000164114404,-3.28482408e-10,0
0.0005,2,0.984524012,2.30818273e-07,0.492138207,0.492138237,1.44471926e-07,9.19760623e-08,3.91639112e-08,-5.53103455e-05,-1.15135575e-11,6.41396991e-06,-6.41318456e-06,-7.85368548e-10,7.61273965e-13,0.000164114419,-3.57546243e-10,0
0.0005,3,0.984524012,2.13917801e-07,0.492138237,0.492138237,1.39441596e-07,1.05910232e-07,3.54711318e-08,-5.53103418e-05,-1.21443636e-11,6.41393808e-06,-6.41322686e-06,-7.10259296e-10,-6.1330769e-14,0.000164114419,-3.20707155e-10,0
0.0005,4,0.984524012,2.10714262e-07,0.492138237,0.492138237,1.23170693e-07,1.08008564e-07,3.62000385e-08,-5.53103418e-05,-1.20450967e-11,6.41394763e-06,-6.41322231e-06,-7.24930671e-10,-7.2032766e-14,0.000164114419,-3.28469946e-10,0
0.0005,5,0.984524012,2.14341568e-07,0.492138237,0.492138237,1.25344229e-07,1.07672022e-07,3.61977825e-08,-5.53103418e-05,-1.19226651e-11,6.41395127e-06,-6.41322595e-06,-7.24982241e-10,-8.49390545e-14,0.000164114419,-3.28234467e-10,0
0.0005,6,0.984524012,2.12374701e-07,0.492138237,0.492138237,1.19875367e-07,1.06574525e-07,3.6179852e-08,-5.53103418e-05,-1.19117173e-11,6.41395491e-06,-6.41322958e-06,-7.24878657e-10,-6.9526958e-14,0.000164114419,-3.28405858e-10,0
0.0005,7,0.984524012,2.09471082e-07,0.492138207,0.492138237,1.19158152e-07,1.03975722e-07,3.61860266e-08,-5.53103418e-05,-1.18248068e-11,6.41395854e-06,-6.41323322e-06,-7.24984739e-10,-1.62115547e-13,0.000164114434,-3.28801514e-10,0
0.0005,8,0.984524012,2.10897852e-07,0.492138237,0.492138237,1.19627359e-07,1.05972973e-07,3.61883146e-08,-5.53103418e-05,-1.18814455e-11,6.41396218e-06,-6.41323686e-06,-7.25052796e-10,-1.21931694e-13,0.000164114434,-3.28650607e-10,0
0.0005,9,0.984524012,2.12092232e-07,0.492138237,0.492138237,1.19981721e-07,1.05823524e-07,3.6189622e-08,-5.53103418e-05,-1.18903732e-11,6.41396628e-06,-6.41324095e-06,-7.24907523e-10,-1.18023226e-13,0.000164114448,-3.2844677e-10,0
