tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,-0.0252918601,-0.00663377624,0.334100455,-0.351180911,-0.35006395,0.335215896,0.123086274,2.90036979e-07,-1.91702778e-08,0.000862398534,0.000896743732,-0.000862397836,-0.00089674443,7.08346925e-05,3.00091506e-05,2869,0,1
0.01,1,-0.0253452361,-0.00678076036,0.334334075,-0.351514518,-0.35039553,0.335453421,0.123440102,2.81746537e-07,-3.05198569e-08,0.000865458336,0.0009000508,-0.000865457638,-0.00090005144,7.08658845e-05,3.0203315e-05,2852,0,1
0.01,2,-0.0256616548,-0.0056720837,0.333819151,-0.350555927,-0.349487156,0.334889561,0.122498646,2.98977113e-07,-1.15129293e-08,0.000857458683,0.000890268479,-0.000857458042,-0.000890269177,7.02540638e-05,2.89895816e-05,2857,0,1
0.01,3,-0.0252732988,-0.00600381382,0.333183616,-0.350230962,-0.348822206,0.33459115,0.121825226,2.66593077e-07,-2.29213253e-08,0.000846963725,0.000890123483,-0.000846963085,-0.000890124124,7.13385016e-05,2.75352486e-05,2835,0,1
0.01,4,-0.0254056416,-0.00577089563,0.332868665,-0.349917233,-0.348455876,0.334329396,0.121515855,2.89447172e-07,-1.54618949e-08,0.000843263057,0.000887541217,-0.000843262475,-0.000887541799,7.09203523e-05,2.69923275e-05,2845,0,1
0.01,5,-0.0252508949,-0.00657436112,0.334040105,-0.351074725,-0.349953383,0.335162163,0.12298502,2.98977795e-07,-2.22647873e-08,0.00086152443,0.00089597638,-0.000861523731,-0.000895977078,7.07121362e-05,2.98661143e-05,2865,0,1
0.01,6,-0.025348708,-0.00592413917,0.333067447,-0.350132644,-0.348703891,0.334496915,0.121662915,2.75679383e-07,-1.40190277e-08,0.000845968374,0.000889767427,-0.000845967676,-0.000889768067,7.109531e-05,2.73083569e-05,2863,0,1
0.01,7,-0.0257957429,-0.00625759689,0.334024578,-0.351170123,-0.350051969,0.33514002,0.122945338,2.97048473e-07,-2.77745862e-08,0.000861281296,0.000895905192,-0.00086128054,-0.000895905891,7.01055833e-05,2.95351783e-05,2856,0,1
0.01,8,-0.0253308453,-0.00679263379,0.334877402,-0.351909101,-0.350937635,0.335847825,0.124034874,2.97220708e-07,-9.65201696e-09,0.000873045239,0.000903207401,-0.000873044541,-0.000903208158,7.06219871e-05,3.10073592e-05,2852,0,1
0.01,9,-0.0254602991,-0.00597767672,0.333671212,-0.350621432,-0.349389583,0.334901899,0.122474469,2.83646813e-07,-4.14785504e-08,0.000855511229,0.00089308311,-0.000855510531,-0.000893083867,7.06060309e-05,2.85023452e-05,2856,0,1
