tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,0.000575237093,-9.29555754e-05,-0.0480616838,-0.0157213993,-0.016270861,-0.0292863399,-0.00321059744,5.79840048e-07,5.81490724e-07,-0.000357995246,-5.10417194e-05,5.10348254e-05,0.000357655692,9.50010053e-06,4.72662464e-07,50,0,0
0.01,1,-0.00306513533,0.00344325672,0.844216108,-0.843869627,-0.844056606,0.844034433,0.00299097598,1.01764441,-1.01703966,628.118713,624.021606,-628.118713,-624.021606,1.02029264,-1.02020144,3,0,0
0.01,2,-0.00308246934,0.00345718767,0.844215631,-0.843868911,-0.844054222,0.844030619,0.0029907187,1.02234936,-1.02171564,628.088806,623.972839,-628.088806,-623.972839,1.02500963,-1.02489197,3,0,0
0.01,3,-0.00306830322,0.0034479592,0.844215214,-0.843873322,-0.844056904,0.844029844,0.00299090054,1.01851988,-1.01794744,628.110352,624.009705,-628.110352,-624.009705,1.02117038,-1.02111173,3,0,0
0.01,4,-0.00305411406,0.00342935254,0.844214201,-0.843867242,-0.844049931,0.844029486,0.0029904712,1.01396823,-1.01335299,628.024109,623.941895,-628.024109,-623.941895,1.01660669,-1.01650321,3,0,0
0.01,5,-0.00311099691,0.003487946,0.844211996,-0.843865097,-0.844051898,0.844025195,0.00299022044,1.03079093,-1.03017128,628.021667,623.871765,-628.021667,-623.871765,1.03347301,-1.03337383,3,0,0
0.01,6,-0.00308901677,0.00346598425,0.84421289,-0.843868792,-0.844054103,0.844027102,0.00299049774,1.02379394,-1.02317607,628.051636,623.930054,-628.051636,-623.930054,1.02645791,-1.02635682,3,0,0
0.01,7,-0.00306393299,0.00343936658,0.844212949,-0.843870401,-0.844058096,0.844032228,0.00299079018,1.01673651,-1.01608801,628.091187,623.997925,-628.091187,-623.997925,1.01938212,-1.01924646,3,0,0
0.01,8,-0.00315239234,0.00352720544,0.844212294,-0.843861461,-0.844054222,0.844026983,0.00299024908,1.04326403,-1.04259241,628.045654,623.845459,-628.045654,-623.845459,1.04597855,-1.04583347,3,0,0
0.01,9,-0.00311030657,0.0034888431,0.844220281,-0.843868375,-0.844055355,0.844033837,0.00299088773,1.03071427,-1.0301224,628.139099,623.989502,-628.139099,-623.989502,1.03339612,-1.03332472,3,0,0
0.01,10,-0.00314254197,0.00352054834,0.844214141,-0.843863904,-0.844053626,0.844026804,0.00299030426,1.04058886,-1.03997803,628.055237,623.865784,-628.055237,-623.865784,1.04329634,-1.04321086,3,0,0
0.01,11,-0.00308115128,0.00345483213,0.844216526,-0.843867898,-0.844048381,0.844027042,0.002990345,1.02081215,-1.02016258,628.020508,623.911011,-628.020508,-623.911011,1.02346826,-1.02333391,3,0,0
0.01,12,-0.00312712858,0.00350075122,0.844219506,-0.843869686,-0.844055593,0.844030321,0.00299077178,1.03512895,-1.03447568,628.128357,623.960938,-628.128357,-623.960938,1.03782225,-1.03769171,3,0,0
0.01,13,-0.00317101483,0.00354408822,0.844215214,-0.843862534,-0.844053447,0.844026327,0.0029902393,1.04830825,-1.04763496,628.061218,623.84082,-628.061218,-623.84082,1.05103564,-1.05089152,3,0,0
0.01,14,-0.00360659091,-0.00685639167,0.0542345047,-0.0677965134,-0.0868990347,0.0379874669,-0.0340280682,2.89602387e-09,4.36091518e-09,-0.00244813156,-0.000808835437,0.000809308956,0.0024477907,2.57063057e-05,1.40401994e-06,101,0,0
0.01,15,-0.259207278,0.0326723717,-0.374505192,0.200396404,0.347673923,-0.216084048,-0.396989554,-0.00359449,-0.00359572563,-0.00668899482,-0.00314516434,0.00314516015,0.00668893801,0.00141048792,-0.000240137349,193,0,0
0.01,16,-0.00303717423,0.00340986415,0.844216406,-0.843870938,-0.844053984,0.844033837,0.0029907159,1.00901735,-1.00833774,628.06842,624.006226,-628.06842,-624.006226,1.01164305,-1.01147246,3,0,0
0.01,17,0.000269890239,1.75241439e-05,-0.0593015887,-0.00297666551,-0.00310182245,-0.0594281517,-0.000487173995,-7.81477494e-10,-6.31287134e-10,-9.77299205e-05,-9.78307617e-06,9.7832326e-06,9.77298769e-05,4.7371268e-06,-7.0895001e-10,20,0,0
0.01,18,-0.0030892326,0.00346013764,0.844213784,-0.843864799,-0.844051003,0.844028771,0.00299023371,1.0243026,-1.02361917,628.008545,623.884827,-628.008545,-623.884827,1.026968,-1.02680135,3,0,0
0.01,19,0.000398346601,-0.000173959881,0.0142404614,0.042486839,0.0422411188,0.014115748,-0.00222546025,4.53082738e-10,6.75680956e-10,-3.82762955e-05,-0.000285676273,0.000285675109,3.82722901e-05,8.08028472e-06,5.55601254e-09,28,0,0
0.01,20,0.134907141,-0.0879377425,0.0442600548,0.352989882,0.261599749,-0.0471338034,-0.0400629379,0.000102291036,0.000103507817,1.42018189e-06,-0.000238653796,0.000238658657,-1.42479746e-06,0.000216240805,0.000141858254,88,0,0
0.01,21,-0.00307889143,0.00344716338,0.844207406,-0.843868196,-0.844053864,0.844023168,0.00298999227,1.02070308,-1.01997662,627.966614,623.857483,-627.966614,-623.857483,1.02335894,-1.02314758,3,0,0
0.01,22,-0.00306088175,0.00343181426,0.844208717,-0.843864679,-0.844052017,0.844027758,0.00299002486,1.01592171,-1.01524031,627.958191,623.868164,-627.958191,-623.868164,1.01856518,-1.01839638,3,0,0
0.01,23,0.130040467,-0.101136252,-0.314820677,0.401118189,0.282448828,-0.429826289,-0.103203163,-0.000122116558,-0.000121947545,-0.00160115224,-0.000541518093,0.000541399349,0.00160106004,0.00011870687,5.16296022e-05,120,0,0
0.01,24,-0.00306225242,0.00343315979,0.844209731,-0.843870521,-0.844058394,0.844029367,0.00299043534,1.01607466,-1.01539338,628.03125,623.940735,-628.03125,-623.940735,1.01871848,-1.01855004,3,0,0
0.01,25,-0.00312900194,0.00350161758,0.844212651,-0.843861938,-0.844050646,0.844025493,0.00298990798,1.03692901,-1.03624237,627.983398,623.808655,-627.983398,-623.808655,1.03962696,-1.03946388,3,0,0
0.01,26,0.000112958929,-9.50411704e-05,0.286708802,0.0966455862,0.0967502221,0.286952704,-0.000579572399,5.60257007e-10,6.98848757e-10,4.98829081e-07,-0.000237050379,0.000237050655,-4.9938842e-07,4.17480442e-06,6.26187324e-10,15,0,0
0.01,27,-0.00303914142,0.00340855052,0.844210148,-0.843863428,-0.844050646,0.844031632,0.00299003837,1.00943303,-1.00872076,627.95105,623.887207,-627.95105,-623.887207,1.01205957,-1.01185679,3,0,0
0.01,28,-0.00318609108,0.00355656678,0.844216824,-0.843863726,-0.844053984,0.844025731,0.00299016573,1.0525372,-1.05179763,628.060059,623.822937,-628.060059,-623.822937,1.0552758,-1.05506742,3,0,0
0.01,29,-0.00307251583,0.00344189676,0.844215512,-0.843864918,-0.844046772,0.844028175,0.00298999972,1.01895213,-1.01823759,627.964233,623.862183,-627.964233,-623.862183,1.02160358,-1.02140284,3,0,0
0.01,30,-0.0030538193,0.00342499558,0.844214141,-0.843871713,-0.844054043,0.844029188,0.00299041881,1.01400101,-1.01328778,628.024109,623.941895,-628.024109,-623.941895,1.01663959,-1.01643777,3,0,0
0.01,31,-0.00301309279,0.00338410167,0.844206393,-0.843864083,-0.84405148,0.844030797,0.00298990053,1.00169742,-1.00101995,627.911438,623.878845,-627.911438,-623.878845,1.00430405,-1.00413191,3,0,0
0.01,32,-0.00303299818,0.00340417237,0.8442083,-0.843868971,-0.844052017,0.844026268,0.00298997224,1.00764966,-1.00693774,627.935486,623.878845,-627.935486,-623.878845,1.01027179,-1.01006818,3,0,0
0.01,33,-0.00306615536,0.00343881454,0.844214201,-0.843866467,-0.844051361,0.84403038,0.00299015595,1.01747501,-1.01679361,627.99176,623.895508,-627.99176,-623.895508,1.02012277,-1.01995456,3,0,0
0.01,34,-0.00305661419,0.00342792436,0.844208062,-0.843865037,-0.844051957,0.844027042,0.00298985117,1.01502991,-1.01428854,627.930603,623.84436,-627.930603,-623.84436,1.01767087,-1.01744175,3,0,0
0.01,35,-0.00304374006,0.00341489934,0.844212234,-0.84386462,-0.844049335,0.844030559,0.00298998295,1.01091039,-1.01019752,627.943848,623.874084,-627.943848,-623.874084,1.01354086,-1.01333797,3,0,0
0.01,36,-0.00307707652,0.00344800111,0.844216287,-0.84386909,-0.84405452,0.84403187,0.00299040531,1.02079606,-1.02011347,628.042053,623.932434,-628.042053,-623.932434,1.02345216,-1.02328467,3,0,0
0.01,37,-0.00306338654,0.00343136187,0.844209015,-0.843869209,-0.844052017,0.844023466,0.00298987306,1.01626062,-1.01548624,627.935486,623.84436,-627.935486,-623.84436,1.01890492,-1.01864338,3,0,0
0.01,38,-0.00304511515,0.00341786351,0.844211221,-0.843865931,-0.844052255,0.844030976,0.00299003697,1.01178551,-1.01110554,627.960571,623.887207,-627.960571,-623.887207,1.01441813,-1.01424861,3,0,0
0.01,39,-0.00300128292,0.00337580289,0.844204903,-0.84386754,-0.844051778,0.8440274,0.00298978877,0.998420238,-0.997743905,627.885193,623.865784,-627.885193,-623.865784,1.0010184,-1.00084567,3,0,0
0.01,40,-0.00306129968,0.00343245687,0.844214201,-0.843870819,-0.844053686,0.84402895,0.00299024908,1.01603067,-1.01531696,628.003662,623.913391,-628.003662,-623.913391,1.01867437,-1.01847351,3,0,0
0.01,41,-0.00313540548,0.00350872776,0.844215035,-0.843865454,-0.844053149,0.844026208,0.00299001834,1.0390352,-1.03833187,628.007324,623.824158,-628.007324,-623.824158,1.04173851,-1.04155993,3,0,0
0.01,42,-0.00303296302,0.00340099842,0.844210684,-0.843865991,-0.844045281,0.844024837,0.00298960484,1.00755644,-1.00678468,627.873169,623.816956,-627.873169,-623.816956,1.01017809,-1.00991452,3,0,0
0.01,43,-0.00305014988,0.0034199371,0.844207466,-0.843867004,-0.844051719,0.844025075,0.00298972498,1.01292336,-1.01215005,627.905518,623.827698,-627.905518,-623.827698,1.01555884,-1.0152967,3,0,0
0.01,44,-0.00307205552,0.00343777193,0.844212472,-0.843866706,-0.844051838,0.844028473,0.00298994523,1.01838303,-1.01759219,627.959412,623.859802,-627.959412,-623.859802,1.02103281,-1.02075565,3,0,0
0.01,45,-0.00313445088,0.00350325298,0.844213307,-0.843863666,-0.844057441,0.844031274,0.0029901294,1.03736091,-1.03662539,628.027771,623.851501,-628.027771,-623.851501,1.04006004,-1.03984797,3,0,0
0.01,46,-0.00310974359,0.00347669539,0.844213784,-0.843864083,-0.844050169,0.844026983,0.00298979995,1.02905631,-1.0282464,627.953491,623.811035,-627.953491,-623.811035,1.03173399,-1.031443,3,0,0
0.01,47,-0.00312961382,0.00349969859,0.844214559,-0.843868792,-0.844053209,0.844023585,0.0029899592,1.03582358,-1.03507209,627.99176,623.821777,-627.99176,-623.821777,1.03851855,-1.03828979,3,0,0
0.01,48,-0.0031468044,0.00351908011,0.844208598,-0.843860865,-0.844050288,0.844020545,0.00298933685,1.04128325,-1.04054677,627.898315,623.70636,-627.898315,-623.70636,1.04399264,-1.04378188,3,0,0
0.01,49,-0.00304809865,0.00341511518,0.844211996,-0.843866825,-0.844049156,0.844027758,0.00298981229,1.01151156,-1.01070607,627.91748,623.84552,-627.91748,-623.84552,1.01414359,-1.01384819,3,0,0
0.01,50,-0.00307931867,0.00344610005,0.844210505,-0.843866527,-0.844048321,0.844022393,0.00298953825,1.02035248,-1.01957726,627.892395,623.784851,-627.892395,-623.784851,1.02300739,-1.02274692,3,0,0
0.01,51,-0.00305951945,0.00342855859,0.844213903,-0.843868196,-0.844051898,0.844029784,0.00299001462,1.01512253,-1.01436532,627.963013,623.876465,-627.963013,-623.876465,1.01776385,-1.01751864,3,0,0
0.01,52,0.00165132026,0.000595587306,0.0417243876,-0.00163881946,-0.0250718817,0.0226635821,-0.00478301104,-8.96379804e-10,-6.41720677e-10,-0.000102304642,-0.000201833347,0.00020041244,0.000103523773,1.19321003e-05,-4.41332517e-08,56,0,0
