tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,-0.366426647,0.389198452,-1959286.5,-1955835.75,1959078.75,1955581.5,-1.44755793,-3.13268487e-07,2.00411264e-07,5.86123943,-5.85891438,-5.85978985,5.8573494,0.000192688472,9.74977011e-05,11,11,0
0.01,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,8,0
0.01,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,22,0
0.01,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,9,0
0.01,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,9,0
0.01,8,-3.06652262e+10,3.06582815e+10,-7.73271891e+17,-7.68484342e+17,7.73187091e+17,7.68401604e+17,7.22433802e+10,3.2709446,-3.27014017,9.54395329e+11,-9.43911404e+11,-9.54212811e+11,9.43731048e+11,7277.71045,-7275.01709,12,12,0
0.01,9,0.0566341393,-0.0390454829,0.645944357,-0.709421992,-0.668399096,0.68686527,-0.789427638,-1.24772114e-07,5.8081099e-08,-0.00795019418,-0.00815111678,0.00815101247,0.00795030035,0.000149466883,4.58274226e-05,11,24,0
0.01,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,11,0.0968267843,-0.0767406896,-53309.9805,-53109.1875,53311.582,53110.8047,-0.693682432,-3.86316543e-07,2.61213074e-07,0.0851423293,-0.0982367843,-0.0848265216,0.0979209542,0.000204899086,0.00011387479,12,14,0
0.01,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,10,0
0.01,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,15,-161885120,161864688,-3.60499368e+15,-3.5822419e+15,3.60477867e+15,3.58202447e+15,146349680,0.0183752552,-0.0183728021,4.73518694e+09,-4.68203213e+09,-4.73468672e+09,4.68152934e+09,40.8845367,-40.8733292,10,11,0
0.01,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,15,0
0.01,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,8,0
0.01,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,8,0
0.01,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,23,-215.743332,215.769302,-5.18697011e+09,-5.15485286e+09,5.1870377e+09,5.15491789e+09,1776.13599,-3.66040837e-07,2.40071813e-07,6557.74121,-6485.68896,-6557.88965,6485.83594,0.000257654057,6.19044731e-05,12,13,0
0.01,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,15,0
0.01,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,8,0
0.01,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,9,0
0.01,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,9,0
0.01,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
0.01,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,8,0
