tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,0.000693802489,-0.000361566053,56.9971619,-157.122421,-157.122849,56.9965744,-0.0194845777,-1.11512098e-10,-1.86901866e-11,-0.000251128396,-0.000366929657,0.00036693018,0.000251127174,1.06105354e-05,1.2722866e-07,1,10,0
0.01,1,0.000693835435,-0.000361369632,56.0841675,-154.204224,-154.204803,56.0838432,-0.0194369555,-1.11489797e-10,-1.86796481e-11,-0.000249976583,-0.000363489409,0.000363490544,0.00024997603,1.0609343e-05,1.27129269e-07,1,10,0
0.01,2,0.0006930175,-0.000364668493,61.3184929,-172.792175,-172.792496,61.3177643,-0.0200799182,-1.11833647e-10,-1.88349249e-11,-0.000256273313,-0.000382727972,0.000382728205,0.000256271684,1.06272355e-05,1.28591694e-07,1,10,0
0.01,3,0.000694758608,-0.00035758884,48.502449,-130.20752,-130.208023,48.5020218,-0.0187526718,-1.11092871e-10,-1.85028555e-11,-0.000240602589,-0.00033715769,0.000337158563,0.000240601905,1.05887675e-05,1.25449745e-07,1,10,0
0.01,4,0.000692659174,-0.00036558992,61.4147301,-171.761673,-171.762344,61.4143257,-0.0201804321,-1.11908045e-10,-1.88720151e-11,-0.000256340747,-0.000380974408,0.000380975835,0.000256340252,1.06312846e-05,1.28941352e-07,1,10,0
0.01,5,0.000693141075,-0.000363522558,56.7343369,-156.402954,-156.403503,56.7338524,-0.0197336115,-1.1169015e-10,-1.8773318e-11,-0.000250772253,-0.000364659471,0.000364660576,0.000250771525,1.0619875e-05,1.27999328e-07,1,10,0
0.01,6,0.000693578681,-0.000361734157,52.6898918,-143.70816,-143.708908,52.689518,-0.0193579737,-1.11505603e-10,-1.86855791e-11,-0.000245938194,-0.000351063703,0.000351065304,0.000245937787,1.06101406e-05,1.27194838e-07,1,10,0
0.01,7,0.000691013818,-0.000371111877,69.1582413,-195.389496,-195.389984,69.1577759,-0.0211571828,-1.12429843e-10,-1.91197943e-11,-0.000265237264,-0.000403826387,0.000403827056,0.000265236507,1.06592979e-05,1.31302031e-07,1,10,0
0.01,8,0.000693547598,-0.000361571991,51.0589256,-138.191711,-138.192337,51.0585213,-0.0192618538,-1.1147714e-10,-1.86748395e-11,-0.000243941686,-0.000344685919,0.000344687171,0.000243941118,1.06087582e-05,1.27084661e-07,1,10,0
0.01,9,0.000692028727,-0.000367010711,59.3711777,-163.030212,-163.03067,59.3706779,-0.0202004239,-1.12014606e-10,-1.89215015e-11,-0.000253956037,-0.000370395952,0.000370396709,0.000253955164,1.06369862e-05,1.29422006e-07,1,10,0
0.01,10,0.00069319905,-0.000362540886,50.5908546,-136.308243,-136.308777,50.5903816,-0.0192975011,-1.11562551e-10,-1.87138412e-11,-0.000243545976,-0.00034239114,0.00034239213,0.000243545132,1.06132065e-05,1.27447933e-07,1,10,0
0.01,11,0.000691027846,-0.000370740716,64.317131,-181.692001,-181.692627,64.3166885,-0.0209305137,-1.12387419e-10,-1.90944656e-11,-0.000259634689,-0.000388377433,0.000388378859,0.000259634078,1.06567068e-05,1.31063402e-07,1,10,0
0.01,12,0.000693214242,-0.000362574123,49.049881,-133.913788,-133.914368,49.0494423,-0.0193067007,-1.11573757e-10,-1.87154181e-11,-0.00024174132,-0.000339320803,0.000339322025,0.000241740607,1.06135376e-05,1.2745933e-07,1,10,0
0.01,13,0.000692053931,-0.000366110849,54.5967293,-146.173279,-146.173767,54.5962219,-0.0198684614,-1.11891503e-10,-1.88701086e-11,-0.000248271099,-0.000351813564,0.000351814291,0.000248270197,1.06307471e-05,1.28921243e-07,1,10,0
0.01,14,0.000692271919,-0.000365435233,52.6253929,-141.746033,-141.746445,52.6246986,-0.0197175518,-1.11833057e-10,-1.88384603e-11,-0.000245944073,-0.00034690008,0.000346900517,0.00024594256,1.06274492e-05,1.2863039e-07,1,10,0
0.01,15,0.00069192826,-0.000366536842,53.2740784,-144.152588,-144.153076,53.2735481,-0.0198743511,-1.1193424e-10,-1.88871731e-11,-0.000246802112,-0.000349167327,0.000349168142,0.000246801064,1.06328789e-05,1.29086885e-07,1,10,0
0.01,16,0.000691868074,-0.000367012311,53.2558403,-146.333038,-146.333511,53.2554359,-0.0199731179,-1.1199508e-10,-1.89100593e-11,-0.000246780954,-0.000350986171,0.000350987219,0.000246780401,1.06357693e-05,1.29308106e-07,1,10,0
0.01,17,0.000691608177,-0.000367736531,53.5133629,-146.535477,-146.535843,53.5128021,-0.0200697742,-1.12056378e-10,-1.89394767e-11,-0.000247111486,-0.000350923889,0.000350924267,0.000247110351,1.06391017e-05,1.2959228e-07,1,10,0
0.01,18,0.000691560213,-0.000367750734,52.2669258,-142.677124,-142.677338,52.2663422,-0.0199811421,-1.12052152e-10,-1.89356898e-11,-0.000245767238,-0.000346848421,0.000346848537,0.000245765812,1.06388097e-05,1.29566075e-07,1,10,0
0.01,19,0.000692068134,-0.000365541957,48.9859467,-130.430267,-130.430801,48.9854317,-0.0195643418,-1.11817888e-10,-1.88336846e-11,-0.000241627131,-0.000333841861,0.00033384288,0.000241626301,1.06267571e-05,1.28581931e-07,1,10,0
0.01,20,0.000692728441,-0.000363251282,44.4754257,-117.837471,-117.837914,44.4749336,-0.0191329718,-1.11597051e-10,-1.87276861e-11,-0.000236323045,-0.000320689171,0.000320689986,0.000236322187,1.06149109e-05,1.27584698e-07,1,10,0
0.01,21,0.000692658708,-0.000363205472,44.0069656,-114.863724,-114.864052,44.0063438,-0.0190750472,-1.11578552e-10,-1.87240657e-11,-0.000235698433,-0.000317362661,0.000317362952,0.00023569708,1.06141179e-05,1.27531976e-07,1,10,0
0.01,22,0.000691471796,-0.000367369357,48.7539635,-130.45166,-130.452072,48.7533264,-0.0197359864,-1.11986441e-10,-1.89098147e-11,-0.000241592046,-0.000333254167,0.000333254662,0.000241590766,1.06355965e-05,1.29307708e-07,1,10,0
0.01,23,0.000692831352,-0.00036248035,41.8468399,-108.859077,-108.859642,41.8463821,-0.01894572,-1.11503112e-10,-1.86889688e-11,-0.000233059676,-0.000310602627,0.000310603675,0.000233059109,1.06101597e-05,1.27202e-07,1,10,0
0.01,24,0.000692768546,-0.000362496212,41.3321075,-107.017677,-107.018135,41.3314934,-0.0188863762,-1.1149516e-10,-1.86871837e-11,-0.000232410544,-0.000308439863,0.000308440503,0.000232409264,1.06098696e-05,1.27190944e-07,1,10,0
0.01,25,0.000691898691,-0.000365725165,44.5089722,-118.006393,-118.007004,44.5086098,-0.0194011275,-1.11822836e-10,-1.88333203e-11,-0.000236489344,-0.000319685758,0.000319687097,0.000236488995,1.06267562e-05,1.28562931e-07,1,10,0
0.01,26,0.000691417197,-0.000367168075,45.7950897,-121.40564,-121.406166,45.7945328,-0.0195769127,-1.11952309e-10,-1.88948527e-11,-0.000238048728,-0.000322893378,0.000322894455,0.000238047694,1.06337902e-05,1.29156192e-07,1,10,0
0.01,27,0.00069176103,-0.000365736109,43.0167809,-112.115479,-112.116051,43.016304,-0.0192688312,-1.11803851e-10,-1.88265376e-11,-0.000234773688,-0.000313317141,0.000313318247,0.000234772931,1.06259477e-05,1.2850812e-07,1,10,0
0.01,28,0.000691336754,-0.000367274333,43.8562469,-116.137413,-116.137947,43.8557053,-0.0194850732,-1.11957527e-10,-1.88937893e-11,-0.00023597361,-0.000317274331,0.00031727532,0.000235972635,1.06339257e-05,1.29158252e-07,1,10,0
0.01,29,0.000691446941,-0.000366892695,42.8752632,-113.445007,-113.445732,42.8750191,-0.0193949174,-1.11921965e-10,-1.8877051e-11,-0.00023474927,-0.000314198114,0.000314199802,0.000234749226,1.06319103e-05,1.28988162e-07,1,10,0
0.01,30,0.000691764755,-0.000365659682,40.7696953,-106.580956,-106.581436,40.7691269,-0.0191628765,-1.11797051e-10,-1.88180565e-11,-0.000232184553,-0.000306979695,0.000306980452,0.000232183447,1.06253356e-05,1.28442707e-07,1,10,0
0.01,31,0.000691901485,-0.000364875334,39.503788,-101.758018,-101.758514,39.5033073,-0.0190119613,-1.11702578e-10,-1.87833551e-11,-0.000230540929,-0.0003017571,0.00030175806,0.000230540143,1.06207299e-05,1.28084565e-07,1,10,0
0.01,32,0.000690109446,-0.000370787078,45.2056656,-119.077347,-119.077774,45.2051201,-0.0198674053,-1.12263948e-10,-1.90418341e-11,-0.000237787521,-0.000319333019,0.000319333631,0.000237786429,1.06503921e-05,1.30555691e-07,1,10,0
0.01,33,0.000691398978,-0.000366279826,39.4806862,-100.996254,-100.996986,39.4802704,-0.0191168822,-1.11828886e-10,-1.8839456e-11,-0.000230753867,-0.000300819549,0.000300821062,0.000230753416,1.06273019e-05,1.2862418e-07,1,10,0
0.01,34,0.000689486973,-0.000372628594,46.0757637,-121.507019,-121.50769,46.0753365,-0.0200727824,-1.12429156e-10,-1.91198307e-11,-0.000238853478,-0.000321121508,0.000321122818,0.000238852983,1.06592925e-05,1.31300538e-07,1,10,0
0.01,35,0.000691970577,-0.000364116655,36.1387253,-90.7142944,-90.7147903,36.1381912,-0.0187308416,-1.11607106e-10,-1.87410747e-11,-0.000226560602,-0.000289774995,0.00028977578,0.000226559656,1.06158041e-05,1.27684373e-07,1,10,0
0.01,36,0.000692250382,-0.000363143336,34.8878021,-87.1227264,-87.1232605,34.8872719,-0.0185969137,-1.11511578e-10,-1.86963205e-11,-0.00022489499,-0.000285727554,0.000285728369,0.000224894044,1.06107964e-05,1.27274006e-07,1,10,0
0.01,37,0.00069079519,-0.000367718603,38.7630653,-97.3889389,-97.3895187,38.7624626,-0.0191767514,-1.11937924e-10,-1.88950973e-11,-0.000229985759,-0.000296397833,0.000296398881,0.000229984711,1.06333737e-05,1.29149328e-07,1,10,0
0.01,38,0.000691780588,-0.000364598935,34.6178017,-87.1101074,-87.110611,34.617218,-0.0186946932,-1.11649905e-10,-1.87570133e-11,-0.000224927833,-0.000285658258,0.000285659073,0.000224926771,1.06178995e-05,1.27850029e-07,1,10,0
0.01,39,0.000690631627,-0.000368320179,37.5861588,-95.7225571,-95.7231903,37.5856133,-0.0191751085,-1.12003302e-10,-1.89195395e-11,-0.000228848279,-0.000294441154,0.000294442434,0.000228847435,1.06364923e-05,1.29384844e-07,1,10,0
0.01,40,0.000692298636,-0.000362707069,32.2786179,-79.5727539,-79.5733795,32.2782135,-0.0184164122,-1.11459265e-10,-1.86730822e-11,-0.000221802227,-0.000277324143,0.000277325482,0.000221801747,1.06079942e-05,1.27038803e-07,1,10,0
0.01,41,0.000690712186,-0.000367886125,36.0023232,-91.1751938,-91.1757889,36.0018921,-0.0190564264,-1.11951594e-10,-1.88982423e-11,-0.00022694745,-0.000289428688,0.000289429794,0.00022694678,1.06338794e-05,1.29175191e-07,1,10,0
0.01,42,0.000690356188,-0.000368821493,36.2495499,-91.1985931,-91.1991959,36.2490044,-0.0191208348,-1.12029518e-10,-1.89353828e-11,-0.000227354045,-0.000289377494,0.000289378542,0.000227353186,1.06381312e-05,1.29537511e-07,1,10,0
0.01,43,0.000690487679,-0.000368550245,35.0020752,-88.6783066,-88.6788254,35.001564,-0.0190331154,-1.12015654e-10,-1.89231113e-11,-0.00022601799,-0.000286756578,0.000286757451,0.000226017233,1.06369962e-05,1.29418822e-07,1,10,0
0.01,44,0.000692075992,-0.000363210798,30.2348366,-74.5033035,-74.5037918,30.2343597,-0.0183260422,-1.11498498e-10,-1.8689883e-11,-0.000219615918,-0.000271705765,0.000271706609,0.000219615104,1.06099833e-05,1.27197509e-07,1,10,0
0.01,45,0.000690760557,-0.000367562432,33.0232506,-83.2740936,-83.2746048,33.022686,-0.0188468732,-1.11918912e-10,-1.88766693e-11,-0.000223599098,-0.000280876615,0.000280877517,0.000223598152,1.0631853e-05,1.28987793e-07,1,10,0
0.01,46,0.000692122267,-0.000363191561,29.1726608,-72.3906097,-72.3911438,29.1722622,-0.0182913393,-1.11505569e-10,-1.86873728e-11,-0.000218414803,-0.000269229116,0.000269230106,0.00021841428,1.06100661e-05,1.27180783e-07,1,10,0
0.01,47,0.000690378074,-0.000368405017,32.8499222,-81.3644943,-81.3650131,32.8494492,-0.0188647397,-1.11976255e-10,-1.89104756e-11,-0.000223443974,-0.000278696942,0.000278697815,0.000223443189,1.06351963e-05,1.29288296e-07,1,10,0
0.01,48,0.000691167719,-0.000365898421,30.1993599,-74.4385834,-74.4390411,30.1988087,-0.0185275823,-1.11743961e-10,-1.8800914e-11,-0.000220057394,-0.000271387718,0.000271388446,0.000220056405,1.06228063e-05,1.28250235e-07,1,10,0
0.01,49,0.000690641871,-0.000367548055,30.7486305,-76.4039383,-76.4044266,30.7480621,-0.018667357,-1.11898803e-10,-1.88699716e-11,-0.000221011433,-0.000273412763,0.000273413491,0.000221010399,1.06308944e-05,1.28918074e-07,1,10,0
0.01,50,0.000690477493,-0.000367801782,30.4555798,-74.5243683,-74.524765,30.4549103,-0.018654244,-1.11907456e-10,-1.88791829e-11,-0.00022070593,-0.000271490106,0.000271490484,0.000220704605,1.0631612e-05,1.28990294e-07,1,10,0
0.01,51,0.000692010624,-0.000362939725,26.6384354,-64.013649,-64.014328,26.6379852,-0.0180783346,-1.11453763e-10,-1.8669297e-11,-0.000215437234,-0.000260141504,0.000260142871,0.000215436739,1.06076377e-05,1.26997818e-07,1,10,0
