tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,0.000229791796,-1.26846189e-07,0.0047993185,0.027883172,0.0278066434,0.00438026525,-0.000368989538,-3.18252646e-11,3.52719893e-15,-7.23568883e-06,-7.24182973e-06,7.24795427e-06,7.22585764e-06,4.45758405e-06,7.19739329e-12,158,29,0
0.01,1,0.00023592019,-2.10486746e-07,0.00897055864,0.0131848315,0.0133315902,0.00885372981,-0.000385075895,-3.29711675e-11,1.68739127e-14,-7.51746347e-06,-7.5388416e-06,7.53303675e-06,7.53428685e-06,4.53607754e-06,3.39437402e-11,158,26,0
0.01,2,0.000228849851,-3.44788361e-07,0.00972776767,0.0274341721,0.026675716,0.00945752487,-0.000367514818,-3.16715543e-11,2.337815e-14,-7.18982301e-06,-7.20153457e-06,7.19484115e-06,7.20018534e-06,4.4484791e-06,4.87025281e-11,154,30,0
0.01,3,0.000229490543,-2.34888802e-07,-0.0246540047,0.00783918146,0.00719517097,-0.0244963653,-0.000368164241,-3.17777402e-11,1.51884324e-14,-7.19581885e-06,-7.2283342e-06,7.23407311e-06,7.20406524e-06,4.45515752e-06,3.16245849e-11,156,30,0
0.01,4,0.000309739669,-5.83272083e-07,0.0102930777,0.0161515921,0.0153342672,0.00972717535,-0.00060170365,-4.7588055e-11,2.88237011e-14,-1.1432161e-05,-1.14651066e-05,1.14600734e-05,1.14426184e-05,5.42346925e-06,6.1463834e-11,249,43,0
0.01,5,0.000249520846,-2.24822529e-07,0.00340474956,0.0139326919,0.0140626337,0.00328740012,-0.000421291013,-3.55535427e-11,1.33176805e-14,-8.1873477e-06,-8.20218247e-06,8.20149126e-06,8.19578054e-06,4.70559917e-06,2.7347789e-11,177,30,0
0.01,6,0.000234128194,-2.40099439e-07,-0.009932952,0.0253583752,0.025186047,-0.00992505532,-0.000380018027,-3.26418476e-11,1.62589601e-14,-7.42953307e-06,-7.44206591e-06,7.43948931e-06,7.42568045e-06,4.51389405e-06,3.33158535e-11,157,35,0
0.01,7,0.000251686288,-2.91919577e-07,-0.0204682108,-0.00883833412,-0.00883341767,-0.020449305,-0.000427421153,-3.5974862e-11,1.95528848e-14,-8.28845077e-06,-8.33600097e-06,8.32921796e-06,8.28346583e-06,4.73309774e-06,4.00663183e-11,181,34,0
0.01,8,0.000227498211,-2.13807226e-07,-0.0211054012,-0.00640253024,-0.00637983112,-0.0213782806,-0.000363425439,-3.14046983e-11,1.44387794e-14,-7.10630593e-06,-7.15198257e-06,7.14871203e-06,7.10261202e-06,4.42952341e-06,2.95801335e-11,156,27,0
0.01,9,0.000266565068,-3.49620706e-07,-0.0129713761,-0.00251835282,-0.00229184376,-0.0131391035,-0.000469184626,-3.88648766e-11,2.37781427e-14,-9.050259e-06,-9.09994196e-06,9.0898593e-06,9.05320303e-06,4.91479705e-06,4.87481028e-11,196,35,0
0.01,10,0.000244310126,-2.89746424e-07,-0.0264667608,-0.00652440311,-0.00646735914,-0.0271649621,-0.000407125684,-3.45780383e-11,9.02885368e-15,-7.91776165e-06,-7.96851873e-06,7.96325639e-06,7.92357514e-06,4.64196592e-06,2.0223075e-11,170,24,0
0.01,11,0.000247206219,-2.67112796e-07,-0.0158824101,-0.00879466441,-0.00903631654,-0.0157117378,-0.000415261951,-3.51145189e-11,1.85925053e-14,-8.07183733e-06,-8.10610982e-06,8.10727306e-06,8.06218213e-06,4.67755444e-06,3.79429162e-11,172,34,0
0.01,12,0.000218114685,-3.3791116e-07,-0.01877301,-0.00352977798,-0.00444711978,-0.0179906692,-0.000340362109,-2.96520239e-11,6.41528389e-14,-6.69957581e-06,-6.72086753e-06,6.71126918e-06,6.67255699e-06,4.31077251e-06,1.1734394e-10,143,27,0
0.01,13,0.000250040321,-4.88032924e-07,-0.0200966038,-0.00681146421,-0.00710148551,-0.020399401,-0.000423557765,-3.56523665e-11,6.49185295e-14,-8.21611411e-06,-8.25666757e-06,8.26736232e-06,8.21170124e-06,4.71540443e-06,1.26813296e-10,179,35,0
0.01,14,0.000320571184,-4.78228742e-07,0.00988340098,0.00462052878,0.0044791447,0.00995331816,-0.00063643168,-4.98046361e-11,3.58532038e-14,-1.20588065e-05,-1.20916693e-05,1.20836758e-05,1.20547757e-05,5.54500957e-06,7.24763166e-11,264,37,0
0.01,15,0.000291909237,-2.71478655e-07,-0.0240454935,0.0235776436,0.0234333277,-0.0241968986,-0.000543491333,-4.39176612e-11,-4.54498398e-15,-1.03925013e-05,-1.04278852e-05,1.0427887e-05,1.03926177e-05,5.21406491e-06,-4.24826667e-12,229,37,0
0.01,16,0.00026671635,-5.78384288e-07,-0.0180639531,0.0251635276,0.0252863895,-0.0182674658,-0.000469590013,-3.88787405e-11,8.44059726e-14,-9.07326557e-06,-9.09705614e-06,9.08864877e-06,9.06023524e-06,4.91950777e-06,1.60724822e-10,197,30,0
0.01,17,0.000299910986,-3.90256787e-07,-0.00137182372,-0.00212405808,-0.0020610767,-0.00139498455,-0.000569610856,-4.55363802e-11,2.42809872e-14,-1.08897848e-05,-1.09406892e-05,1.09380426e-05,1.08872846e-05,5.30833449e-06,5.0274819e-11,236,42,0
0.01,18,0.000256173749,-2.92956742e-07,0.00754106278,0.0193864089,0.0197857209,0.00710956333,-0.000439784664,-3.68367559e-11,2.13789286e-14,-8.53152505e-06,-8.53629172e-06,8.53821621e-06,8.53589881e-06,4.7880967e-06,4.31314151e-11,182,36,0
0.01,19,0.000221213297,-2.03578423e-07,-5.84869631e-05,0.0181925595,0.0180878304,-0.000193666667,-0.000347550755,-3.02455977e-11,1.31531435e-14,-6.82662903e-06,-6.83187045e-06,6.83278995e-06,6.82869722e-06,4.34892036e-06,2.70022928e-11,149,27,0
0.01,20,0.000266101939,-2.62176201e-07,-0.0108159259,-0.00946246553,-0.00880907103,-0.0114068333,-0.000468302635,-3.87613691e-11,1.9591352e-14,-9.02788997e-06,-9.08278162e-06,9.0718795e-06,9.04895023e-06,4.90815637e-06,4.00341184e-11,195,37,0
0.01,21,0.000264816452,-3.36425103e-07,0.00645880913,0.0262777731,0.0267457832,0.00805822853,-0.000464065059,-3.85166621e-11,2.51415659e-14,-8.98544567e-06,-8.98447706e-06,8.98438429e-06,8.96868642e-06,4.89340528e-06,5.06890155e-11,195,39,0
