tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,-4.48560344e-09,-5.12678344e-09,0.0614309087,-0.061431136,-0.0614312813,0.0614310689,-6.16073085e-05,-3.81348978e-13,-1.02986239e-12,-6.67825807e-05,-6.67828645e-05,6.67830827e-05,6.67827771e-05,-2.11288539e-12,1.55278383e-12,2,0,0
0.01,1,2.31504401e-07,-1.3902971e-09,0.061431367,-0.0614312664,-0.0614312664,0.0614311546,-6.16056423e-05,3.73163089e-12,-1.53821834e-12,-6.67830027e-05,-6.67831191e-05,6.6782959e-05,6.67828499e-05,4.46478943e-09,1.18098164e-12,2,0,0
0.01,2,4.64815344e-07,1.55580482e-09,0.0614316128,-0.0614311844,-0.0614312664,0.0614313744,-6.16061225e-05,1.87537377e-12,-1.59863455e-13,-6.678309e-05,-6.67831773e-05,6.678301e-05,6.67830973e-05,8.92297791e-09,3.75736074e-12,2,0,0
0.01,3,7.02479724e-07,-1.33263356e-09,0.0614316799,-0.0614308938,-0.0614313185,0.0614312515,-6.16056859e-05,3.35897976e-12,-3.5165345e-12,-6.67831118e-05,-6.67829299e-05,6.67830609e-05,6.67829518e-05,1.3386412e-08,3.98264668e-12,2,0,0
0.01,4,9.34746765e-07,-6.99232894e-09,0.0614318289,-0.0614307933,-0.0614314675,0.061431136,-6.16053294e-05,5.16249478e-13,-4.65401676e-12,-6.67831118e-05,-6.67829663e-05,6.67832355e-05,6.67828135e-05,1.78446822e-08,8.47425971e-13,2,0,0
0.01,5,1.16235537e-06,-3.00826986e-09,0.061431881,-0.0614309385,-0.0614314191,0.0614311807,-6.16057878e-05,3.41782071e-12,-3.55341386e-12,-6.67830755e-05,-6.67832719e-05,6.67831337e-05,6.67829299e-05,2.23062742e-08,3.91529474e-12,2,0,0
0.01,6,1.39594533e-06,-8.81833273e-09,0.061431881,-0.0614306293,-0.0614315458,0.061431054,-6.16062316e-05,1.74627923e-12,-3.56642125e-12,-6.67829299e-05,-6.67830682e-05,6.67833374e-05,6.67827771e-05,2.67659637e-08,2.57507188e-12,2,0,0
0.01,7,1.62781066e-06,-6.72757183e-09,0.061432045,-0.0614306293,-0.0614315011,0.0614310727,-6.16054458e-05,1.7540162e-12,-2.54852237e-12,-6.67829736e-05,-6.678317e-05,6.67832501e-05,6.67828062e-05,3.12255004e-08,3.95057988e-12,2,0,0
0.01,8,1.85880754e-06,-3.59791064e-09,0.0614319853,-0.0614304505,-0.0614314005,0.0614311323,-6.16059333e-05,2.22144894e-12,-4.08820547e-12,-6.67827553e-05,-6.67830682e-05,6.67830973e-05,6.67828426e-05,3.56872647e-08,3.72914373e-12,2,0,0
0.01,9,2.08904589e-06,-6.52517729e-09,0.06143222,-0.0614305064,-0.0614314154,0.0614310429,-6.16059988e-05,-7.30115567e-13,1.12524638e-12,-6.67829008e-05,-6.67833738e-05,6.67831555e-05,6.67827262e-05,4.01460696e-08,4.52330751e-12,2,0,0
0.01,10,2.32558159e-06,-1.05661782e-08,0.0614324138,-0.0614304543,-0.061431624,0.0614309832,-6.16062898e-05,4.20060818e-12,-2.94061498e-12,-6.67830463e-05,-6.67833374e-05,6.67833447e-05,6.6782668e-05,4.46153727e-08,4.78407288e-12,2,0,0
0.01,11,2.56195926e-06,-9.79218395e-09,0.0614324845,-0.0614299774,-0.0614315122,0.0614309795,-6.16061006e-05,-3.24401899e-12,-1.39172777e-12,-6.67829518e-05,-6.67829809e-05,6.67832937e-05,6.67826607e-05,4.9063253e-08,2.36479868e-12,2,0,0
0.01,12,2.78952348e-06,-9.585297e-09,0.0614325441,-0.0614301376,-0.0614316277,0.0614309944,-6.16061297e-05,-8.00662813e-13,4.98770946e-13,-6.67829008e-05,-6.6783301e-05,6.67834029e-05,6.67827626e-05,5.35278843e-08,6.62954717e-12,2,0,0
0.01,13,3.02276658e-06,-3.35375061e-09,0.0614325032,-0.0614298321,-0.0614314936,0.061431285,-6.16061297e-05,2.51786005e-12,-4.73082944e-12,-6.67827117e-05,-6.67830827e-05,6.67832428e-05,6.67830245e-05,5.79931978e-08,3.66363103e-12,2,0,0
0.01,14,3.26043619e-06,-5.3025051e-09,0.0614329576,-0.0614297912,-0.0614313483,0.0614310615,-6.16064353e-05,2.52633634e-12,-3.40856206e-12,-6.67830827e-05,-6.678317e-05,6.67831118e-05,6.67827771e-05,6.24530969e-08,4.76860912e-12,2,0,0
