tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,1.55104998e-10,-2.73953166e-10,0.25069502,-0.25070262,-0.250718951,0.250727355,-0.0073929769,-5.03109795e-20,2.91994253e-16,-9.58467863e-05,-9.58467936e-05,9.58468081e-05,9.58468154e-05,-1.5029815e-13,2.53503625e-13,1,18,0
0.01,1,6.85667771e-07,-1.47531011e-07,0.477424949,-0.477577239,-0.477592379,0.477392375,-0.0082041556,-7.58253391e-14,-9.15326673e-15,-0.000106155036,-0.00010615879,0.00010615879,0.000106155007,8.98861963e-09,4.5821881e-11,1,16,0
0.01,2,1.37852908e-06,-3.20535833e-07,0.661460161,-0.661957562,-0.66201663,0.661473989,-0.00862101186,-1.57824708e-13,-1.91766209e-14,-0.000111537891,-0.000111546127,0.000111546164,0.000111537898,1.818856e-08,1.0087494e-10,1,15,0
0.01,3,2.074436e-06,-4.9813525e-07,0.780346274,-0.781291425,-0.781298995,0.780345976,-0.00883808732,-2.41028877e-13,-2.93996835e-14,-0.000114613445,-0.000114626717,0.00011462671,0.000114613445,2.74484826e-08,1.57562338e-10,1,14,0
0.01,4,0.0106640868,0.0106308833,83265392,-84529632,-84527776,83264168,4.46339703,-1.12572634e-11,-1.08721513e-11,-66.42733,-67.4357986,67.4337692,66.425415,2.07121911e-08,-2.31167441e-08,1,8,0
0.01,5,0.0057475185,0.005728852,35656892,-36298048,-36297616,35656768,2.02251887,-6.58858081e-12,-6.11303022e-12,-29.3266659,-29.8539524,29.8537693,29.326561,4.23574278e-08,-1.2297404e-08,1,8,0
0.01,6,0.00387972663,0.00389187247,20002482,-20418252,-20418010,20002748,1.1781584,-4.86008803e-12,-4.29975109e-12,-16.8157291,-17.1654797,17.1651344,16.8161888,5.74446233e-08,-8.02889932e-09,1,8,0
0.01,7,0.00303267967,0.00302035012,13214418,-13526567,-13526544,13214457,0.80172956,-4.12407608e-12,-3.46238099e-12,-11.3130426,-11.5802679,11.5803108,11.3130779,7.03211782e-08,-5.93321259e-09,1,8,0
0.01,8,0.00255805789,0.00254573184,9645464,-9900381,-9900303,9645422,0.599924207,-3.77122422e-12,-3.01898133e-12,-8.39118004,-8.61293983,8.6129179,8.3911438,8.2339362e-08,-4.70894879e-09,1,8,0
0.01,9,0.00227615656,0.00227040634,7522615,-7743336,-7743180,7522570.5,0.478189319,-3.61924943e-12,-2.77144562e-12,-6.63919449,-6.83405066,6.8338294,6.63915682,9.39144016e-08,-3.92256227e-09,1,8,0
0.01,10,0.00210494129,0.0020891279,6168205.5,-6366608,-6366637,6168119,0.39955008,-3.56921957e-12,-2.62650383e-12,-5.51369429,-5.69100952,5.69106436,5.51355743,1.05256447e-07,-3.36702755e-09,1,8,0
0.01,11,0.00198895135,0.00197543879,5230669,-5413986.5,-5414047,5230683.5,0.34455502,-3.58411846e-12,-2.54736466e-12,-4.72979069,-4.89554977,4.89562845,4.72980309,1.16450849e-07,-2.95815572e-09,1,8,0
0.01,12,0.00191152713,0.0019004232,4557962,-4730690,-4730657,4557949.5,0.30466336,-3.63579067e-12,-2.50638117e-12,-4.16418695,-4.32201815,4.32194948,4.16417456,1.27563922e-07,-2.6321425e-09,1,8,0
0.01,13,0.00186481234,0.00185507082,4050207.25,-4215733,-4215658,4050298.75,0.274329692,-3.72168095e-12,-2.49581497e-12,-3.73503757,-3.88773918,3.88762951,3.73518109,1.38600782e-07,-2.37231146e-09,1,8,0
0.01,14,0.00183646474,0.00182309374,3659174.25,-3819256.75,-3819265,3659231.75,0.25081107,-3.82250178e-12,-2.5028354e-12,-3.40299034,-3.55189276,3.55191755,3.40310287,1.49605029e-07,-2.15371765e-09,1,8,0
0.01,15,0.00181752362,0.00180031429,3343655,-3499423.75,-3499458.25,3343631,0.231669798,-3.93149575e-12,-2.51981335e-12,-3.13395739,-3.27995372,3.28000236,3.13393545,1.60584889e-07,-1.95738759e-09,1,8,0
0.01,16,0.00180796871,0.00179119315,3089115.25,-3241936.75,-3241935.5,3089107.75,0.216160104,-4.05412466e-12,-2.54648819e-12,-2.91598129,-3.06024909,3.06023264,2.91597438,1.71536996e-07,-1.78605919e-09,1,8,0
0.01,17,0.00180771179,0.00179019,2880605,-3031421,-3031449.25,2880603.75,0.203393415,-4.18406932e-12,-2.58369715e-12,-2.73672223,-2.8800168,2.88002682,2.7367208,1.82468867e-07,-1.63597258e-09,1,8,0
0.01,18,0.00181679742,0.00179459841,2703440.25,-2853008,-2853048,2703405.25,0.192470387,-4.32589424e-12,-2.62786364e-12,-2.58385062,-2.72678232,2.72683334,2.58378792,1.93377545e-07,-1.49682844e-09,1,8,0
0.01,19,0.00182181364,0.00180142373,2550772,-2699217.75,-2699173.75,2550762.75,0.183002219,-4.46203144e-12,-2.67316724e-12,-2.45167351,-2.59436297,2.59430313,2.45166516,2.04294963e-07,-1.36508183e-09,1,8,0
0.01,20,0.00183497532,0.00181355281,2420001.5,-2567948.5,-2567915,2419996.25,0.174892515,-4.6079863e-12,-2.72216321e-12,-2.33807874,-2.4810276,2.4809773,2.33807349,2.15193509e-07,-1.23916222e-09,1,8,0
0.01,21,0.00185159792,0.00182690262,2306288.75,-2454038.75,-2454001,2306292.75,0.167800725,-4.75580339e-12,-2.77574925e-12,-2.23896599,-2.38239861,2.38237262,2.23897004,2.26083131e-07,-1.12503318e-09,1,8,0
0.01,22,0.00186669617,0.00184257503,2206451.75,-2354121.75,-2354051,2206453.25,0.161547661,-4.90478404e-12,-2.82945325e-12,-2.15173507,-2.29575276,2.29566479,2.15173626,2.36974657e-07,-1.01445674e-09,1,8,0
0.01,23,0.00188663998,0.00186198181,2115848,-2263790.75,-2263752.75,2115836.75,0.155854732,-5.05549725e-12,-2.88689602e-12,-2.072294,-2.21720076,2.21714449,2.07228303,2.47852967e-07,-9.0838681e-10,1,8,0
0.01,24,0.00190702803,0.0018795128,2035372.62,-2183601.75,-2183612,2035382.75,0.15079543,-5.20752755e-12,-2.94449339e-12,-2.0015614,-2.14732289,2.14734244,2.00157118,2.58733053e-07,-8.00591149e-10,1,8,0
0.01,25,0.00192724832,0.001899097,1962391.38,-2111018.75,-2110994.75,1962333.62,0.146165654,-5.36076565e-12,-3.00061126e-12,-1.93725646,-2.08397293,2.08392882,1.93716967,2.69610439e-07,-6.95959235e-10,1,8,0
0.01,26,0.00195166899,0.00192167959,1895772.75,-2045163.38,-2045150,1895784.62,0.14195177,-5.51444741e-12,-3.06502523e-12,-1.87836063,-2.02637339,2.02636862,1.87837255,2.80484329e-07,-5.98221972e-10,1,8,0
0.01,27,0.00197394658,0.00194317929,1835729.12,-1985760.5,-1985763.38,1835729.88,0.138138503,-5.6685997e-12,-3.12272604e-12,-1.82516849,-1.97433019,1.97434199,1.82516909,2.9135461e-07,-4.98649455e-10,1,8,0
0.01,28,0.00199619331,0.00196259259,1780115.62,-1930722.5,-1930763.88,1780123,0.134614408,-5.82114565e-12,-3.17979584e-12,-1.77580142,-1.92602134,1.92610097,1.77580857,3.02229097e-07,-3.97771288e-10,1,8,0
0.01,29,0.00202105311,0.00199001003,1728666,-1880328.5,-1880303.5,1728660.62,0.131313622,-5.97995351e-12,-3.24521898e-12,-1.72997284,-1.8817575,1.88171065,1.729967,3.13092016e-07,-3.02176367e-10,1,8,0
0.01,30,0.00204398599,0.00200957106,1681206.25,-1833546.88,-1833516.88,1681202.12,0.128277659,-6.13350993e-12,-3.30301845e-12,-1.6876446,-1.84056079,1.84053898,1.68764067,3.23961075e-07,-2.03696005e-10,1,8,0
0.01,31,0.00206988957,0.00203461805,1637296,-1790651.62,-1790649.62,1637301.75,0.125467137,-6.29152936e-12,-3.36885337e-12,-1.64836776,-1.80275238,1.80275786,1.64837325,3.34821692e-07,-1.10588615e-10,1,8,0
0.01,32,0.00209081243,0.00205466896,1595088.88,-1749070.62,-1749081.88,1595090.12,0.122740038,-6.44343476e-12,-3.4247956e-12,-1.6105696,-1.76603699,1.76605642,1.61057067,3.45693167e-07,-1.01529948e-11,1,8,0
0.01,33,0.00211564335,0.00207929476,1556905.88,-1711899,-1711896.75,1556912.5,0.120278694,-6.59850907e-12,-3.48764637e-12,-1.57627451,-1.73319423,1.73318458,1.57628119,3.56554921e-07,8.3568763e-11,1,8,0
0.01,34,0.00213968102,0.00210119062,1519804.5,-1675649.75,-1675651,1519809.5,0.117881224,-6.75582854e-12,-3.55059276e-12,-1.54289651,-1.70110035,1.70110917,1.54290152,3.67414174e-07,1.8015002e-10,1,8,0
0.01,35,0.00216157758,0.00212316238,1485151.75,-1641791.62,-1641814,1485173.62,0.115637153,-6.90904322e-12,-3.60604298e-12,-1.51165795,-1.67109251,1.67112219,1.51169515,3.78278855e-07,2.78835871e-10,1,8,0
0.01,36,0.00218574493,0.00214598677,1451774.12,-1609328.75,-1609330.62,1451792.5,0.113492623,-7.06098808e-12,-3.6686691e-12,-1.48151159,-1.64229178,1.64230096,1.48154521,3.89144475e-07,3.77131881e-10,1,8,0
0.01,37,0.00220913813,0.00216733664,1420431.12,-1578819.62,-1578825.5,1420440.12,0.111429401,-7.21845153e-12,-3.72731446e-12,-1.45315576,-1.61518276,1.61519587,1.45316482,4.00001852e-07,4.77305584e-10,1,8,0
0.01,38,0.00223203679,0.00219031074,1390687.88,-1549966.38,-1549965.75,1390687.88,0.109504797,-7.37189997e-12,-3.78769368e-12,-1.42618537,-1.5895263,1.58951735,1.42618537,4.10866051e-07,5.74377546e-10,1,8,0
0.01,39,0.00225334126,0.00221105968,1361882.25,-1521922.88,-1521912.75,1361914.12,0.107620776,-7.52369261e-12,-3.84747702e-12,-1.40002799,-1.564556,1.56453693,1.40007532,4.21725872e-07,6.73437528e-10,1,8,0
0.01,40,0.0022764632,0.00223339931,1335327,-1496258.38,-1496233.88,1335323.12,0.105874591,-7.67963297e-12,-3.90770792e-12,-1.37586081,-1.54168046,1.54163194,1.37585664,4.32584159e-07,7.71283204e-10,1,8,0
0.01,41,0.00229863753,0.00225279061,1308648.38,-1470281.5,-1470295.38,1308642.75,0.10413184,-7.83030672e-12,-3.96497115e-12,-1.35156178,-1.51848316,1.51850367,1.35155606,4.43450716e-07,8.75040762e-10,1,8,0
0.01,42,0.00232002581,0.00227373606,1283827,-1446257.88,-1446246.12,1283829,0.102499239,-7.98137424e-12,-4.02124644e-12,-1.32889819,-1.4970268,1.49700558,1.32890022,4.54310594e-07,9.76325465e-10,1,8,0
0.01,43,0.00234149559,0.00229327753,1259377.25,-1422511.38,-1422520.75,1259379.38,0.100892648,-8.13586871e-12,-4.07898671e-12,-1.30654895,-1.47578073,1.47579622,1.3065511,4.65166039e-07,1.08079201e-09,1,8,0
0.01,44,0.00236239657,0.00231386768,1236203,-1400093.62,-1400074,1236200.25,0.0993566811,-8.28724589e-12,-4.13474897e-12,-1.28532052,-1.45571697,1.45568752,1.28531766,4.76027225e-07,1.18410826e-09,1,8,0
0.01,45,0.00238232804,0.00233106641,1213160.12,-1377594.25,-1377622.62,1213159.5,0.0978336707,-8.43495152e-12,-4.19325815e-12,-1.26419675,-1.43552732,1.43557763,1.2641964,4.86893612e-07,1.28679367e-09,1,8,0
0.01,46,0.00240251236,0.00235011382,1191368.5,-1356460.38,-1356486.62,1191366.75,0.0963996053,-8.58689595e-12,-4.24816259e-12,-1.24418163,-1.41657031,1.41661835,1.24417961,4.97747521e-07,1.39531819e-09,1,8,0
0.01,47,0.00242227595,0.00236966182,1170521.75,-1336292.25,-1336301.38,1170522.62,0.0950033516,-8.73726265e-12,-4.30582523e-12,-1.22499466,-1.39846516,1.3984803,1.22499573,5.08608935e-07,1.49952417e-09,1,8,0
0.01,48,0.00244060042,0.00238824147,1149943.25,-1316276.38,-1316292.38,1149937.75,0.0936249867,-8.88573329e-12,-4.35809028e-12,-1.20603466,-1.38047361,1.38048089,1.20602918,5.19468244e-07,1.60920777e-09,1,8,0
0.01,49,0.00245947461,0.002405409,1129968.12,-1296857.62,-1296832.62,1129963.62,0.0922863185,-9.03377633e-12,-4.41429705e-12,-1.18760681,-1.36300111,1.36296582,1.18760252,5.30327668e-07,1.7178553e-09,1,8,0
0.01,50,0.00247804658,0.00242113904,1110464.25,-1277804.12,-1277826.88,1110468.38,0.0909904912,-9.1841517e-12,-4.46713109e-12,-1.16958749,-1.34581327,1.3458575,1.16959202,5.41187376e-07,1.82790916e-09,1,8,0
0.01,51,0.0024951857,0.00243918761,1091799.5,-1259658.5,-1259671.62,1091812.88,0.08973483,-9.32998817e-12,-4.51928339e-12,-1.15230715,-1.32946086,1.32948017,1.15233612,5.52050096e-07,1.93951877e-09,1,8,0
0.01,52,0.00251335371,0.00245593721,1073739.38,-1242112.38,-1242087.25,1073737,0.0885192156,-9.47794447e-12,-4.57498839e-12,-1.13557279,-1.31363237,1.31359625,1.13557053,5.6290861e-07,2.04823691e-09,1,8,0
0.01,53,0.00252911355,0.00247072405,1055401.12,-1224086.88,-1224073.5,1055401.12,0.0872752443,-9.62353114e-12,-4.6248296e-12,-1.11856937,-1.29734135,1.29731774,1.11856949,5.73766329e-07,2.1603821e-09,1,8,0
0.01,54,0.0025460152,0.00248562568,1038374.56,-1207446.12,-1207454.38,1038379.44,0.0861239135,-9.77025405e-12,-4.67589942e-12,-1.10274458,-1.28227913,1.28229308,1.10274994,5.84623876e-07,2.27758101e-09,1,8,0
0.01,55,0.00256296503,0.00250340649,1021052.06,-1190600.38,-1190574.12,1021048.62,0.0849558413,-9.91372782e-12,-4.73285907e-12,-1.08661675,-1.26704872,1.26699579,1.08661306,5.95488643e-07,2.39001685e-09,1,8,0
0.01,56,0.00257722731,0.00251659891,1004512.81,-1174283.12,-1174275.25,1004527.12,0.0838200003,-1.0060096e-11,-4.77889299e-12,-1.07120895,-1.25224841,1.25222993,1.07123923,6.06345452e-07,2.50713006e-09,1,8,0
0.01,57,0.00259279623,0.00253012334,988457.875,-1158503.25,-1158507.88,988469.562,0.0827339962,-1.02040147e-11,-4.8293149e-12,-1.05623198,-1.23792589,1.23793542,1.05625951,6.17205728e-07,2.62288236e-09,1,8,0
0.01,58,0.00260826317,0.0025432636,972501.875,-1142799.5,-1142768.38,972479.25,0.0816318616,-1.03501088e-11,-4.88043373e-12,-1.04134023,-1.22367096,1.22362781,1.04130125,6.28060548e-07,2.74269851e-09,1,8,0
0.01,59,0.00262172543,0.00255692191,957061.562,-1127561.12,-1127562.75,957063.438,0.0805723593,-1.04928063e-11,-4.92727864e-12,-1.02688813,-1.20981419,1.20980585,1.02689016,6.38917982e-07,2.86256108e-09,1,8,0
0.01,60,0.00263518584,0.00256886892,941536.312,-1112172.75,-1112148.12,941540.562,0.0795144811,-1.06355888e-11,-4.97650489e-12,-1.01235592,-1.19581354,1.19577718,1.01236081,6.49775188e-07,2.98163561e-09,1,8,0
0.01,61,0.00264885393,0.00257987459,927000.125,-1097737.25,-1097765.75,927004.5,0.0785098821,-1.07770494e-11,-5.02305923e-12,-0.998726785,-1.18264556,1.18269587,0.998731554,6.60636374e-07,3.09980663e-09,1,8,0
0.01,62,0.00266173715,0.00259336038,912256.562,-1083174,-1083167.75,912270.062,0.0774828345,-1.09172376e-11,-5.07085172e-12,-0.98486954,-1.16937804,1.16937602,0.984899044,6.71492785e-07,3.22493343e-09,1,8,0
0.01,63,0.00267335749,0.00260393997,897896.125,-1068829.62,-1068813.75,897894.938,0.0764813498,-1.10601927e-11,-5.1165773e-12,-0.971381545,-1.15628934,1.15626204,0.971380472,6.823484e-07,3.34877281e-09,1,8,0
0.01,64,0.00268503721,0.00261451397,883821.188,-1054772,-1054759.25,883824.5,0.0755030066,-1.11997165e-11,-5.16430345e-12,-0.958135664,-1.1434449,1.14342058,0.958139181,6.93206118e-07,3.47267459e-09,1,8,0
0.01,65,0.00269633485,0.002624813,870083.875,-1041027.88,-1041020.38,870087.188,0.0745463222,-1.13391197e-11,-5.21188995e-12,-0.945187151,-1.13087034,1.13085198,0.945191145,7.04066281e-07,3.59204777e-09,1,8,0
0.01,66,0.00270788209,0.00263501937,856618.688,-1027568.25,-1027544.06,856618.562,0.0736024678,-1.14785759e-11,-5.25715148e-12,-0.932477713,-1.11854899,1.11851227,0.932477713,7.14922237e-07,3.71958175e-09,1,8,0
0.01,67,0.00271757226,0.00264363829,843356.562,-1014183.44,-1014160.44,843357.062,0.0726683065,-1.16158506e-11,-5.30035564e-12,-0.919953823,-1.10627842,1.1062429,0.919954479,7.25781717e-07,3.84615717e-09,1,8,0
0.01,68,0.00272801425,0.00265203463,830211.812,-1000918.25,-1000912.25,830214.688,0.0717453063,-1.17569244e-11,-5.34590167e-12,-0.907520175,-1.09409738,1.09409487,0.907523453,7.36630909e-07,3.97374311e-09,1,8,0
0.01,69,0.00273838197,0.00266142259,817534,-988162.25,-988163.062,817533.375,0.0708491951,-1.18951749e-11,-5.38814262e-12,-0.895505846,-1.08238161,1.08238661,0.895505071,7.47487434e-07,4.10227896e-09,1,8,0
0.01,70,0.00274792011,0.00266997726,804940.875,-975428.125,-975434.562,804941.312,0.0699554831,-1.20327914e-11,-5.43183163e-12,-0.883560479,-1.07067323,1.07068419,0.883561254,7.5834356e-07,4.23367386e-09,1,8,0
0.01,71,0.0027570948,0.00267900852,792475.312,-962847.562,-962816.062,792489.438,0.0690747201,-1.21687053e-11,-5.47544735e-12,-0.871709645,-1.0591011,1.05905569,0.871732771,7.6920071e-07,4.36533076e-09,1,8,0
0.01,72,0.00276485574,0.00268535176,780345.062,-950433.625,-950410.938,780349.75,0.0682026073,-1.23063669e-11,-5.51582087e-12,-0.860188663,-1.04766023,1.04762423,0.860193729,7.80050129e-07,4.497553e-09,1,8,0
0.01,73,0.00277300272,0.00269299606,768476.5,-938348.688,-938334.438,768489.125,0.0673563853,-1.24426979e-11,-5.55671177e-12,-0.848879755,-1.03650844,1.0364821,0.848901033,7.90904323e-07,4.62975658e-09,1,8,0
0.01,74,0.00278090942,0.00269936724,756532.625,-926115.25,-926103.562,756539.375,0.0664912015,-1.25784131e-11,-5.59833733e-12,-0.83749944,-1.02521002,1.02518606,0.83750701,8.01756642e-07,4.76450523e-09,1,8,0
0.01,75,0.00278836908,0.00270476798,745093.375,-914353.812,-914349.375,745092.938,0.0656599402,-1.2712365e-11,-5.63987702e-12,-0.826582253,-1.01432478,1.01432359,0.826581776,8.126122e-07,4.89459184e-09,1,8,0
0.01,76,0.00279554981,0.00271084299,733783.062,-902736.312,-902734.5,733785.5,0.0648552999,-1.28456707e-11,-5.67939012e-12,-0.815770566,-1.00357151,1.00357318,0.815773368,8.2346611e-07,5.03090192e-09,1,8,0
0.01,77,0.00280190748,0.00271595386,722449.625,-891026.812,-891015,722449.875,0.0640271828,-1.29810624e-11,-5.7195455e-12,-0.804926157,-0.992717981,0.992708623,0.804926574,8.3431388e-07,5.16732745e-09,1,8,0
0.01,78,0.00280773663,0.00272185914,711588.5,-879813.938,-879799.625,711590.125,0.0632376298,-1.31170404e-11,-5.76230817e-12,-0.794513762,-0.982319713,0.982292414,0.794515669,8.45163015e-07,5.30109112e-09,1,8,0
0.01,79,0.00281448173,0.00272658002,700738,-868578,-868581.938,700738.812,0.0624426343,-1.3249791e-11,-5.7991281e-12,-0.784098744,-0.971873462,0.971881449,0.784099758,8.56013344e-07,5.44146861e-09,1,8,0
0.01,80,0.002819204,0.00273012952,690111.25,-857475.625,-857474.438,690111.562,0.061668586,-1.33798181e-11,-5.83739741e-12,-0.773897231,-0.961548626,0.961550951,0.773897529,8.66866628e-07,5.57666668e-09,1,8,0
0.01,81,0.00282452558,0.00273433677,679611.562,-846537.562,-846537.5,679614.188,0.0608897097,-1.3514849e-11,-5.8755314e-12,-0.763792813,-0.951362371,0.951365829,0.763795733,8.77713887e-07,5.71468473e-09,1,8,0
0.01,82,0.00282894191,0.00273808814,669368.812,-835821.5,-835811.625,669372.062,0.0601427443,-1.36448292e-11,-5.91050126e-12,-0.753926456,-0.941376328,0.941361129,0.753930092,8.88561999e-07,5.85643223e-09,1,8,0
0.01,83,0.0028327005,0.00274090422,659012.062,-824909.562,-824905.312,659011.438,0.0593702644,-1.37770958e-11,-5.94956246e-12,-0.743941844,-0.931188703,0.931179762,0.743941069,8.99410168e-07,5.99770411e-09,1,8,0
0.01,84,0.0028374861,0.00274450355,649125.188,-814554,-814549.375,649130.25,0.0586350597,-1.39055286e-11,-5.98714741e-12,-0.73439014,-0.921517313,0.921507716,0.734395742,9.10260212e-07,6.13709306e-09,1,8,0
