algorithm,controller,beta1,beta2,qmin,qmax,gamma,order
tsit5,PIController,0.14,0.08,0.2,10.0,0.9,5
cash-karp-54,PIController,0.14,0.08,0.2,10.0,0.9,5
rosenbrock23_sciml,PIController,0.35,0.2,0.2,10.0,0.9,2
kvaerno3,PIController,0.23333333333333334,0.13333333333333333,0.2,10.0,0.9,3
radau_iia_5,PredictiveController,,,0.2,8.0,0.9,5
bogacki-shampine-32,PIController,0.23333333333333334,0.13333333333333333,0.2,10.0,0.9,3
dormand-prince-54,PIController,0.17,0.04,0.2,10.0,0.9,5
fehlberg-45,PIController,0.14,0.08,0.2,10.0,0.9,5
dormand-prince-853,PIController,0.125,0.0,0.3333333333333333,6.0,0.9,8
vern7,PIController,0.1,0.05714285714285714,0.2,10.0,0.9,7
backwards_euler,PIController,0.7,0.4,0.2,10.0,0.9,1
crank_nicolson,PIController,0.35,0.2,0.2,10.0,0.9,2
trapezoidal_dirk,PIController,0.35,0.2,0.2,10.0,0.9,2
sdirk_2_2,PIController,0.35,0.2,0.2,10.0,0.9,2
l_stable_sdirk_4,PIController,0.175,0.1,0.2,10.0,0.9,4
radau_iia_3,PredictiveController,,,0.2,8.0,0.9,3
radau_iia_9,PredictiveController,,,0.2,8.0,0.9,9
ros3p,PIController,0.23333333333333334,0.13333333333333333,0.2,10.0,0.9,3
rodas3p,PIController,0.23333333333333334,0.13333333333333333,0.2,10.0,0.9,3
kvaerno5,PIController,0.14,0.08,0.2,10.0,0.9,5
Vern9,PIController,0.07777777777777778,0.044444444444444446,0.2,10.0,0.9,9
Rodas5P,PIController,0.14,0.08,0.2,10.0,0.9,5
RadauIIA9,PredictiveController,,,0.2,8.0,0.9,9
RadauIIA5,PredictiveController,,,0.2,8.0,0.9,5
